# args: {'policy': 'myx160/unitree_lerobot_act_g1d_16d_001', 'device': None, 'iface': None, 'camera': 'zmq://192.168.123.164:55555', 'fps': 30.0, 'duration': 60.0, 'kp': 60.0, 'kd': 1.5, 'clamp': 0.01, 'log': None, 'dry_run': False}
t,step,cam_ms,policy_ms,loop_ms,clamp_hits,max_target_gap,target_kLeftShoulderPitch,target_kLeftShoulderRoll,target_kLeftShoulderYaw,target_kLeftElbow,target_kLeftWristRoll,target_kLeftWristPitch,target_kLeftWristYaw,target_kRightShoulderPitch,target_kRightShoulderRoll,target_kRightShoulderYaw,target_kRightElbow,target_kRightWristRoll,target_kRightWristPitch,target_kRightWristYaw,cmd_kLeftShoulderPitch,cmd_kLeftShoulderRoll,cmd_kLeftShoulderYaw,cmd_kLeftElbow,cmd_kLeftWristRoll,cmd_kLeftWristPitch,cmd_kLeftWristYaw,cmd_kRightShoulderPitch,cmd_kRightShoulderRoll,cmd_kRightShoulderYaw,cmd_kRightElbow,cmd_kRightWristRoll,cmd_kRightWristPitch,cmd_kRightWristYaw,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.pitch,imu.roll,imu.yaw,kLeftAnklePitch.dq,kLeftAnklePitch.q,kLeftAnklePitch.tau,kLeftAnkleRoll.dq,kLeftAnkleRoll.q,kLeftAnkleRoll.tau,kLeftElbow.dq,kLeftElbow.q,kLeftElbow.tau,kLeftHipPitch.dq,kLeftHipPitch.q,kLeftHipPitch.tau,kLeftHipRoll.dq,kLeftHipRoll.q,kLeftHipRoll.tau,kLeftHipYaw.dq,kLeftHipYaw.q,kLeftHipYaw.tau,kLeftKnee.dq,kLeftKnee.q,kLeftKnee.tau,kLeftShoulderPitch.dq,kLeftShoulderPitch.q,kLeftShoulderPitch.tau,kLeftShoulderRoll.dq,kLeftShoulderRoll.q,kLeftShoulderRoll.tau,kLeftShoulderYaw.dq,kLeftShoulderYaw.q,kLeftShoulderYaw.tau,kLeftWristPitch.dq,kLeftWristPitch.q,kLeftWristPitch.tau,kLeftWristRoll.dq,kLeftWristRoll.q,kLeftWristRoll.tau,kLeftWristYaw.dq,kLeftWristYaw.q,kLeftWristYaw.tau,kRightAnklePitch.dq,kRightAnklePitch.q,kRightAnklePitch.tau,kRightAnkleRoll.dq,kRightAnkleRoll.q,kRightAnkleRoll.tau,kRightElbow.dq,kRightElbow.q,kRightElbow.tau,kRightHipPitch.dq,kRightHipPitch.q,kRightHipPitch.tau,kRightHipRoll.dq,kRightHipRoll.q,kRightHipRoll.tau,kRightHipYaw.dq,kRightHipYaw.q,kRightHipYaw.tau,kRightKnee.dq,kRightKnee.q,kRightKnee.tau,kRightShoulderPitch.dq,kRightShoulderPitch.q,kRightShoulderPitch.tau,kRightShoulderRoll.dq,kRightShoulderRoll.q,kRightShoulderRoll.tau,kRightShoulderYaw.dq,kRightShoulderYaw.q,kRightShoulderYaw.tau,kRightWristPitch.dq,kRightWristPitch.q,kRightWristPitch.tau,kRightWristRoll.dq,kRightWristRoll.q,kRightWristRoll.tau,kRightWristYaw.dq,kRightWristYaw.q,kRightWristYaw.tau,kWaistYaw.dq,kWaistYaw.q,kWaistYaw.tau,mode_machine
0.4123,0,6.6,404.9,412.0,13,0.89595,-0.20803,0.13628,0.12695,0.51362,-0.09612,-0.58006,-0.1616,-0.48953,-0.03468,-0.00851,0.66149,0.06524,-0.3515,0.24653,-0.96423,-0.08295,-0.09024,0.1864,-0.2717,-0.02651,0.26922,-0.78087,-0.14117,-0.00851,-0.22299,0.55729,0.45478,-0.403,0.17044,-0.44528,0.31212,0.06103,0.02837,-1.59821,-0.02817,-0.20328,-0.09104,-0.00548,0.01262,5.73366,-0.39884,0.17433,-2.4375,0.23671,-0.3858,-12.48047,0.42651,0.0463,16.43555,0.31541,-0.00526,-0.50337,0.26725,0.56121,-15.20508,-0.45559,-0.97719,-4.75,-0.31907,-0.09471,-1.4375,-0.24083,-0.10148,-0.4375,-0.00614,-0.01659,-0.65625,-0.2485,-0.28307,0.0,0.01841,0.27978,0.0,0.40822,-0.37534,2.21602,-0.01898,-0.0063,-0.19402,-0.25924,-0.23446,-3.125,2.40419,-0.44352,16.61133,0.08072,-0.05123,-1.14258,0.38911,0.03523,2.5728,-4.39496,0.74992,-0.52734,-0.20862,-0.79171,-5.1875,0.04755,-0.15067,-1.1875,0.09204,-0.00808,-1.125,0.12885,0.46574,-0.38125,0.31293,0.56944,-0.1875,-0.23317,-0.41456,0.1875,0.01886,0.14124,-0.11186,5.0
0.4235,1,5.5,5.0,11.0,13,0.89322,-0.20854,0.1359,0.1265,0.51516,-0.09608,-0.58127,-0.16169,-0.48917,-0.03454,-0.00843,0.65995,0.06432,-0.3514,0.2464,-0.95423,-0.07295,-0.08024,0.1964,-0.2617,-0.03651,0.25922,-0.77087,-0.13117,-0.00843,-0.21299,0.54729,0.44478,-0.393,-0.10972,-0.16725,-0.59761,0.03692,-0.0041,-1.625,0.24691,-0.49951,0.9951,-0.43235,-0.04205,-0.94182,0.27305,0.18111,-0.25,1.99404,-0.46503,-2.54883,1.11265,0.02886,3.42773,-0.43368,-0.0908,-1.62198,-4.21606,0.9878,-2.10938,0.44179,-0.96109,-0.9375,0.19788,-0.10962,1.0625,0.10124,-0.11023,1.125,-0.03682,-0.01232,-0.86875,0.10431,-0.28667,0.625,-0.28225,0.28554,-0.7625,-0.00758,-0.23776,-1.08042,-0.05338,-0.09336,-6.28921,0.29299,-0.23327,0.3125,0.03491,-0.34946,2.98828,-0.52033,-0.0788,-12.91992,0.58967,0.06436,5.03374,0.17999,0.50646,-6.67969,0.54763,-0.78738,-0.3125,0.20555,-0.15638,0.4375,0.09204,-0.02011,0.6875,-0.12885,0.47378,-0.9125,-0.13039,0.57492,-1.0,0.26998,-0.41921,0.74375,-0.39254,-0.06088,0.16779,5.0
0.4593,2,3.6,9.3,13.4,13,0.86523,-0.20912,0.136,0.12657,0.51393,-0.09611,-0.58161,-0.16178,-0.49039,-0.03524,-0.00977,0.65922,0.0648,-0.35064,0.24601,-0.94423,-0.06295,-0.07024,0.2064,-0.2517,-0.04651,0.24922,-0.76087,-0.12117,-0.00977,-0.20299,0.53729,0.43478,-0.383,-0.39202,0.08842,-0.47511,0.03514,-0.01197,-1.64226,1.53616,-0.471,3.01358,-1.95554,-0.08439,-0.91416,0.84216,0.20359,-1.6875,2.44782,-0.40234,4.57031,1.1901,0.05848,-1.93359,-0.63253,-0.10699,3.29989,-6.49153,0.83673,-2.90039,1.01243,-0.9398,-2.4375,0.24697,-0.09707,0.9375,0.12272,-0.10302,1.3125,-0.26998,-0.02457,-0.3375,0.29913,-0.27299,0.0625,-0.61973,0.26794,0.4375,0.00649,-0.23776,0.34722,-0.04769,-0.09398,-6.21544,0.92499,-0.20601,-1.5,-0.04254,-0.35578,0.35156,-0.00764,-0.08514,-9.84375,-0.08228,0.07226,1.73384,0.41124,0.50859,-1.93359,0.7946,-0.76748,-1.1875,0.31293,-0.14225,0.125,0.30066,-0.01294,0.0,-0.33134,0.45695,-0.2375,-0.51082,0.55779,0.0,0.36816,-0.4012,-0.0375,-0.69081,-0.08618,-0.27965,5.0
0.5041,3,4.1,18.2,24.6,13,0.83604,-0.20909,0.136,0.12691,0.51375,-0.09599,-0.58232,-0.16164,-0.49053,-0.03541,-0.0102,0.65929,0.06495,-0.35063,0.24582,-0.93423,-0.05295,-0.06024,0.2164,-0.2417,-0.05651,0.23922,-0.75087,-0.11117,-0.0102,-0.19299,0.52729,0.42478,-0.373,-0.35793,-0.11185,-0.7606,0.02786,-0.025,-1.66275,6.48593,-0.36173,0.19247,-1.55413,-0.1344,-0.41413,0.86056,0.22907,-2.625,2.43037,-0.31256,3.25195,0.93811,0.09287,-8.17383,0.23655,-0.11063,2.40501,-4.56076,0.65274,3.25195,1.36678,-0.90319,-4.375,0.16874,-0.0889,1.125,0.43258,-0.09761,1.1875,-0.25157,-0.02851,-0.70625,0.26691,-0.26278,0.125,-0.28839,0.25572,0.025,-0.43018,-0.24436,1.51029,-0.71227,-0.10488,-5.66119,1.07072,-0.17676,-2.875,-0.19199,-0.36219,-3.86719,-0.26289,-0.09295,-2.98828,0.00857,0.0696,-2.34908,1.01556,0.52875,-7.29492,1.22565,-0.73316,-3.1875,0.27458,-0.13128,0.0625,0.20709,-0.00947,-0.125,-0.03068,0.4525,-0.96875,-0.45713,0.54737,-0.125,0.19021,-0.39227,0.26875,-0.73366,-0.11461,-0.33558,5.0
0.5319,4,5.6,12.1,19.1,13,0.81875,-0.20961,0.13636,0.12687,0.51475,-0.09615,-0.58245,-0.1623,-0.49062,-0.03526,-0.01069,0.65922,0.06467,-0.35003,0.24669,-0.92423,-0.04295,-0.05024,0.2264,-0.2317,-0.06651,0.22922,-0.74087,-0.10117,-0.01069,-0.18299,0.51729,0.41478,-0.363,-0.36432,0.04048,0.25886,0.00124,0.00823,-1.675,0.428,-0.31492,1.93661,2.49185,-0.06,3.77857,0.26845,0.24586,-2.25,-0.41997,-0.27141,-17.57812,-0.04691,0.05394,23.20312,-0.07371,-0.06416,-11.91317,0.64141,0.61058,-8.78906,1.03697,-0.87444,-5.1875,0.67342,-0.0689,-0.0625,1.08452,-0.08595,0.25,-0.4786,-0.03304,-0.71875,0.45099,-0.25443,0.0,-0.23317,0.24797,-0.2,2.11712,-0.23714,5.24358,2.63596,-0.11457,2.0984,0.49548,-0.15952,-2.5,1.62861,-0.34491,-0.08789,0.24653,-0.14099,23.20312,-0.11313,0.07944,-7.5506,-1.59589,0.55015,-7.11914,1.22565,-0.68944,-5.0625,-0.03221,-0.10999,-0.25,0.01227,-0.01147,0.1875,-0.42338,0.44719,-0.7125,-0.30986,0.53469,-0.125,0.47247,-0.38949,0.30625,-1.97472,-0.14128,0.16779,5.0
0.5551,5,3.4,4.7,8.9,13,0.80224,-0.20956,0.13633,0.12661,0.51429,-0.09626,-0.58227,-0.16227,-0.48897,-0.03703,-0.01252,0.65909,0.06575,-0.34999,0.24521,-0.91423,-0.03295,-0.04024,0.2364,-0.2217,-0.07651,0.21922,-0.73087,-0.09117,-0.01252,-0.17299,0.50729,0.40478,-0.353,0.21944,-0.09587,-0.18962,0.01086,-0.01547,-1.65819,0.86147,-0.30918,4.29584,1.671,-0.04797,2.92411,0.41417,0.25611,-2.5,0.73631,-0.28245,-2.98828,-0.19417,0.04915,10.2832,0.8228,-0.07446,-7.5506,-1.37445,0.6068,-21.35742,0.32674,-0.85225,-4.875,0.67495,-0.05659,-0.3125,0.30986,-0.06543,0.5625,-0.31293,-0.04194,-1.03125,0.35588,-0.24588,0.125,-0.40497,0.24145,-0.1875,2.73944,-0.1245,1.82482,6.26874,0.09257,-0.09541,0.64427,-0.14315,-3.0625,-0.48869,-0.34206,1.8457,-0.61523,-0.12456,12.91992,-0.13542,0.08255,-3.8592,0.85303,0.5361,4.13086,0.61513,-0.6631,-5.375,0.6366,-0.09965,-1.125,-0.00614,-0.01034,0.0625,-0.34975,0.43885,-0.9125,-0.42491,0.5259,-0.0625,0.33748,-0.37695,0.35,0.16799,-0.18871,-0.16779,5.0
0.6172,6,3.8,31.5,37.5,13,0.78248,-0.20914,0.13608,0.12632,0.51481,-0.09612,-0.58204,-0.16228,-0.489,-0.03665,-0.01181,0.65615,0.06466,-0.35061,0.24573,-0.90423,-0.02295,-0.03024,0.2464,-0.2117,-0.08651,0.20922,-0.72087,-0.08117,-0.01181,-0.16299,0.49729,0.39478,-0.343,-0.54222,0.4325,0.23755,0.01427,-0.02158,-1.66626,0.56793,-0.28785,3.38768,0.14967,-0.02919,2.76346,0.59058,0.27348,-3.125,0.00873,-0.26942,0.26367,0.06436,0.04663,17.31445,-0.30855,-0.0645,-9.34038,-0.47451,0.57127,-18.54492,0.28992,-0.84254,-4.875,0.63047,-0.03592,-0.8125,0.68262,-0.04955,-0.1875,-0.33134,-0.05234,-1.0,0.33901,-0.23462,0.125,-0.30066,0.22782,-0.09375,0.71875,-0.08374,0.83489,-1.14428,0.1254,-0.82311,0.51388,-0.12634,-3.3125,-0.53451,-0.35963,4.6582,0.78431,-0.11623,9.31641,-0.24855,0.0792,-3.46768,0.58469,0.55482,4.83398,0.46326,-0.64593,-5.5625,0.29452,-0.08824,-0.75,0.05216,-0.00907,-0.125,-0.14113,0.43094,-1.29375,-0.20402,0.5159,-0.375,0.24544,-0.36619,0.44375,-0.78337,-0.20488,0.05593,5.0
0.6312,7,7.0,6.4,13.9,13,0.7798,-0.20972,0.13622,0.12652,0.51564,-0.09599,-0.58257,-0.16211,-0.4906,-0.03592,-0.01157,0.65734,0.06465,-0.34995,0.24579,-0.89423,-0.01295,-0.02024,0.2564,-0.2017,-0.09651,0.19922,-0.71087,-0.07117,-0.01157,-0.15299,0.48729,0.38478,-0.333,-0.21838,0.20133,0.11611,0.02774,-0.034,-1.6617,0.47906,-0.25832,7.23936,0.27129,-0.02635,1.1332,0.35895,0.29192,-3.5,-0.06218,-0.2717,8.52539,-0.00654,0.04426,20.12695,-0.08399,-0.06538,-7.94212,-0.59232,0.53844,-10.45898,0.2301,-0.83455,-4.8125,0.30833,-0.01655,-1.0625,0.40037,-0.02929,-0.6875,-0.04295,-0.05424,-1.89375,0.12425,-0.23062,0.625,-0.07363,0.22347,-0.7875,0.02893,-0.07821,0.50546,0.11801,0.11009,-0.51873,0.28225,-0.11204,-3.875,0.04909,-0.37311,1.93359,0.84539,-0.08495,4.21875,-0.40454,0.07309,-1.78977,0.7974,0.59423,1.75781,0.33901,-0.63207,-5.75,0.0092,-0.08059,-0.375,0.0092,-0.0094,0.0,-0.04295,0.42985,-2.0125,-0.11045,0.50907,-0.5,0.11045,-0.36186,1.0125,-0.29141,-0.22263,-0.11186,5.0
0.6768,8,3.9,20.9,26.0,13,0.7682,-0.20929,0.13634,0.12668,0.51445,-0.09603,-0.58222,-0.16228,-0.49356,-0.03638,-0.01108,0.66055,0.06497,-0.35018,0.24674,-0.88423,-0.00295,-0.01024,0.2664,-0.1917,-0.10651,0.18922,-0.70087,-0.06117,-0.01108,-0.14299,0.47729,0.37478,-0.323,-0.02237,0.28016,-0.16192,0.03528,-0.03899,-1.66456,0.46217,-0.24217,10.74191,0.36519,-0.0179,2.58478,0.26231,0.30303,-3.25,-0.16035,-0.27228,13.97461,0.05345,0.04326,22.14844,0.21084,-0.06296,-11.01829,-0.62941,0.519,-5.80078,0.53229,-0.82377,-5.0625,0.2255,-0.00919,-0.625,0.25771,-0.02035,-0.25,-0.36816,-0.0642,-1.39375,0.54917,-0.21703,0.0,-0.30066,0.21246,-0.375,-0.60107,-0.08555,-0.02097,-0.98181,0.09823,-0.65099,0.5553,-0.09899,-3.8125,0.08618,-0.38181,-1.31836,0.68941,-0.05772,0.52734,-0.72852,0.06128,-1.78977,0.95011,0.62064,4.39453,0.158,-0.62405,-5.25,0.35742,-0.07464,-0.4375,0.01381,-0.00968,0.0,-0.42951,0.41802,-1.29375,-0.31293,0.49513,-0.1875,0.17794,-0.34854,0.66875,0.31883,-0.21987,-0.16779,5.0
0.6978,9,5.1,7.7,13.6,13,0.76097,-0.20963,0.13635,0.12624,0.51449,-0.09601,-0.58223,-0.1625,-0.4935,-0.03645,-0.01287,0.66114,0.0651,-0.35017,0.24586,-0.87423,0.00705,-0.00024,0.2764,-0.1817,-0.11651,0.17922,-0.69087,-0.05117,-0.01287,-0.13299,0.46729,0.36478,-0.313,0.05646,0.16725,-0.07031,0.04145,-0.04111,-1.66731,0.13636,-0.23488,12.18679,0.17718,-0.0137,5.35743,0.40344,0.30944,-3.25,-0.12981,-0.27421,17.13867,0.03272,0.04277,27.1582,0.06514,-0.05977,-14.03853,-0.22689,0.50803,-5.27344,0.36202,-0.81025,-5.0625,0.09664,-0.00216,-0.375,0.35282,-0.01154,-0.25,-0.52155,-0.07465,-1.1375,0.51542,-0.20779,0.125,-0.46633,0.20553,-0.35,-1.38032,-0.12625,-0.70258,-1.60921,0.03966,-0.33034,0.3068,-0.09031,-3.375,-0.02945,-0.38061,-6.50391,0.68395,-0.03759,-1.8457,-0.80566,0.03218,-0.5593,1.04611,0.65474,7.03125,0.01227,-0.62374,-4.5,0.27918,-0.06353,-0.375,0.01994,-0.00972,0.0,-0.46633,0.4108,-1.46875,-0.34975,0.48627,-0.1875,0.53996,-0.34264,0.44375,0.40454,-0.20894,-0.11186,5.0
