# args: {'layout': '14d', 'policy': '/home/waldo/soccerbot/model/pretrained_model', 'device': None, 'iface': 'enp5s0', 'camera': 'zmq://192.168.123.164:55555', 'fps': 30.0, 'duration': 60.0, 'kp': 60.0, 'kd': 1.5, 'clamp': 0.01, 'log': None, 'dry_run': False}
t,step,cam_ms,policy_ms,loop_ms,clamp_hits,max_target_gap,target_kLeftShoulderPitch,target_kLeftShoulderRoll,target_kLeftShoulderYaw,target_kLeftElbow,target_kLeftWristRoll,target_kLeftWristPitch,target_kLeftWristYaw,target_kRightShoulderPitch,target_kRightShoulderRoll,target_kRightShoulderYaw,target_kRightElbow,target_kRightWristRoll,target_kRightWristPitch,target_kRightWristYaw,cmd_kLeftShoulderPitch,cmd_kLeftShoulderRoll,cmd_kLeftShoulderYaw,cmd_kLeftElbow,cmd_kLeftWristRoll,cmd_kLeftWristPitch,cmd_kLeftWristYaw,cmd_kRightShoulderPitch,cmd_kRightShoulderRoll,cmd_kRightShoulderYaw,cmd_kRightElbow,cmd_kRightWristRoll,cmd_kRightWristPitch,cmd_kRightWristYaw,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.pitch,imu.roll,imu.yaw,kLeftAnklePitch.dq,kLeftAnklePitch.q,kLeftAnklePitch.tau,kLeftAnkleRoll.dq,kLeftAnkleRoll.q,kLeftAnkleRoll.tau,kLeftElbow.dq,kLeftElbow.q,kLeftElbow.tau,kLeftHipPitch.dq,kLeftHipPitch.q,kLeftHipPitch.tau,kLeftHipRoll.dq,kLeftHipRoll.q,kLeftHipRoll.tau,kLeftHipYaw.dq,kLeftHipYaw.q,kLeftHipYaw.tau,kLeftKnee.dq,kLeftKnee.q,kLeftKnee.tau,kLeftShoulderPitch.dq,kLeftShoulderPitch.q,kLeftShoulderPitch.tau,kLeftShoulderRoll.dq,kLeftShoulderRoll.q,kLeftShoulderRoll.tau,kLeftShoulderYaw.dq,kLeftShoulderYaw.q,kLeftShoulderYaw.tau,kLeftWristPitch.dq,kLeftWristPitch.q,kLeftWristPitch.tau,kLeftWristRoll.dq,kLeftWristRoll.q,kLeftWristRoll.tau,kLeftWristYaw.dq,kLeftWristYaw.q,kLeftWristYaw.tau,kRightAnklePitch.dq,kRightAnklePitch.q,kRightAnklePitch.tau,kRightAnkleRoll.dq,kRightAnkleRoll.q,kRightAnkleRoll.tau,kRightElbow.dq,kRightElbow.q,kRightElbow.tau,kRightHipPitch.dq,kRightHipPitch.q,kRightHipPitch.tau,kRightHipRoll.dq,kRightHipRoll.q,kRightHipRoll.tau,kRightHipYaw.dq,kRightHipYaw.q,kRightHipYaw.tau,kRightKnee.dq,kRightKnee.q,kRightKnee.tau,kRightShoulderPitch.dq,kRightShoulderPitch.q,kRightShoulderPitch.tau,kRightShoulderRoll.dq,kRightShoulderRoll.q,kRightShoulderRoll.tau,kRightShoulderYaw.dq,kRightShoulderYaw.q,kRightShoulderYaw.tau,kRightWristPitch.dq,kRightWristPitch.q,kRightWristPitch.tau,kRightWristRoll.dq,kRightWristRoll.q,kRightWristRoll.tau,kRightWristYaw.dq,kRightWristYaw.q,kRightWristYaw.tau,kWaistYaw.dq,kWaistYaw.q,kWaistYaw.tau,mode_machine
0.286,0,6.5,278.2,285.1,14,0.5406,-0.26323,0.06283,-0.20832,1.16628,0.15035,-0.02567,-0.06659,-0.24334,-0.17995,0.17743,1.16385,-0.00669,0.0696,-0.02027,0.26734,0.1867,-0.03873,0.99924,0.14681,0.03024,-0.02806,0.27205,-0.18823,0.03451,0.99947,-0.13986,0.01503,0.00805,-0.00959,0.00746,-0.00213,0.02575,0.00614,-1.12654,-1e-05,-0.22837,-2.56174,-0.00183,-0.00055,-0.77674,0.01227,0.9893,-0.5,0.00545,-0.26924,-7.03125,0.0,-0.01704,3.7793,0.00686,-0.00384,0.39151,-0.00654,0.47351,-10.89844,0.00614,0.27736,0.5625,-0.03068,0.19655,1.125,-0.0046,-0.02879,0.25,0.0,0.04034,-0.09375,-0.01074,0.13681,-0.0625,-0.00614,-0.01811,-0.01875,-0.0092,-0.2242,-0.36554,-0.0082,-0.0005,-3.35334,0.0046,0.98947,-0.0625,0.0,-0.26562,5.27344,-0.012,0.00727,-7.38281,0.0,0.0144,2.01349,0.00327,0.43557,-8.87695,0.00153,0.282,0.625,0.02608,-0.19808,-1.4375,0.01074,0.02452,0.0625,0.02454,0.00506,0.01875,0.0,-0.14981,-0.125,0.0,0.01806,0.01875,-0.024,-0.00158,-0.16779,5.0
0.3041,1,5.1,12.3,18.0,12,0.54153,-0.26427,0.06447,-0.20662,1.16075,0.14725,-0.02805,-0.06472,-0.24407,-0.17831,0.17489,1.15941,-0.00185,0.06565,-0.02476,0.25734,0.1767,-0.04873,1.00924,0.14725,0.02024,-0.03806,0.26205,-0.17831,0.04451,1.00947,-0.12986,0.02503,-0.00195,-0.01065,0.00426,-0.01065,0.02568,0.00587,-1.12676,0.00052,-0.22837,-2.56174,-0.00642,-0.00055,-0.77674,0.01994,0.99047,0.125,-0.012,-0.26924,-7.11914,-0.01091,-0.01703,3.95508,-0.01028,-0.0039,0.33558,0.0,0.47351,-11.25,-0.02148,0.27727,-0.3125,-0.04602,0.18858,0.3125,-0.01227,-0.02907,-0.1875,-0.02454,0.04053,-0.6125,0.00767,0.13684,0.3125,-0.0859,-0.01835,-0.5625,-0.00216,-0.2242,-0.36554,-0.00548,-0.00049,-3.35334,0.01841,0.98965,0.5,-0.00654,-0.26563,5.18555,-0.00545,0.00729,-7.4707,0.0,0.01438,1.90163,0.00436,0.43557,-8.70117,-0.03375,0.28185,-0.0625,0.02454,-0.19754,-0.1875,0.00614,0.02476,0.5,0.04295,0.00514,0.575,0.00614,-0.14981,0.25,-0.06136,0.01817,-0.54375,0.00514,-0.00157,-0.16779,5.0
0.3482,2,5.5,21.7,28.7,12,0.53179,-0.26523,0.06609,-0.20472,1.15733,0.14508,-0.03008,-0.06126,-0.24418,-0.17876,0.17278,1.15517,0.00236,0.06813,-0.03026,0.24734,0.1667,-0.05873,1.01924,0.14508,0.01024,-0.04806,0.25205,-0.17876,0.05451,1.01947,-0.11986,0.03503,-0.01195,-0.00639,-0.02024,-0.01172,0.02558,0.00584,-1.12679,0.00701,-0.22835,-2.56174,-0.01373,-0.00057,-0.77674,0.58291,1.00606,-0.75,-0.00436,-0.26922,-7.03125,0.0,-0.01702,3.95508,-0.01028,-0.00388,0.33558,-0.00764,0.47354,-11.25,-0.33287,0.26655,-0.1875,-0.19788,0.18018,-0.0625,-0.19175,-0.0335,-0.5,-0.26384,0.03224,-0.35,0.11045,0.14177,0.0625,-0.33748,-0.02676,-0.2125,0.00108,-0.22418,-0.27687,-0.00183,-0.00046,-3.30088,0.59518,1.00551,-0.4375,-0.01091,-0.26562,5.36133,-0.02618,0.0073,-7.11914,0.00686,0.01438,1.90163,0.03709,0.43567,-8.70117,-0.30986,0.27151,0.0,0.34361,-0.18662,-0.125,0.22396,0.03487,0.375,0.38656,0.01583,-0.0125,0.31447,-0.1411,0.0625,-0.29452,0.00819,-0.10625,0.0,-0.00167,-0.16779,5.0
0.3919,3,6.5,30.2,39.0,11,0.527,-0.27001,0.06585,-0.20363,1.14242,0.14214,-0.03358,-0.05681,-0.24516,-0.17621,0.17081,1.13728,0.01056,0.06749,-0.041,0.23734,0.1567,-0.06873,1.02924,0.14214,0.00024,-0.05681,0.24205,-0.17621,0.06451,1.02947,-0.10986,0.04503,-0.02195,-0.00533,-0.00639,-0.00426,0.02514,0.00585,-1.12664,0.00054,-0.22835,-2.82728,0.00092,-0.00058,-0.72372,0.43565,1.0191,-0.75,0.00327,-0.26926,-7.20703,-0.01091,-0.01703,3.95508,0.01714,-0.00388,0.27965,-0.00982,0.47362,-11.42578,-0.5645,0.25699,0.0,-0.44332,0.17519,-0.0625,-0.30986,-0.03955,-0.625,-0.34975,0.02934,-0.69375,-0.03835,0.14334,0.0,-0.46019,-0.03545,-0.06875,-0.00541,-0.22418,-0.54252,-0.0073,-0.00047,-3.35346,0.40344,1.02016,-0.4375,0.00109,-0.26562,5.00977,-0.01418,0.00726,-7.11914,0.01028,0.01438,1.90163,0.01527,0.43575,-8.87695,-0.40497,0.25965,0.1875,0.09971,-0.18187,-0.0625,0.44946,0.04159,0.3125,0.22703,0.02743,0.1375,0.4648,-0.13449,0.125,-0.36816,-0.00268,0.03125,-0.00171,-0.00134,-0.22372,5.0
0.4087,4,5.9,10.2,16.6,11,0.52044,-0.27187,0.0681,-0.20047,1.13371,0.1367,-0.0394,-0.05193,-0.24556,-0.17627,0.16614,1.12772,0.01888,0.06584,-0.0514,0.22734,0.1467,-0.07873,1.03924,0.1367,-0.00976,-0.05193,0.23205,-0.17627,0.07451,1.03947,-0.09986,0.05503,-0.03195,-0.00746,0.00959,-0.00426,0.02492,0.00582,-1.1266,-0.00765,-0.22835,-2.73863,-0.02021,-0.00057,-0.77624,0.09357,1.02799,-0.1875,-0.01527,-0.26941,-7.20703,-0.00436,-0.01705,3.86719,0.00343,-0.0039,0.33558,0.0,0.47386,-11.42578,-0.2439,0.24856,-0.5,-0.40957,0.16278,0.0625,-0.14419,-0.04858,-0.8125,-0.25157,0.02386,-1.1625,-0.01227,0.14334,-0.1875,-0.38656,-0.04538,-0.1625,-0.00054,-0.22418,-0.45385,0.00092,-0.00045,-3.30101,0.12118,1.02785,0.0,0.01636,-0.26562,5.09766,-0.01527,0.00724,-7.11914,0.01028,0.0144,1.90163,0.01418,0.43577,-8.96484,-0.21169,0.25176,-0.125,0.4019,-0.17051,-1.0625,0.3835,0.05063,0.375,0.31907,0.03672,0.125,0.07517,-0.12732,0.75,-0.38043,-0.00944,-0.225,-0.00171,-0.00099,-0.22372,5.0
0.447,5,4.5,16.3,21.4,11,0.50819,-0.27102,0.07008,-0.19884,1.13028,0.13436,-0.04106,-0.04771,-0.24494,-0.17719,0.16417,1.12219,0.02287,0.06867,-0.0575,0.21734,0.1367,-0.08873,1.04924,0.13436,-0.01976,-0.04771,0.22205,-0.17719,0.08451,1.04947,-0.08986,0.06503,-0.04195,0.0032,-0.00213,-0.01278,0.02499,0.00587,-1.1267,0.00809,-0.22835,-2.6504,-0.01556,-0.00056,-0.72422,0.36509,1.03946,-0.6875,-0.00545,-0.2694,-7.11914,-0.00873,-0.01717,3.86719,0.00857,-0.00382,0.27965,0.01309,0.47389,-11.42578,-0.26231,0.23717,-0.3125,-0.44179,0.1489,0.3125,-0.74398,-0.06785,0.5,-0.41111,0.00677,-0.3875,-0.15033,0.14018,-0.125,-0.02454,-0.05084,-0.05625,0.00109,-0.22419,-0.54252,-0.00366,-0.00046,-3.35346,0.33748,1.03707,-0.125,0.024,-0.26562,5.09766,-0.01963,0.00711,-7.03125,0.0,0.01438,1.90163,-0.00545,0.43579,-8.70117,-0.33287,0.24069,0.0625,0.40497,-0.15967,-1.6875,0.58291,0.07042,-0.375,0.3252,0.04758,0.0,0.50315,-0.11372,0.0,-0.44179,-0.01957,-0.075,-0.04971,-0.00141,-0.11186,5.0
0.479,6,4.8,13.7,19.7,10,0.50506,-0.27777,0.07002,-0.19649,1.11292,0.12808,-0.04717,-0.04454,-0.24714,-0.17405,0.16219,1.09718,0.03201,0.06964,-0.06964,0.20734,0.1267,-0.09873,1.05924,0.12808,-0.02976,-0.04454,0.21205,-0.17405,0.09451,1.05947,-0.07986,0.06964,-0.05195,-0.01278,0.01491,-0.03515,0.025,0.00573,-1.12703,0.00866,-0.22837,-2.64998,-0.00363,-0.00054,-0.82876,0.56144,1.05097,-0.9375,-0.01418,-0.26942,-7.11914,-0.00982,-0.01731,3.95508,0.0,-0.00364,0.22372,-0.00327,0.47395,-11.42578,-0.41111,0.22729,-0.125,-0.3835,0.13021,0.8125,0.36816,-0.07135,-1.3125,-0.06136,0.0003,-1.09375,-0.14573,0.13446,0.0625,0.49087,-0.04547,-0.93125,-0.00704,-0.22418,-0.54252,-0.00455,-0.00046,-3.35346,0.41264,1.04984,-0.4375,-0.00218,-0.26562,5.09766,-0.01418,0.00695,-7.11914,0.02228,0.01442,1.8457,0.01636,0.43577,-8.70117,-0.23777,0.23044,-0.0625,0.03682,-0.15101,-1.6875,0.60746,0.08098,-0.4375,0.38043,0.0593,-0.225,0.42951,-0.10371,0.0625,-0.3252,-0.03354,-0.05,0.06,-0.00108,-0.27965,5.0
0.5117,7,4.1,14.1,19.0,10,0.49062,-0.27411,0.07449,-0.19409,1.11354,0.1279,-0.05158,-0.03805,-0.24345,-0.17995,0.15638,1.10324,0.03697,0.06777,-0.0731,0.19734,0.1167,-0.10873,1.06924,0.1279,-0.03976,-0.03805,0.20205,-0.17995,0.10451,1.06947,-0.06986,0.06777,-0.06195,-0.0,0.02876,-0.0032,0.02543,0.00562,-1.12643,-0.00165,-0.22839,-2.56174,-0.0101,-0.00054,-0.77674,0.43412,1.0648,-1.0625,-0.00873,-0.26948,-7.03125,-0.00545,-0.01724,4.04297,0.02057,-0.00399,0.27965,-0.02618,0.47392,-11.33789,-0.46633,0.21651,0.0,-0.03682,0.12939,-0.25,-0.48781,-0.07689,-0.5,-0.48474,-0.00883,-0.5625,-0.10891,0.13221,-0.1875,0.0,-0.04269,-0.15,-0.00162,-0.2242,-0.1882,-0.00091,-0.00047,-3.24843,0.43105,1.06154,-0.5625,0.02727,-0.26562,5.09766,-0.01963,0.00706,-6.94336,0.00171,0.01428,1.90163,-0.00436,0.43573,-8.34961,-0.32827,0.22324,-0.0625,-0.13346,-0.15135,-1.25,0.35282,0.08734,0.125,0.28839,0.06836,-0.3,0.60592,-0.09282,-0.1875,-0.48474,-0.04192,0.175,-0.01371,0.00017,-0.16779,5.0
0.5436,8,4.1,12.8,17.5,9,0.49242,-0.28302,0.07654,-0.19276,1.08546,0.12173,-0.05735,-0.03147,-0.24277,-0.17994,0.15448,1.06653,0.04665,0.06798,-0.09548,0.18734,0.1067,-0.11873,1.07924,0.12173,-0.04976,-0.03147,0.19205,-0.17994,0.11451,1.06653,-0.05986,0.06798,-0.07195,0.00213,-0.00107,0.00426,0.02581,0.00572,-1.12672,0.00051,-0.22833,-2.11931,-0.01009,-0.00061,-0.83026,0.42798,1.07167,-0.875,-0.00545,-0.2695,-6.94336,0.00545,-0.01708,3.95508,0.00686,-0.004,0.33558,-0.00545,0.47395,-11.07422,-0.27918,0.2094,-0.4375,0.0859,0.13161,-1.125,-0.44332,-0.08556,-0.625,-0.43565,-0.01988,-0.55,-0.07823,0.13011,-0.1875,0.19635,-0.04071,-0.1625,0.00163,-0.22417,0.1654,-0.00458,-0.00047,-3.35296,0.30219,1.07149,-0.375,0.01418,-0.26562,5.44922,-0.02618,0.00722,-7.38281,0.02228,0.01428,1.95756,0.012,0.4357,-8.08594,-0.24544,0.21381,-0.1875,-0.18101,-0.15526,-1.375,0.6274,0.09942,-0.4375,-0.04909,0.07054,-0.0875,0.4786,-0.08319,0.0,-0.33748,-0.05164,-0.0875,-0.02914,-0.00064,-0.11186,5.0
0.594,9,5.0,27.9,34.0,8,0.47911,-0.27955,0.08063,-0.18821,1.08878,0.11549,-0.06355,-0.02577,-0.24092,-0.1838,0.14799,1.07159,0.05303,0.06294,-0.1013,0.17734,0.0967,-0.12873,1.08878,0.11549,-0.05976,-0.02577,0.18205,-0.1838,0.12451,1.07159,-0.04986,0.06294,-0.08195,-0.00213,0.00426,-0.01065,0.02577,0.00587,-1.12667,0.00164,-0.22835,-2.29662,0.00459,-0.00056,-0.72523,0.44485,1.08498,-1.0625,0.0,-0.26966,-6.94336,-0.02618,-0.01721,4.04297,0.01543,-0.00379,0.22372,-0.00436,0.47403,-11.07422,-0.29146,0.19956,-0.4375,-0.12118,0.1301,-1.375,-0.42798,-0.0981,-0.5,-0.33134,-0.03184,-0.6125,-0.11505,0.12524,-0.1875,0.31907,-0.03412,-0.31875,-0.00162,-0.22417,-0.01158,-0.00274,-0.00045,-3.35308,0.02454,1.07537,-0.4375,0.0,-0.26568,5.27344,-0.03054,0.00695,-7.38281,0.00686,0.01428,1.95756,0.00545,0.43568,-8.26172,-0.34975,0.20398,-0.0625,-0.14726,-0.15994,-1.125,0.35435,0.10904,0.0,0.0,0.07054,-0.13125,0.48934,-0.07037,-0.1875,-0.3927,-0.06077,-0.11875,-0.01543,-0.00071,-0.22372,5.0
