# args: {'layout': '14d', 'policy': '/home/waldo/soccerbot/model4/pretrained_model', 'device': None, 'iface': 'enp5s0', 'camera': 'zmq://192.168.123.164:55555', 'fps': 30.0, 'duration': 60.0, 'kp': 60.0, 'kd': 1.5, 'clamp': 0.002, 'log': None, 'dry_run': False, 'image_no_motors': False}
t,step,cam_ms,policy_ms,loop_ms,clamp_hits,max_target_gap,target_kLeftShoulderPitch,target_kLeftShoulderRoll,target_kLeftShoulderYaw,target_kLeftElbow,target_kLeftWristRoll,target_kLeftWristPitch,target_kLeftWristYaw,target_kRightShoulderPitch,target_kRightShoulderRoll,target_kRightShoulderYaw,target_kRightElbow,target_kRightWristRoll,target_kRightWristPitch,target_kRightWristYaw,cmd_kLeftShoulderPitch,cmd_kLeftShoulderRoll,cmd_kLeftShoulderYaw,cmd_kLeftElbow,cmd_kLeftWristRoll,cmd_kLeftWristPitch,cmd_kLeftWristYaw,cmd_kRightShoulderPitch,cmd_kRightShoulderRoll,cmd_kRightShoulderYaw,cmd_kRightElbow,cmd_kRightWristRoll,cmd_kRightWristPitch,cmd_kRightWristYaw,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.pitch,imu.roll,imu.yaw,kLeftAnklePitch.dq,kLeftAnklePitch.q,kLeftAnklePitch.tau,kLeftAnkleRoll.dq,kLeftAnkleRoll.q,kLeftAnkleRoll.tau,kLeftElbow.dq,kLeftElbow.q,kLeftElbow.tau,kLeftHipPitch.dq,kLeftHipPitch.q,kLeftHipPitch.tau,kLeftHipRoll.dq,kLeftHipRoll.q,kLeftHipRoll.tau,kLeftHipYaw.dq,kLeftHipYaw.q,kLeftHipYaw.tau,kLeftKnee.dq,kLeftKnee.q,kLeftKnee.tau,kLeftShoulderPitch.dq,kLeftShoulderPitch.q,kLeftShoulderPitch.tau,kLeftShoulderRoll.dq,kLeftShoulderRoll.q,kLeftShoulderRoll.tau,kLeftShoulderYaw.dq,kLeftShoulderYaw.q,kLeftShoulderYaw.tau,kLeftWristPitch.dq,kLeftWristPitch.q,kLeftWristPitch.tau,kLeftWristRoll.dq,kLeftWristRoll.q,kLeftWristRoll.tau,kLeftWristYaw.dq,kLeftWristYaw.q,kLeftWristYaw.tau,kRightAnklePitch.dq,kRightAnklePitch.q,kRightAnklePitch.tau,kRightAnkleRoll.dq,kRightAnkleRoll.q,kRightAnkleRoll.tau,kRightElbow.dq,kRightElbow.q,kRightElbow.tau,kRightHipPitch.dq,kRightHipPitch.q,kRightHipPitch.tau,kRightHipRoll.dq,kRightHipRoll.q,kRightHipRoll.tau,kRightHipYaw.dq,kRightHipYaw.q,kRightHipYaw.tau,kRightKnee.dq,kRightKnee.q,kRightKnee.tau,kRightShoulderPitch.dq,kRightShoulderPitch.q,kRightShoulderPitch.tau,kRightShoulderRoll.dq,kRightShoulderRoll.q,kRightShoulderRoll.tau,kRightShoulderYaw.dq,kRightShoulderYaw.q,kRightShoulderYaw.tau,kRightWristPitch.dq,kRightWristPitch.q,kRightWristPitch.tau,kRightWristRoll.dq,kRightWristRoll.q,kRightWristRoll.tau,kRightWristYaw.dq,kRightWristYaw.q,kRightWristYaw.tau,kWaistYaw.dq,kWaistYaw.q,kWaistYaw.tau,mode_machine
0.3863,0,6.9,378.2,385.6,14,0.43715,0.09068,0.27909,-0.24847,1.42444,0.24822,-0.02494,-0.0701,0.08024,-0.23749,0.19434,1.40352,-0.20578,0.19877,0.05008,0.27439,0.19807,-0.01029,0.98924,0.10938,0.04916,-0.01962,0.2751,-0.20072,0.02658,0.98849,-0.15131,0.02769,0.01993,-0.0,0.00639,-0.01385,0.03255,0.008,-0.83978,-0.0049,-0.20762,0.44417,-0.01188,0.0042,-0.4738,0.00153,0.9873,-0.375,0.00982,-0.27705,-4.6582,-0.01418,-0.00144,1.93359,-0.00857,0.00316,0.16779,-0.01745,0.47266,-5.27344,-0.00614,0.27639,0.5625,-0.02301,0.19599,1.0,0.00614,-0.00829,0.125,-0.01227,0.05121,-0.125,0.0046,0.10734,-0.0625,-0.00614,-0.01762,-0.05625,-0.00757,-0.22608,5.20984,-0.00179,0.00195,-2.96233,-0.0046,0.98651,-0.25,0.012,-0.22434,5.36133,-0.01745,0.00174,-6.67969,-0.01714,0.00153,2.96431,0.00764,0.41432,-1.93359,-0.00307,0.2771,0.75,0.0092,-0.19865,-1.4375,0.00307,0.02459,0.0625,0.00614,0.02574,-0.0125,-0.0092,-0.14931,-0.125,-0.00614,0.01798,0.03125,-0.00857,-0.00082,-0.11186,5.0
0.3991,1,4.5,7.6,12.7,14,0.43618,0.09243,0.28932,-0.24717,1.42395,0.24911,-0.02612,-0.06494,0.08312,-0.2445,0.19378,1.40284,-0.2054,0.19515,0.04529,0.27239,0.20007,-0.01229,0.99124,0.11138,0.04716,-0.02162,0.2731,-0.20272,0.02858,0.99049,-0.15331,0.02969,0.02193,-0.0032,0.00639,-0.01278,0.03255,0.008,-0.84002,-0.00706,-0.20762,0.53288,-0.00823,0.00418,-0.52654,0.00307,0.98778,-0.375,-0.01418,-0.27705,-4.6582,-0.00436,-0.0014,2.02148,-0.036,0.00313,0.16779,0.00654,0.47266,-5.53711,-0.00307,0.27636,0.5625,-0.01534,0.1951,1.125,0.0046,-0.00829,0.125,0.0,0.05147,-0.125,-0.01687,0.10729,-0.0625,0.0,-0.0177,-0.05625,0.00218,-0.22608,5.20984,-0.00368,0.00195,-2.96233,0.01227,0.98685,-0.3125,0.00436,-0.22435,5.36133,-0.00764,0.00176,-6.5918,0.02228,0.00157,2.85245,-0.00327,0.41437,-1.66992,0.01687,0.27682,0.6875,-0.00307,-0.19824,-1.375,0.00767,0.02462,0.0625,-0.01227,0.02608,-0.025,-0.00767,-0.14928,-0.125,0.0,0.01805,0.01875,-0.02914,-0.0008,-0.11186,5.0
0.4801,2,7.9,50.6,60.3,14,0.42931,0.09414,0.29839,-0.24683,1.42343,0.25029,-0.02725,-0.05739,0.08435,-0.25385,0.19244,1.40496,-0.2042,0.18871,0.0393,0.27039,0.20207,-0.01429,0.99324,0.11338,0.04516,-0.02362,0.2711,-0.20472,0.03058,0.99249,-0.15531,0.03169,0.02393,-0.00639,-0.00213,-0.00959,0.03253,0.00803,-0.84002,-0.00703,-0.20758,0.62129,0.00089,0.00426,-0.47423,0.15033,0.99412,-0.5,-0.01636,-0.27706,-4.57031,0.00327,-0.00142,1.93359,0.01028,0.00315,0.11186,0.00436,0.47271,-5.09766,-0.16874,0.27184,0.0625,-0.14573,0.19198,0.5,0.04755,-0.00817,-0.125,0.00614,0.05133,-0.28125,-0.01227,0.10812,0.0625,0.0,-0.01862,-0.23125,0.00164,-0.22605,5.38703,-0.00459,0.00196,-2.96165,0.19482,0.99289,-0.3125,0.01963,-0.22432,5.44922,-0.01745,0.00176,-6.5918,0.02228,0.00155,2.90838,0.01091,0.41446,-1.66992,-0.11965,0.27199,0.375,0.12425,-0.19551,-0.75,0.02915,0.02547,0.25,0.06136,0.02906,-0.0375,-0.02761,-0.15019,-0.3125,0.01841,0.0197,0.09375,-0.01371,-0.00082,-0.16779,5.0
0.517,3,9.4,26.1,36.6,14,0.42792,0.09391,0.30293,-0.24631,1.42301,0.2498,-0.0263,-0.05578,0.08763,-0.2571,0.19109,1.40091,-0.20339,0.18917,0.03787,0.26839,0.20407,-0.01629,0.99524,0.11538,0.04316,-0.02562,0.2691,-0.20672,0.03258,0.99449,-0.15731,0.03369,0.02593,0.00533,-0.0,-0.00107,0.03233,0.00802,-0.83982,-0.00054,-0.20756,0.62129,0.00091,0.00424,-0.47423,-0.0046,0.99509,-0.3125,0.00327,-0.27704,-4.57031,-0.00218,-0.00142,1.93359,0.0,0.00316,0.22372,0.0,0.47271,-5.18555,-0.05676,0.26791,0.125,-0.14113,0.18559,0.875,0.0,-0.00833,-0.0625,0.0,0.05134,-0.26875,-0.00153,0.10809,0.0625,0.02454,-0.01864,-0.23125,-0.00269,-0.22606,5.38703,-0.00273,0.00197,-2.96165,0.05369,0.99624,-0.25,0.0,-0.22431,5.53711,-0.03163,0.00173,-6.67969,0.00686,0.00154,2.90838,0.0,0.41449,-1.66992,-0.04295,0.26889,0.5,0.18254,-0.18918,-1.1875,0.0767,0.0284,0.0,0.0,0.02948,0.04375,0.0,-0.15051,-0.3125,0.00614,0.0207,0.09375,-0.00857,-0.00059,-0.16779,5.0
0.5376,4,8.8,10.7,20.5,14,0.42429,0.09467,0.31319,-0.2464,1.42026,0.25142,-0.02852,-0.0477,0.08893,-0.26709,0.19003,1.39882,-0.20214,0.18297,0.03155,0.26639,0.20607,-0.01829,0.99724,0.11738,0.04116,-0.02762,0.2671,-0.20872,0.03458,0.99649,-0.15931,0.03569,0.02793,0.00107,-0.00426,-0.01917,0.03236,0.00808,-0.83994,-0.00107,-0.20756,0.62129,0.00547,0.00425,-0.47423,0.04602,0.99597,-0.25,-0.00764,-0.27703,-4.57031,0.00109,-0.00142,1.93359,0.0,0.00321,0.22372,-0.00218,0.47272,-5.09766,-0.07823,0.26557,0.125,-0.05369,0.18112,1.3125,-0.03068,-0.00904,-0.25,-0.04909,0.05099,-0.425,0.06136,0.10876,0.1875,-0.07977,-0.01992,-0.26875,-0.00378,-0.22606,5.38703,-0.00273,0.00197,-2.96165,0.08437,0.99812,-0.125,-0.00873,-0.22433,5.44922,-0.00436,0.00177,-6.76758,-0.00686,0.00153,2.90838,-0.00218,0.4145,-1.58203,-0.11045,0.26522,0.5,0.12118,-0.18283,-1.75,0.13192,0.0337,-0.0625,0.12272,0.03119,0.01875,-0.06903,-0.15167,-0.375,0.07977,0.02192,0.1625,-0.00343,-0.00067,-0.16779,5.0
0.5719,5,4.0,16.3,21.3,14,0.42222,0.09769,0.33086,-0.24202,1.41993,0.24957,-0.02947,-0.0386,0.09274,-0.28315,0.18613,1.40304,-0.19618,0.17354,0.02241,0.26439,0.20807,-0.02029,0.99924,0.11938,0.03916,-0.02962,0.2651,-0.21072,0.03658,0.99849,-0.16131,0.03769,0.02593,-0.00852,-0.0,-0.01172,0.03244,0.00812,-0.83985,-0.00056,-0.20756,0.62129,-0.00639,0.00424,-0.47423,0.13499,0.99771,-0.375,0.00654,-0.27703,-4.74609,-0.00545,-0.00142,2.02148,0.01886,0.00323,0.22372,-0.00218,0.47272,-5.09766,-0.12118,0.26327,0.25,0.00614,0.18065,1.3125,-0.08744,-0.01085,-0.1875,-0.04295,0.04985,-0.48125,0.10891,0.11008,0.125,-0.11045,-0.02255,-0.1625,0.0,-0.22606,5.38703,0.0,0.00198,-2.96165,0.07977,0.99932,-0.125,-0.00436,-0.22431,5.44922,-0.00654,0.00176,-6.67969,0.02571,0.00154,2.90838,0.012,0.41448,-1.75781,-0.14113,0.26237,0.625,0.04909,-0.18087,-1.875,0.1534,0.03715,-0.25,0.17794,0.03551,-0.19375,-0.10891,-0.15334,-0.375,0.10431,0.024,0.1375,-0.00686,-0.00068,-0.16779,5.0
0.5988,6,4.5,9.9,14.8,14,0.41549,0.09767,0.33446,-0.24248,1.41531,0.24997,-0.03041,-0.0332,0.09253,-0.28698,0.18507,1.39607,-0.19729,0.1714,0.01949,0.26239,0.21007,-0.02229,1.00124,0.12138,0.03716,-0.03162,0.2631,-0.21272,0.03858,1.00049,-0.16331,0.03969,0.02393,-0.00426,0.00746,-0.00639,0.03249,0.00814,-0.83979,0.00972,-0.20755,0.62129,-0.0091,0.00424,-0.47423,0.08283,0.99982,-0.3125,0.01091,-0.27705,-4.6582,-0.00545,-0.00143,2.02148,0.00343,0.00319,0.22372,-0.00764,0.47271,-5.09766,-0.09971,0.26015,0.25,0.03068,0.18107,1.375,-0.10738,-0.01304,-0.125,-0.04909,0.04892,-0.53125,0.10584,0.11217,0.125,-0.03068,-0.02444,-0.30625,0.00376,-0.22606,5.29813,0.00639,0.00197,-3.01431,0.08897,1.00175,-0.125,0.0,-0.22432,5.44922,-0.01091,0.00172,-6.67969,0.02571,0.00155,2.96431,0.00654,0.41443,-1.8457,-0.11965,0.25897,0.6875,0.00153,-0.18071,-1.875,0.05369,0.04083,-0.1875,0.05522,0.03851,-0.0625,-0.21783,-0.15741,-0.0625,-0.01227,0.02548,0.04375,-0.01028,-0.00056,-0.16779,5.0
0.6435,7,3.9,21.4,26.0,14,0.41433,0.10114,0.36006,-0.24112,1.41596,0.25247,-0.02928,-0.02087,0.09899,-0.30948,0.18192,1.40092,-0.19351,0.16232,0.00656,0.26039,0.21207,-0.02429,1.00324,0.12338,0.03516,-0.02962,0.2611,-0.21472,0.04058,1.00249,-0.16531,0.04169,0.02193,-0.00639,0.00213,-0.01065,0.0325,0.00809,-0.83996,-0.00108,-0.20757,0.62129,0.00182,0.00426,-0.47423,0.09357,1.00163,-0.3125,-0.01636,-0.27705,-4.6582,0.0,-0.00145,1.93359,0.00514,0.00319,0.11186,-0.02618,0.4727,-5.18555,-0.11045,0.25719,0.25,0.03835,0.18193,1.5,-0.13959,-0.01528,-0.0625,-0.03068,0.04721,-0.5625,0.08744,0.11498,0.0625,-0.07363,-0.02601,-0.28125,0.00106,-0.22606,5.29813,0.00549,0.00197,-3.01431,0.07977,1.004,-0.125,0.0,-0.22431,5.53711,0.0,0.00168,-6.67969,-0.01543,0.00151,2.90838,0.02073,0.41444,-1.66992,-0.09971,0.25565,0.6875,-0.02761,-0.18111,-2.0,0.0,0.04135,0.0,0.02454,0.0394,0.0,-0.05062,-0.16058,-0.1875,-0.04909,0.02465,0.04375,-0.01371,-0.00062,-0.22372,5.0
0.6661,8,3.8,10.1,15.0,14,0.4098,0.10244,0.36834,-0.24159,1.41284,0.25345,-0.02996,-0.01238,0.10342,-0.31932,0.17957,1.39827,-0.1913,0.154,0.0002,0.25839,0.21407,-0.02629,1.00524,0.12538,0.03316,-0.02762,0.2591,-0.21672,0.04258,1.00449,-0.16731,0.04369,0.01993,-0.00533,0.0032,-0.01704,0.0326,0.0081,-0.83997,-0.00379,-0.20757,0.62129,-0.00092,0.00425,-0.47423,0.09511,1.00304,-0.25,-0.00327,-0.27705,-4.6582,-0.00545,-0.00145,1.93359,-0.01714,0.00321,0.16779,-0.00327,0.4727,-5.27344,-0.08283,0.25465,0.25,0.02915,0.183,1.5,-0.11812,-0.0183,-0.0625,-0.14113,0.04499,-0.4125,0.09357,0.1168,0.125,0.01227,-0.02665,-0.2125,-0.00161,-0.22607,5.20984,-0.00274,0.00195,-2.96233,0.07823,1.0055,-0.0625,-0.01091,-0.22433,5.44922,-0.01309,0.00169,-6.5918,-0.00171,0.00151,2.85245,0.00218,0.41438,-1.66992,-0.05676,0.2536,0.6875,-0.05369,-0.18198,-2.0,0.03375,0.0415,0.0,0.01227,0.03992,0.10625,-0.11045,-0.16284,-0.125,-0.07977,0.02357,0.01875,0.01028,-0.00058,-0.16779,5.0
0.7463,9,6.5,54.4,61.8,14,0.40846,0.10155,0.36925,-0.23908,1.41527,0.25224,-0.02884,-0.01493,0.10243,-0.31867,0.17868,1.40074,-0.19136,0.15519,0.00197,0.25639,0.21607,-0.02829,1.00724,0.12738,0.03116,-0.02562,0.2571,-0.21872,0.04458,1.00649,-0.16931,0.04569,0.01793,-0.01598,0.00959,-0.01385,0.03273,0.00811,-0.84003,0.00161,-0.20757,0.62129,-0.00638,0.00426,-0.47423,0.11658,1.00681,-0.375,0.01963,-0.27706,-4.6582,0.00436,-0.00144,1.93359,-0.00343,0.00316,0.16779,-0.00764,0.4727,-5.27344,-0.08897,0.2516,0.4375,0.02761,0.18419,1.5625,-0.21016,-0.02394,0.3125,-0.06136,0.04117,-0.3875,0.0721,0.11887,0.125,0.02454,-0.02584,-0.1625,-0.00487,-0.22608,5.38703,0.00094,0.00195,-2.96165,0.07363,1.00813,-0.1875,0.00218,-0.2243,5.53711,-0.00873,0.0017,-6.67969,0.00857,0.00155,2.90838,-0.00545,0.41435,-1.66992,-0.06903,0.25141,0.6875,-0.05216,-0.18335,-2.0,0.03835,0.0426,0.0625,0.14726,0.04228,-0.0625,-0.03375,-0.1675,-0.0625,-0.04295,0.02128,0.01875,-0.00857,-0.00062,-0.16779,5.0
