# args: {'layout': '14d', 'policy': 'ajkoder/g1-pickup-ball-act', 'iface': 'enp5s0', 'camera': 'zmq://192.168.123.164:55555', 'clamp': 0.002, 'duration': 30.0, 'fps': 30.0, 'device': None, 'rerun': True, 'no_rerun': False, 'dry_run': False, 'image_no_motors': False, 'leave_arms_engaged': True, 'log': None, 'kp': 60.0, 'kd': 1.5}
t,step,cam_ms,policy_ms,loop_ms,clamp_hits,max_target_gap,target_kLeftShoulderPitch,target_kLeftShoulderRoll,target_kLeftShoulderYaw,target_kLeftElbow,target_kLeftWristRoll,target_kLeftWristPitch,target_kLeftWristYaw,target_kRightShoulderPitch,target_kRightShoulderRoll,target_kRightShoulderYaw,target_kRightElbow,target_kRightWristRoll,target_kRightWristPitch,target_kRightWristYaw,cmd_kLeftShoulderPitch,cmd_kLeftShoulderRoll,cmd_kLeftShoulderYaw,cmd_kLeftElbow,cmd_kLeftWristRoll,cmd_kLeftWristPitch,cmd_kLeftWristYaw,cmd_kRightShoulderPitch,cmd_kRightShoulderRoll,cmd_kRightShoulderYaw,cmd_kRightElbow,cmd_kRightWristRoll,cmd_kRightWristPitch,cmd_kRightWristYaw,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.pitch,imu.roll,imu.yaw,kLeftAnklePitch.dq,kLeftAnklePitch.q,kLeftAnklePitch.tau,kLeftAnkleRoll.dq,kLeftAnkleRoll.q,kLeftAnkleRoll.tau,kLeftElbow.dq,kLeftElbow.q,kLeftElbow.tau,kLeftHipPitch.dq,kLeftHipPitch.q,kLeftHipPitch.tau,kLeftHipRoll.dq,kLeftHipRoll.q,kLeftHipRoll.tau,kLeftHipYaw.dq,kLeftHipYaw.q,kLeftHipYaw.tau,kLeftKnee.dq,kLeftKnee.q,kLeftKnee.tau,kLeftShoulderPitch.dq,kLeftShoulderPitch.q,kLeftShoulderPitch.tau,kLeftShoulderRoll.dq,kLeftShoulderRoll.q,kLeftShoulderRoll.tau,kLeftShoulderYaw.dq,kLeftShoulderYaw.q,kLeftShoulderYaw.tau,kLeftWristPitch.dq,kLeftWristPitch.q,kLeftWristPitch.tau,kLeftWristRoll.dq,kLeftWristRoll.q,kLeftWristRoll.tau,kLeftWristYaw.dq,kLeftWristYaw.q,kLeftWristYaw.tau,kRightAnklePitch.dq,kRightAnklePitch.q,kRightAnklePitch.tau,kRightAnkleRoll.dq,kRightAnkleRoll.q,kRightAnkleRoll.tau,kRightElbow.dq,kRightElbow.q,kRightElbow.tau,kRightHipPitch.dq,kRightHipPitch.q,kRightHipPitch.tau,kRightHipRoll.dq,kRightHipRoll.q,kRightHipRoll.tau,kRightHipYaw.dq,kRightHipYaw.q,kRightHipYaw.tau,kRightKnee.dq,kRightKnee.q,kRightKnee.tau,kRightShoulderPitch.dq,kRightShoulderPitch.q,kRightShoulderPitch.tau,kRightShoulderRoll.dq,kRightShoulderRoll.q,kRightShoulderRoll.tau,kRightShoulderYaw.dq,kRightShoulderYaw.q,kRightShoulderYaw.tau,kRightWristPitch.dq,kRightWristPitch.q,kRightWristPitch.tau,kRightWristRoll.dq,kRightWristRoll.q,kRightWristRoll.tau,kRightWristYaw.dq,kRightWristYaw.q,kRightWristYaw.tau,kWaistYaw.dq,kWaistYaw.q,kWaistYaw.tau,mode_machine
0.2899,0,6.5,282.1,289.0,14,0.4324,0.09925,0.27294,-0.18924,1.42406,0.17182,-0.0007,-0.07941,0.10069,-0.25249,0.14853,1.40715,-0.14247,0.26892,-0.024,0.27855,0.18254,-0.00443,0.99362,0.07534,0.07103,0.01051,0.27947,-0.19485,0.00688,0.99326,-0.18616,0.07115,-0.00337,-0.02131,-0.0032,-0.01172,0.00925,0.01124,-0.53874,-0.00269,-0.25875,6.00039,-0.00462,-0.00288,-0.59203,0.00153,0.99166,-0.5,-0.00545,-0.21771,-6.85547,-0.00327,0.00102,0.79102,0.01886,0.00214,0.44744,0.01091,0.49854,-6.85547,-0.03528,0.28032,0.4375,-0.00767,0.18052,1.25,0.0046,-0.00244,0.125,0.01841,0.07316,-0.1625,-0.06903,0.07298,-0.125,0.01841,0.01257,0.05,-0.00433,-0.26753,10.23612,0.00373,0.01731,-2.66209,-0.00614,0.99129,-0.125,-0.02291,-0.19234,6.06445,-0.00218,0.0011,-5.71289,0.0,-0.00292,3.63548,0.01963,0.44563,-6.32812,0.0092,0.28144,0.5625,0.01994,-0.19267,-1.375,0.00307,0.00489,0.125,0.0,0.0692,0.01875,0.00153,-0.18814,-0.125,0.0,-0.00137,0.01875,0.00686,-0.00016,-0.16779,5.0
0.3058,1,5.0,10.4,15.8,14,0.42935,0.09865,0.28175,-0.18961,1.42118,0.17282,-3e-05,-0.07326,0.1021,-0.26074,0.14718,1.40883,-0.14109,0.26362,-0.02965,0.27655,0.18454,-0.00643,0.99562,0.07734,0.06903,0.00851,0.27747,-0.19685,0.00888,0.99526,-0.18416,0.07315,-0.00537,-0.00746,0.00533,-0.00426,0.00938,0.01131,-0.53864,-0.0016,-0.25875,6.00039,0.00091,-0.00287,-0.59203,0.04602,0.99183,-0.125,-0.00654,-0.21773,-6.85547,-0.00982,0.00102,0.70312,-0.00857,0.00214,0.50337,0.0,0.49854,-6.76758,-0.06136,0.27869,-0.0625,-0.11198,0.17986,0.1875,-0.00153,-0.00248,0.0,0.01841,0.07331,-0.175,0.02454,0.07025,0.0625,-0.04909,0.01291,-0.125,0.00379,-0.26752,10.23612,-0.0028,0.01731,-2.66209,0.04755,0.99185,0.1875,-0.00109,-0.19235,6.06445,-0.01418,0.00109,-5.88867,0.01714,-0.00292,3.63548,-0.00654,0.4456,-6.41602,-0.03988,0.28111,0.125,0.08744,-0.19091,-0.5,0.00767,0.00493,0.1875,0.04295,0.06944,0.09375,0.01381,-0.1882,0.0,0.0,-0.00138,-0.0625,0.01886,-0.00016,-0.16779,5.0
0.3526,2,4.0,24.2,29.2,14,0.42278,0.09969,0.28775,-0.18776,1.41976,0.17135,-0.00239,-0.06693,0.10268,-0.26844,0.1454,1.4096,-0.13849,0.25925,-0.03517,0.27455,0.18654,-0.00843,0.99762,0.07934,0.06703,0.00651,0.27547,-0.19885,0.01088,0.99726,-0.18216,0.07515,-0.00737,-0.01065,0.0032,-0.00746,0.00933,0.01132,-0.53867,0.00266,-0.25875,6.08964,-0.00459,-0.00287,-0.54029,0.18561,0.99698,-0.4375,0.00436,-0.2177,-6.94336,-0.01309,0.00101,0.79102,0.0,0.00214,0.39151,0.0,0.49857,-6.76758,-0.10278,0.2756,0.0625,-0.11812,0.17671,0.4375,-0.06136,-0.00216,0.0,-0.01227,0.07321,-0.26875,0.03835,0.07133,0.125,-0.03068,0.01189,-0.1875,-0.00058,-0.26751,10.32582,0.00462,0.01732,-2.60939,0.28839,0.99946,-0.5,0.0,-0.19232,6.24023,-0.01091,0.00109,-5.88867,0.00686,-0.00293,3.63548,-0.01091,0.44562,-6.41602,-0.19788,0.27627,0.4375,0.14113,-0.1881,-0.8125,0.00153,0.00484,0.375,0.07363,0.07115,0.03125,0.00153,-0.18771,0.0625,-0.05522,-0.00334,0.01875,-0.02914,-0.00017,-0.16779,5.0
0.3703,3,4.2,8.5,13.5,14,0.42044,0.09781,0.28939,-0.18692,1.41906,0.17167,-0.00295,-0.06721,0.10441,-0.26845,0.14517,1.40513,-0.13843,0.26007,-0.03486,0.27255,0.18854,-0.01043,0.99962,0.08134,0.06503,0.00451,0.27347,-0.20085,0.01288,0.99926,-0.18016,0.07715,-0.00937,-0.00533,0.00426,-0.00852,0.0092,0.01131,-0.5386,0.00373,-0.25875,5.91061,-0.00459,-0.00287,-0.5397,0.05676,0.99862,-0.25,0.0,-0.21775,-6.94336,-0.00218,0.00101,0.79102,0.01371,0.00214,0.44744,0.00218,0.49857,-6.85547,-0.0675,0.27391,0.0,-0.14419,0.17274,0.875,-0.02454,-0.00241,-0.25,-0.02454,0.07309,-0.3625,0.0813,0.07216,0.25,-0.07363,0.01124,-0.2125,0.00271,-0.2675,10.23612,-0.00279,0.01731,-2.66209,0.06136,1.0033,-0.25,-0.03163,-0.19235,6.06445,0.01636,0.0011,-5.97656,-0.01714,-0.00293,3.69141,-0.00545,0.44561,-6.41602,-0.06443,0.27342,0.3125,0.13039,-0.18409,-1.1875,0.07363,0.00534,0.375,0.01841,0.0729,0.125,0.02915,-0.18755,0.125,-0.04295,-0.00399,-0.11875,-0.02228,-0.00019,-0.16779,5.0
0.4274,4,4.5,31.7,37.3,14,0.41664,0.09767,0.2981,-0.18641,1.418,0.17374,-0.00272,-0.05976,0.1048,-0.27714,0.144,1.40683,-0.13937,0.25395,-0.04092,0.27055,0.19054,-0.01243,1.00162,0.08334,0.06303,0.00251,0.27147,-0.20285,0.01488,1.00126,-0.17816,0.07915,-0.01137,-0.0,0.01065,-0.0032,0.00923,0.01132,-0.53862,-0.00377,-0.25875,6.00039,-0.00647,-0.00287,-0.59203,0.10124,1.00137,-0.375,-0.00764,-0.21771,-6.94336,0.00109,0.00101,0.79102,-0.00343,0.00213,0.44744,-0.00873,0.49857,-6.85547,-0.06443,0.27261,-0.0625,-0.08744,0.16911,1.125,-0.14266,-0.00459,-0.0625,0.0,0.07242,-0.45625,0.12118,0.07517,0.0625,-0.14113,0.0082,-0.05625,2e-05,-0.26751,10.23612,-0.00185,0.0173,-2.66209,0.07517,1.00516,-0.3125,-0.01636,-0.19233,6.24023,-0.03054,0.00109,-5.88867,-0.00514,-0.00295,3.69141,-0.00654,0.44561,-6.32812,-0.06136,0.27167,0.3125,0.0905,-0.18042,-1.5,0.31753,0.01099,-0.125,0.12272,0.07448,0.03125,0.01381,-0.18649,0.25,-0.01841,-0.00519,-0.16875,-0.01714,-0.00016,-0.16779,5.0
0.4454,5,5.9,11.1,17.7,14,0.4126,0.0993,0.30988,-0.18343,1.41762,0.17169,-0.00326,-0.05401,0.10699,-0.28958,0.13933,1.41227,-0.13403,0.24645,-0.04832,0.26855,0.19254,-0.01443,1.00362,0.08534,0.06103,0.00051,0.26947,-0.20485,0.01688,1.00326,-0.17616,0.08115,-0.01337,-0.00213,-0.01065,-0.01385,0.00928,0.0114,-0.53844,0.0016,-0.25874,6.08964,-0.00276,-0.00289,-0.54029,0.12885,1.00502,-0.5,0.00327,-0.21774,-6.85547,-0.00873,0.00101,0.79102,0.024,0.0021,0.39151,0.0,0.49859,-6.85547,-0.11198,0.26975,0.0625,-0.03528,0.16719,1.25,-0.05522,-0.00772,-0.0625,-0.03068,0.07223,-0.53125,0.04295,0.07725,0.125,-0.0675,0.00429,-0.05625,-0.00104,-0.26751,10.23612,-0.00368,0.01731,-2.66209,0.10431,1.00733,-0.3125,-0.01418,-0.19234,6.06445,-0.01091,0.0011,-5.80078,-0.02057,-0.00293,3.63548,0.01636,0.44562,-6.41602,-0.05216,0.26923,0.3125,0.06903,-0.17729,-1.75,0.11505,0.0162,-0.0625,0.06136,0.07842,-0.025,0.0092,-0.18619,0.3125,-0.02454,-0.00529,-0.3,0.00514,-0.00016,-0.16779,5.0
0.4768,6,4.4,10.4,15.7,14,0.40829,0.1014,0.31618,-0.18108,1.41683,0.17027,-0.00496,-0.0509,0.10662,-0.29543,0.138,1.41299,-0.13387,0.24222,-0.0524,0.26655,0.19454,-0.01643,1.00562,0.08734,0.05903,-0.00149,0.26747,-0.20685,0.01888,1.00526,-0.17416,0.08315,-0.01537,-0.0032,-0.0,-0.01491,0.00922,0.0114,-0.53852,0.00427,-0.25875,6.00039,-0.0055,-0.00287,-0.59203,0.13039,1.00854,-0.625,0.00436,-0.21774,-6.85547,0.00654,0.00101,0.79102,-0.00514,0.00214,0.44744,0.0,0.49859,-6.94336,-0.09971,0.26742,0.0625,0.01074,0.1669,1.3125,-0.0046,-0.00884,-0.125,-0.01841,0.07101,-0.5875,0.05983,0.07888,0.125,-0.01841,0.00258,-0.125,0.00117,-0.26749,10.23612,-0.01109,0.0173,-2.66209,0.07977,1.00938,-0.3125,-0.02509,-0.19233,6.06445,-0.01854,0.00108,-5.88867,0.02057,-0.00291,3.63548,0.00327,0.44561,-6.41602,-0.07056,0.26709,0.375,0.00153,-0.17709,-1.8125,0.10738,0.02103,-0.25,0.07977,0.08013,-0.0125,0.10431,-0.18341,0.125,-0.04909,-0.0068,-0.2625,0.00171,-0.00017,-0.16779,5.0
0.5224,7,3.9,23.0,27.9,14,0.4059,0.10268,0.32873,-0.17939,1.41669,0.17108,-0.00338,-0.04207,0.11036,-0.30798,0.13549,1.41315,-0.13148,0.23888,-0.0613,0.26455,0.19654,-0.01843,1.00762,0.08934,0.05703,-0.00349,0.26547,-0.20885,0.02088,1.00726,-0.17216,0.08515,-0.01737,-0.00639,0.0032,-0.00746,0.00926,0.01145,-0.53853,-0.00108,-0.25875,6.00039,-0.00369,-0.00287,-0.59203,0.07823,1.01079,-0.5,0.00982,-0.21774,-6.85547,-0.00982,0.00099,0.79102,-0.00514,0.00218,0.50337,-0.00982,0.49857,-6.94336,-0.07977,0.26531,0.0625,0.02608,0.1675,1.4375,-0.03528,-0.00962,-0.25,-0.04295,0.06984,-0.625,0.07056,0.08045,0.1875,-0.05522,0.00126,-0.10625,-0.00109,-0.2675,10.23612,0.00186,0.01731,-2.66209,0.04295,1.0107,-0.25,-0.03272,-0.19235,6.24023,-0.02836,0.00106,-5.80078,0.0,-0.00292,3.63548,0.00436,0.4456,-6.32812,-0.05676,0.26514,0.375,-0.0092,-0.17725,-1.875,0.02761,0.02218,-0.0625,0.04909,0.0819,0.03125,0.05216,-0.17895,0.0625,-0.07363,-0.01013,-0.18125,-0.01371,-0.00017,-0.16779,5.0
0.555,8,6.4,20.1,27.2,14,0.40306,0.10206,0.33424,-0.17989,1.41464,0.17277,-0.00434,-0.03852,0.11138,-0.31446,0.13348,1.41461,-0.12953,0.23271,-0.06349,0.26255,0.19854,-0.02043,1.00962,0.09134,0.05503,-0.00549,0.26347,-0.21085,0.02288,1.00926,-0.17016,0.08715,-0.01937,-0.0032,0.00426,-0.01065,0.00938,0.01147,-0.53847,0.00537,-0.25875,6.00039,0.00371,-0.00286,-0.59203,0.14266,1.01405,-0.6875,0.00873,-0.21776,-6.85547,-0.01091,0.001,0.79102,-0.012,0.00216,0.50337,-0.01418,0.49857,-6.85547,-0.13652,0.26184,0.1875,0.02915,0.16835,1.5,-0.04295,-0.01044,-0.25,-0.03682,0.06933,-0.70625,0.21016,0.08366,-0.0625,-0.09817,-0.00077,-0.04375,0.0,-0.26751,10.23612,0.0,0.01731,-2.66209,0.03682,1.01155,-0.125,-0.00873,-0.19235,6.06445,-0.00218,0.00107,-5.88867,0.00857,-0.00293,3.63548,0.00218,0.44561,-6.24023,-0.01534,0.26365,0.25,-0.03375,-0.17813,-1.875,0.04909,0.02247,0.0,0.03682,0.08282,0.125,0.0859,-0.17773,0.0625,-0.05522,-0.011,-0.2875,-0.012,-0.00019,-0.16779,5.0
0.5876,9,4.5,21.5,26.4,14,0.40414,0.10188,0.33836,-0.17903,1.41612,0.17383,-0.00466,-0.03746,0.11188,-0.31614,0.13243,1.41685,-0.13013,0.22966,-0.06639,0.26055,0.20054,-0.02243,1.01162,0.09334,0.05303,-0.00749,0.26147,-0.21285,0.02488,1.01126,-0.16816,0.08915,-0.02137,-0.01278,-0.0032,-0.00746,0.00941,0.0115,-0.5385,-3e-05,-0.25875,6.00039,-0.00921,-0.00287,-0.59203,0.06596,1.01539,-0.5,0.00873,-0.21776,-6.85547,-0.00218,0.00101,0.79102,-0.024,0.00212,0.50337,-0.00109,0.49858,-6.76758,-0.08437,0.25947,0.125,0.03988,0.16925,1.5,-0.10738,-0.012,-0.25,-0.0859,0.06854,-0.70625,0.0905,0.08723,0.0,-0.03682,-0.00241,-0.10625,-0.0038,-0.2675,10.23612,0.00465,0.01729,-2.66209,0.04755,1.01271,-0.0625,-0.01636,-0.19236,6.24023,-0.012,0.00108,-5.88867,-0.00343,-0.00295,3.63548,0.00764,0.4456,-6.32812,-0.06289,0.26172,0.3125,-0.03682,-0.17885,-2.0,0.03988,0.02308,0.0,0.07363,0.08432,0.08125,0.0767,-0.17691,0.125,-0.07363,-0.01188,-0.34375,0.00343,-0.00017,-0.16779,5.0
