# args: {'layout': '14d', 'policy': 'ajkoder/g1-pickup-ball-act', 'iface': 'enp5s0', 'camera': 'zmq://192.168.123.164:55555', 'clamp': 0.01, 'duration': 30.0, 'fps': 30.0, 'device': None, 'rerun': True, 'no_rerun': False, 'record_path': 'logs/demo.rrd', 'no_display': True, 'dry_run': False, 'image_no_motors': False, 'leave_arms_engaged': True, 'log': None, 'kp': 60.0, 'kd': 1.5}
t,step,cam_ms,policy_ms,loop_ms,clamp_hits,max_target_gap,target_kLeftShoulderPitch,target_kLeftShoulderRoll,target_kLeftShoulderYaw,target_kLeftElbow,target_kLeftWristRoll,target_kLeftWristPitch,target_kLeftWristYaw,target_kRightShoulderPitch,target_kRightShoulderRoll,target_kRightShoulderYaw,target_kRightElbow,target_kRightWristRoll,target_kRightWristPitch,target_kRightWristYaw,cmd_kLeftShoulderPitch,cmd_kLeftShoulderRoll,cmd_kLeftShoulderYaw,cmd_kLeftElbow,cmd_kLeftWristRoll,cmd_kLeftWristPitch,cmd_kLeftWristYaw,cmd_kRightShoulderPitch,cmd_kRightShoulderRoll,cmd_kRightShoulderYaw,cmd_kRightElbow,cmd_kRightWristRoll,cmd_kRightWristPitch,cmd_kRightWristYaw,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.pitch,imu.roll,imu.yaw,kLeftAnklePitch.dq,kLeftAnklePitch.q,kLeftAnklePitch.tau,kLeftAnkleRoll.dq,kLeftAnkleRoll.q,kLeftAnkleRoll.tau,kLeftElbow.dq,kLeftElbow.q,kLeftElbow.tau,kLeftHipPitch.dq,kLeftHipPitch.q,kLeftHipPitch.tau,kLeftHipRoll.dq,kLeftHipRoll.q,kLeftHipRoll.tau,kLeftHipYaw.dq,kLeftHipYaw.q,kLeftHipYaw.tau,kLeftKnee.dq,kLeftKnee.q,kLeftKnee.tau,kLeftShoulderPitch.dq,kLeftShoulderPitch.q,kLeftShoulderPitch.tau,kLeftShoulderRoll.dq,kLeftShoulderRoll.q,kLeftShoulderRoll.tau,kLeftShoulderYaw.dq,kLeftShoulderYaw.q,kLeftShoulderYaw.tau,kLeftWristPitch.dq,kLeftWristPitch.q,kLeftWristPitch.tau,kLeftWristRoll.dq,kLeftWristRoll.q,kLeftWristRoll.tau,kLeftWristYaw.dq,kLeftWristYaw.q,kLeftWristYaw.tau,kRightAnklePitch.dq,kRightAnklePitch.q,kRightAnklePitch.tau,kRightAnkleRoll.dq,kRightAnkleRoll.q,kRightAnkleRoll.tau,kRightElbow.dq,kRightElbow.q,kRightElbow.tau,kRightHipPitch.dq,kRightHipPitch.q,kRightHipPitch.tau,kRightHipRoll.dq,kRightHipRoll.q,kRightHipRoll.tau,kRightHipYaw.dq,kRightHipYaw.q,kRightHipYaw.tau,kRightKnee.dq,kRightKnee.q,kRightKnee.tau,kRightShoulderPitch.dq,kRightShoulderPitch.q,kRightShoulderPitch.tau,kRightShoulderRoll.dq,kRightShoulderRoll.q,kRightShoulderRoll.tau,kRightShoulderYaw.dq,kRightShoulderYaw.q,kRightShoulderYaw.tau,kRightWristPitch.dq,kRightWristPitch.q,kRightWristPitch.tau,kRightWristRoll.dq,kRightWristRoll.q,kRightWristRoll.tau,kRightWristYaw.dq,kRightWristYaw.q,kRightWristYaw.tau,kWaistYaw.dq,kWaistYaw.q,kWaistYaw.tau,mode_machine
0.2834,0,6.7,275.9,283.1,12,0.36885,0.12169,0.23879,-0.18488,1.36012,0.16363,-0.01575,-0.07884,0.12209,-0.20469,0.12896,1.33095,-0.12421,0.24046,-0.0022,0.2709,0.19536,-0.01797,1.00116,0.11409,0.0628,0.00244,0.27204,-0.20469,0.01489,0.9982,-0.13908,0.07923,-0.0022,-0.00852,0.01278,-0.01172,0.01563,0.00717,0.04597,-0.00271,-0.24394,4.99412,-0.00829,0.01005,-1.05303,0.02148,0.99128,-0.5625,-0.00218,-0.24049,-5.71289,-0.00436,-0.01079,2.90039,0.00171,0.0019,0.16779,0.00218,0.49709,-7.03125,-0.04295,0.28071,0.4375,-0.01534,0.18536,1.625,0.00307,-0.00798,0.125,0.01841,0.0729,-0.1375,-0.01687,0.10398,-0.3125,-0.01227,0.01246,0.075,0.00163,-0.25806,9.28333,-0.00278,0.01451,-2.83191,0.0,0.9882,-0.25,-0.01636,-0.19254,5.53711,-0.00654,0.00596,-6.41602,-0.00343,0.00216,2.5728,0.00654,0.43055,-3.25195,-0.00307,0.28204,0.625,0.02301,-0.19465,-1.3125,0.00614,0.0049,0.0,0.02454,0.06927,-0.0375,-0.0092,-0.14911,-0.125,-0.00614,-0.00115,0.03125,0.00171,-0.00194,-0.22372,5.0
0.2951,1,5.2,6.0,11.5,12,0.36654,0.12149,0.24581,-0.18554,1.35815,0.16443,-0.0178,-0.07438,0.12292,-0.2118,0.13132,1.3314,-0.1247,0.23595,-0.00517,0.2609,0.20536,-0.02797,1.01116,0.12409,0.0528,-0.00756,0.26204,-0.2118,0.02489,1.0082,-0.12908,0.08923,-0.00517,-0.00533,0.00107,-0.01385,0.01594,0.00719,0.04607,-0.00108,-0.24395,4.81587,-0.00368,0.01005,-1.05264,0.07363,0.99161,0.3125,-0.00327,-0.24049,-5.80078,-0.00327,-0.01078,2.98828,0.012,0.00186,0.16779,-0.00109,0.49707,-7.11914,-0.08437,0.27722,-0.375,-0.13192,0.18488,0.625,-0.04449,-0.00813,-0.375,-0.12272,0.07283,-0.49375,0.05522,0.1032,0.375,-0.20249,0.01258,-0.4125,0.00651,-0.25806,9.10433,-0.00927,0.0145,-2.83347,0.0813,0.98846,0.625,-0.00436,-0.19252,5.53711,-0.01963,0.00594,-6.32812,-0.00686,0.00216,2.5728,-0.00436,0.43054,-3.42773,-0.10124,0.28155,-0.25,0.0859,-0.19133,-1.0625,0.04602,0.00509,0.6875,0.18408,0.06974,0.4125,0.06136,-0.14892,0.375,-0.03682,-0.00119,-0.025,-0.012,-0.00198,-0.16779,5.0
0.3519,2,4.0,29.8,34.9,11,0.35083,0.12347,0.25023,-0.18385,1.3588,0.16405,-0.02061,-0.07063,0.12488,-0.21602,0.12942,1.33316,-0.12221,0.23071,-0.01025,0.2509,0.21536,-0.03797,1.02116,0.13409,0.0428,-0.01756,0.25204,-0.21602,0.03489,1.0182,-0.12221,0.09923,-0.01025,-0.01172,-0.02557,-0.01598,0.01576,0.00719,0.046,-1e-05,-0.24395,4.63762,-0.00552,0.01005,-1.05225,0.60746,1.00797,-0.75,0.00109,-0.24042,-5.88867,-0.00436,-0.01079,2.90039,0.00171,0.00187,0.11186,0.00436,0.49709,-7.4707,-0.28685,0.2676,-0.125,0.08744,0.18487,0.9375,-0.26691,-0.01564,-0.25,-0.04909,0.06664,-0.7625,0.28685,0.11404,0.0625,-0.28225,0.00115,-0.125,-0.00325,-0.25807,8.83539,0.00371,0.01452,-2.88783,0.56757,1.00552,-0.5,-0.012,-0.19249,5.36133,0.00436,0.00593,-6.41602,-0.012,0.00216,2.5728,0.01418,0.43057,-3.7793,-0.26845,0.27111,-0.0625,-0.03528,-0.19243,-1.25,0.50468,0.01789,-0.125,0.30066,0.08089,0.09375,0.27458,-0.13893,0.0625,-0.05522,-0.00322,-0.0125,-0.00857,-0.00196,-0.16779,5.0
0.3688,3,5.9,10.4,16.7,11,0.33697,0.1238,0.25392,-0.18227,1.35812,0.16365,-0.02063,-0.06676,0.12751,-0.22028,0.12825,1.33016,-0.12166,0.22829,-0.01444,0.2409,0.22536,-0.04797,1.03116,0.14409,0.0328,-0.02756,0.24204,-0.22028,0.04489,1.0282,-0.12166,0.10923,-0.01444,-0.00746,-0.00639,-0.01704,0.01533,0.00715,0.046,0.00319,-0.24393,4.54834,-0.01655,0.01002,-0.99995,0.24544,1.02115,-0.5,-0.01309,-0.24049,-5.88867,-0.00436,-0.01079,2.90039,-0.01371,0.00187,0.16779,-0.00436,0.49709,-7.4707,-0.28072,0.25981,-0.3125,-0.00153,0.18492,1.625,-0.316,-0.02616,-0.125,-0.20249,0.06566,-1.1875,0.10584,0.11839,0.6875,-0.25771,-0.00536,-0.49375,0.00385,-0.25805,8.74545,-0.01201,0.01453,-2.94063,0.22703,1.01734,-0.125,-0.01091,-0.19251,5.36133,0.01418,0.00591,-6.41602,0.01028,0.00218,2.5728,0.0,0.43061,-3.7793,-0.16107,0.2608,-0.125,0.06596,-0.19118,-1.625,0.17181,0.02463,0.5,0.20862,0.09136,0.28125,0.17027,-0.13481,0.375,-0.06136,-0.00356,-0.33125,0.02571,-0.00181,-0.27965,5.0
0.4052,4,4.4,14.0,19.7,11,0.3206,0.12344,0.26305,-0.18239,1.35453,0.16494,-0.02139,-0.05993,0.12905,-0.22891,0.12771,1.32671,-0.12218,0.22428,-0.0196,0.2309,0.23536,-0.05797,1.04116,0.15409,0.0228,-0.03756,0.23204,-0.22891,0.05489,1.0382,-0.12218,0.11923,-0.0196,-0.00107,-0.00639,-0.02237,0.01516,0.00709,0.04602,0.00158,-0.24392,4.45938,-0.01748,0.01,-1.05186,0.46173,1.03393,-0.9375,0.00109,-0.24042,-5.88867,-0.02836,-0.01079,2.90039,-0.01714,0.00186,0.22372,-0.00109,0.49709,-7.4707,-0.47707,0.24879,0.0,0.1672,0.18677,1.9375,-0.34975,-0.03638,-0.0625,-0.48474,0.05111,-0.35,0.30986,0.13108,0.25,-0.38656,-0.01617,-0.125,0.0011,-0.25806,8.74545,-0.0037,0.01452,-2.94063,0.42491,1.02717,-0.4375,-0.012,-0.1925,5.36133,-0.00982,0.00595,-6.32812,-0.00686,0.00216,2.62873,0.01636,0.43066,-3.86719,-0.26078,0.25217,-0.0625,-0.01074,-0.19126,-1.875,0.5461,0.03926,-0.25,0.3927,0.10001,-0.0375,0.04295,-0.12867,0.25,-0.12272,-0.00731,-0.19375,-0.00857,-0.0017,-0.16779,5.0
0.4459,5,3.6,22.9,27.0,10,0.31335,0.12878,0.27197,-0.17669,1.3561,0.15954,-0.02512,-0.05703,0.13277,-0.23746,0.1241,1.33313,-0.11618,0.21404,-0.02594,0.2209,0.24536,-0.06797,1.05116,0.15954,0.0128,-0.04756,0.22204,-0.23746,0.06489,1.0482,-0.11618,0.12923,-0.02594,0.0032,-0.0,-0.01278,0.01514,0.00717,0.0461,0.0,-0.24392,4.37009,0.0,0.01,-0.99956,0.37889,1.04275,-0.75,0.01963,-0.24041,-5.88867,-0.012,-0.01079,2.8125,0.00514,0.00187,0.16779,0.0,0.49709,-7.38281,-0.31753,0.24164,-0.3125,0.1672,0.19118,2.25,-0.52309,-0.04594,0.125,-0.47247,0.04118,-0.425,0.37276,0.14077,0.0625,-0.25157,-0.02541,-0.375,-0.00851,-0.25807,8.74545,-0.0073,0.01451,-2.94063,0.35742,1.0378,-0.25,0.00218,-0.1925,5.27344,-0.00873,0.00598,-6.50391,-0.00686,0.00216,2.74059,0.0,0.43067,-3.95508,-0.3114,0.24045,0.0625,-0.05369,-0.19109,-2.3125,0.50008,0.04912,-0.125,0.31907,0.11275,-0.0375,-0.0046,-0.12786,0.25,-0.11658,-0.01137,-0.275,0.01714,-0.00169,-0.22372,5.0
0.4648,6,4.2,7.9,12.5,9,0.30238,0.1296,0.27741,-0.17484,1.35224,0.15802,-0.02645,-0.05255,0.13307,-0.2427,0.12185,1.32864,-0.11547,0.2124,-0.02997,0.2109,0.25536,-0.07797,1.06116,0.15802,0.0028,-0.05255,0.21204,-0.2427,0.07489,1.0582,-0.11547,0.13923,-0.02997,-0.00959,0.00852,-0.00639,0.01521,0.00715,0.04625,-0.00216,-0.24391,4.37009,-0.00369,0.00998,-0.99956,0.3114,1.04987,-0.4375,-0.00545,-0.2405,-5.80078,0.0,-0.01076,2.90039,0.024,0.00185,0.16779,-0.00982,0.49709,-7.4707,-0.46633,0.23453,-0.375,0.21783,0.19773,2.375,-0.29299,-0.05165,-0.4375,-0.44792,0.03212,-0.53125,0.21322,0.14738,0.25,-0.41724,-0.03411,-0.1625,0.00598,-0.25807,8.65639,-0.01019,0.0145,-2.88939,0.26384,1.04692,-0.0625,-0.00764,-0.19252,5.36133,-0.01854,0.00597,-6.41602,0.01028,0.00216,2.74059,0.00545,0.43065,-3.95508,-0.2485,0.23082,0.0,-0.15493,-0.19322,-2.5,0.52002,0.05943,-0.25,0.31907,0.11908,0.1875,0.19021,-0.12696,0.25,-0.25157,-0.01391,-0.34375,0.00857,-0.00121,-0.27965,5.0
0.5252,7,4.6,34.0,39.5,9,0.28743,0.1303,0.28685,-0.17426,1.35314,0.15985,-0.02671,-0.04541,0.13526,-0.25139,0.12149,1.3296,-0.11524,0.20861,-0.0378,0.2009,0.26536,-0.08797,1.07116,0.15985,-0.0072,-0.04541,0.20204,-0.25139,0.08489,1.0682,-0.11524,0.14923,-0.0378,-0.00852,-0.00107,-0.0032,0.0153,0.0071,0.04629,0.00589,-0.24391,4.54834,-0.0101,0.00997,-0.99995,0.53689,1.06571,-1.125,0.01854,-0.2405,-5.88867,-0.00654,-0.01077,2.90039,-0.01543,0.00187,0.22372,0.00436,0.49709,-7.38281,-0.38196,0.22256,-0.3125,0.38963,0.20957,2.0625,-0.40037,-0.07031,0.3125,-0.30066,0.01913,-0.55,0.0675,0.1494,0.25,-0.35588,-0.0449,0.0,-0.00043,-0.25807,8.74633,-0.01198,0.01449,-2.83659,0.27458,1.05792,-0.25,-0.01527,-0.19254,5.36133,0.0,0.006,-6.41602,0.00514,0.00206,2.68466,0.012,0.43059,-3.95508,-0.4065,0.21967,0.1875,-0.13652,-0.19664,-2.6875,0.34668,0.07262,-0.25,0.42951,0.13096,-0.11875,0.14726,-0.12304,0.0625,-0.29452,-0.02186,-0.0125,0.00686,-0.00078,-0.22372,5.0
0.5495,8,4.7,18.3,24.2,9,0.28141,0.13113,0.28979,-0.17407,1.35303,0.16064,-0.02857,-0.0421,0.13753,-0.25553,0.12016,1.33127,-0.11365,0.20468,-0.04099,0.1909,0.27536,-0.09797,1.08116,0.16064,-0.0172,-0.0421,0.19204,-0.25553,0.09489,1.0782,-0.11365,0.15923,-0.04099,-0.00746,0.00533,0.00107,0.01542,0.00711,0.04632,0.00696,-0.24391,4.45905,-0.01562,0.00997,-0.94765,0.0,1.07162,-0.3125,0.024,-0.24057,-5.80078,-0.00654,-0.01077,2.90039,0.02571,0.00185,0.11186,-0.01527,0.49709,-7.4707,-0.10124,0.21611,-0.8125,0.26691,0.21977,2.0625,-0.10124,-0.07599,-0.25,-0.23317,0.01118,-0.8,0.01227,0.14983,0.375,0.01841,-0.05105,0.33125,0.0087,-0.25807,8.74633,-0.01482,0.01449,-2.83659,0.03221,1.06414,0.1875,-0.048,-0.19257,5.36133,-0.00764,0.006,-6.50391,0.012,0.002,2.62873,0.00873,0.43056,-3.69141,-0.1626,0.20873,0.125,-0.16874,-0.19965,-2.875,0.15953,0.07757,0.1875,0.0675,0.13785,0.69375,0.03221,-0.12117,0.1875,-0.10431,-0.0261,-0.54375,0.01886,-0.00084,-0.22372,5.0
0.5886,9,4.4,24.8,29.9,9,0.27546,0.13129,0.29355,-0.17316,1.35334,0.16011,-0.02803,-0.04153,0.13771,-0.25929,0.11848,1.33267,-0.11333,0.20206,-0.04324,0.1809,0.28536,-0.10797,1.09116,0.16011,-0.0272,-0.04153,0.18204,-0.25929,0.10489,1.0882,-0.11333,0.16923,-0.04324,-0.00959,-0.0,-0.01811,0.01565,0.00706,0.04631,-0.00486,-0.24391,4.72691,-0.01014,0.00999,-1.10455,0.42338,1.07787,-0.5,0.05672,-0.24058,-5.80078,-0.01309,-0.01078,2.98828,-0.00514,0.00186,0.11186,-0.00545,0.49706,-7.4707,-0.62126,0.20269,0.0,0.31447,0.22842,2.25,-0.60592,-0.08645,0.25,-0.55223,-0.00047,-0.25625,0.14573,0.15277,0.125,0.13499,-0.04706,0.0375,-0.00163,-0.25807,8.92445,0.00278,0.01451,-2.93907,0.40497,1.07176,0.0,0.00218,-0.1925,5.53711,-0.00982,0.00595,-6.41602,0.012,0.00196,2.5728,-0.01854,0.43044,-3.42773,-0.36816,0.20018,0.125,-0.25311,-0.20608,-2.75,0.44332,0.08741,0.0,0.34975,0.14721,0.24375,0.07363,-0.11996,0.125,-0.20862,-0.03197,-0.18125,-0.03943,-0.00076,-0.11186,5.0
