# args: {'layout': '14d', 'policy': 'ajkoder/g1-pickup-ball-act', 'device': None, 'iface': 'enp5s0', 'camera': 'zmq://192.168.123.164:55555', 'fps': 30.0, 'duration': 60.0, 'kp': 60.0, 'kd': 1.5, 'clamp': 0.01, 'log': None, 'rerun': False, 'no_rerun': True, 'record_path': None, 'no_display': False, 'dry_run': False, 'image_no_motors': False, 'leave_arms_engaged': False}
t,step,cam_ms,policy_ms,loop_ms,clamp_hits,max_target_gap,target_kLeftShoulderPitch,target_kLeftShoulderRoll,target_kLeftShoulderYaw,target_kLeftElbow,target_kLeftWristRoll,target_kLeftWristPitch,target_kLeftWristYaw,target_kRightShoulderPitch,target_kRightShoulderRoll,target_kRightShoulderYaw,target_kRightElbow,target_kRightWristRoll,target_kRightWristPitch,target_kRightWristYaw,cmd_kLeftShoulderPitch,cmd_kLeftShoulderRoll,cmd_kLeftShoulderYaw,cmd_kLeftElbow,cmd_kLeftWristRoll,cmd_kLeftWristPitch,cmd_kLeftWristYaw,cmd_kRightShoulderPitch,cmd_kRightShoulderRoll,cmd_kRightShoulderYaw,cmd_kRightElbow,cmd_kRightWristRoll,cmd_kRightWristPitch,cmd_kRightWristYaw,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.pitch,imu.roll,imu.yaw,kLeftAnklePitch.dq,kLeftAnklePitch.q,kLeftAnklePitch.tau,kLeftAnkleRoll.dq,kLeftAnkleRoll.q,kLeftAnkleRoll.tau,kLeftElbow.dq,kLeftElbow.q,kLeftElbow.tau,kLeftHipPitch.dq,kLeftHipPitch.q,kLeftHipPitch.tau,kLeftHipRoll.dq,kLeftHipRoll.q,kLeftHipRoll.tau,kLeftHipYaw.dq,kLeftHipYaw.q,kLeftHipYaw.tau,kLeftKnee.dq,kLeftKnee.q,kLeftKnee.tau,kLeftShoulderPitch.dq,kLeftShoulderPitch.q,kLeftShoulderPitch.tau,kLeftShoulderRoll.dq,kLeftShoulderRoll.q,kLeftShoulderRoll.tau,kLeftShoulderYaw.dq,kLeftShoulderYaw.q,kLeftShoulderYaw.tau,kLeftWristPitch.dq,kLeftWristPitch.q,kLeftWristPitch.tau,kLeftWristRoll.dq,kLeftWristRoll.q,kLeftWristRoll.tau,kLeftWristYaw.dq,kLeftWristYaw.q,kLeftWristYaw.tau,kRightAnklePitch.dq,kRightAnklePitch.q,kRightAnklePitch.tau,kRightAnkleRoll.dq,kRightAnkleRoll.q,kRightAnkleRoll.tau,kRightElbow.dq,kRightElbow.q,kRightElbow.tau,kRightHipPitch.dq,kRightHipPitch.q,kRightHipPitch.tau,kRightHipRoll.dq,kRightHipRoll.q,kRightHipRoll.tau,kRightHipYaw.dq,kRightHipYaw.q,kRightHipYaw.tau,kRightKnee.dq,kRightKnee.q,kRightKnee.tau,kRightShoulderPitch.dq,kRightShoulderPitch.q,kRightShoulderPitch.tau,kRightShoulderRoll.dq,kRightShoulderRoll.q,kRightShoulderRoll.tau,kRightShoulderYaw.dq,kRightShoulderYaw.q,kRightShoulderYaw.tau,kRightWristPitch.dq,kRightWristPitch.q,kRightWristPitch.tau,kRightWristRoll.dq,kRightWristRoll.q,kRightWristRoll.tau,kRightWristYaw.dq,kRightWristYaw.q,kRightWristYaw.tau,kWaistYaw.dq,kWaistYaw.q,kWaistYaw.tau,mode_machine
0.3416,0,6.8,333.4,340.9,13,0.27482,0.06284,0.33927,-0.18491,1.26602,0.15004,-0.08506,0.01084,0.06774,-0.33091,0.15379,1.20244,-0.13226,0.17264,-0.01484,0.27132,0.20955,-0.01744,1.00118,0.1183,0.06337,0.01084,0.27152,-0.20692,0.03964,0.99646,-0.1396,0.05669,0.00806,-0.00852,0.00533,-0.00746,0.0241,0.00571,0.15474,0.00377,-0.2466,3.29531,-0.00459,0.01908,-1.71886,0.00614,0.9912,-0.5,-0.02509,-0.25616,-5.71289,0.00436,-0.01319,3.42773,-0.01028,0.02259,-1.95756,-0.00764,0.49875,-10.10742,-0.01227,0.28121,0.3125,-0.00614,0.19954,1.0625,0.0046,-0.00743,0.0625,0.02454,0.07348,-0.1625,-0.00307,0.1083,-0.0625,0.0,0.00248,-0.06875,-0.00538,-0.24462,6.50137,0.00186,0.00626,-3.05697,0.0046,0.98647,-0.25,-0.00545,-0.22256,6.50391,-0.00545,0.00299,-5.88867,-0.00686,-0.00596,3.29989,-0.00654,0.43396,-3.16406,-0.01841,0.28152,0.6875,-0.01381,-0.19692,-1.375,0.00153,0.02965,-0.0625,0.01227,0.04676,-0.025,-0.0092,-0.14955,-0.125,-0.00614,0.01808,0.01875,0.00857,-0.00245,-0.16779,5.0
0.3546,1,4.7,7.6,12.8,13,0.26749,0.06157,0.34922,-0.18618,1.25894,0.15238,-0.08853,0.0216,0.07049,-0.34226,0.15308,1.19129,-0.13216,0.16521,-0.01973,0.26132,0.21955,-0.02744,1.01118,0.1283,0.05337,0.02084,0.26152,-0.21692,0.04964,1.00646,-0.13216,0.06669,-0.00194,-0.01065,-0.0,-0.0032,0.0243,0.00558,0.15494,0.00646,-0.24657,3.6514,0.00736,0.01912,-1.71858,0.01074,0.99145,0.125,-0.01309,-0.25615,-5.625,0.0,-0.0132,3.69141,-0.01371,0.02261,-1.95756,-0.01091,0.49875,-9.93164,-0.02915,0.27902,-0.25,-0.01074,0.19943,0.625,-0.00614,-0.0075,-0.25,-0.04295,0.0737,-0.5875,-0.01994,0.10785,0.3125,0.05522,0.00256,0.4375,0.00429,-0.24461,6.50137,0.00182,0.00627,-3.05697,0.02608,0.98657,0.5,0.00218,-0.22255,6.67969,-0.01091,0.00297,-5.80078,0.00686,-0.00595,3.24396,0.00218,0.43404,-2.90039,-0.02608,0.28092,-0.0625,0.00614,-0.1969,-0.9375,0.01534,0.03039,0.5,0.07363,0.04701,0.5625,0.01687,-0.14952,0.25,-0.07977,0.01813,-0.54375,-0.00686,-0.00246,-0.16779,5.0
0.3887,2,3.8,9.2,13.5,13,0.24694,0.06165,0.36426,-0.18568,1.25443,0.15375,-0.09196,0.03975,0.07393,-0.35939,0.15055,1.18322,-0.13136,0.15205,-0.03122,0.25132,0.22955,-0.03744,1.02118,0.1383,0.04337,0.03084,0.25152,-0.22692,0.05964,1.01646,-0.13136,0.07669,-0.01194,-0.00213,-0.02131,-0.01172,0.02413,0.00559,0.15493,0.00216,-0.2465,3.6514,-0.00367,0.01899,-1.71858,0.60132,1.00749,-0.6875,-0.01091,-0.25611,-5.625,-0.01309,-0.0132,3.51562,-0.03428,0.02261,-1.95756,0.00982,0.49877,-10.01953,-0.38963,0.26875,0.0,0.04449,0.19945,0.9375,-0.31447,-0.01514,-0.1875,-0.09204,0.06751,-0.74375,0.29452,0.11753,0.0625,0.37429,0.01322,-0.1375,-0.00751,-0.2446,6.50137,-0.0018,0.00628,-3.05697,0.54763,1.00283,-0.4375,-0.01636,-0.22254,6.5918,0.00218,0.00297,-5.97656,0.01028,-0.00595,3.24396,0.01418,0.43421,-3.25195,-0.33441,0.2704,0.0,-0.0092,-0.19722,-1.3125,0.32214,0.04328,0.0,0.42338,0.05752,-0.075,0.21936,-0.14153,0.0625,-0.23317,0.00761,-0.19375,-0.01714,-0.00252,-0.16779,5.0
0.4352,3,4.5,21.1,26.7,13,0.22557,0.06175,0.37075,-0.18332,1.25113,0.15027,-0.09246,0.04224,0.0769,-0.36606,0.14789,1.17692,-0.12834,0.15051,-0.03355,0.24132,0.23955,-0.04744,1.03118,0.1483,0.03337,0.04084,0.24152,-0.23692,0.06964,1.02646,-0.12834,0.08669,-0.02194,-0.00959,-0.01811,0.00639,0.02372,0.00564,0.15499,0.00593,-0.24635,3.20634,-0.01378,0.01865,-1.7711,0.53383,1.02556,-1.0625,-0.03163,-0.25612,-5.71289,-0.01636,-0.01321,3.51562,0.00514,0.02259,-2.01349,0.00436,0.49877,-10.37109,-0.35282,0.25755,0.0,0.13346,0.20046,1.375,-0.29606,-0.02852,0.0,-0.3068,0.0598,-0.55,0.19635,0.12778,0.1875,0.23317,0.02436,0.0125,0.00106,-0.24462,6.05486,0.00551,0.00629,-3.11048,0.51849,1.01964,-0.6875,-0.024,-0.2226,6.41602,-0.02182,0.00291,-5.88867,0.01714,-0.00596,3.24396,0.00764,0.43451,-3.42773,-0.38503,0.25677,0.3125,0.0,-0.19659,-2.0,0.41571,0.05545,-0.1875,0.27612,0.07278,-0.13125,0.03682,-0.13765,0.125,-0.3068,-0.0026,-0.10625,0.0,-0.00249,-0.16779,5.0
0.4696,4,4.3,22.6,27.4,12,0.21411,0.06166,0.38397,-0.1836,1.2459,0.15143,-0.09554,0.05533,0.07978,-0.37967,0.14436,1.16987,-0.12599,0.13841,-0.04144,0.23132,0.24955,-0.05744,1.04118,0.15143,0.02337,0.05084,0.23152,-0.24692,0.07964,1.03646,-0.12599,0.09669,-0.03194,0.00426,0.00639,-0.0032,0.02326,0.00562,0.15509,0.00485,-0.24634,3.02829,-0.0101,0.01843,-1.77123,0.23777,1.03179,-0.5,-0.01854,-0.25612,-5.80078,0.012,-0.01323,3.51562,0.01371,0.02258,-2.01349,0.00545,0.49877,-10.63477,-0.3835,0.25233,-0.3125,0.02915,0.2008,2.125,-0.35282,-0.03303,-0.25,-0.36816,0.05196,-0.6125,0.43258,0.13358,0.1875,0.3927,0.02844,0.13125,0.00591,-0.24461,5.96585,-0.00095,0.00627,-3.0586,0.20402,1.02536,-0.0625,0.00764,-0.22269,6.32812,-0.00109,0.00285,-5.88867,0.00857,-0.00596,3.29989,-0.00764,0.43474,-3.42773,-0.26231,0.25066,-0.0625,-0.01074,-0.19659,-2.5,0.32981,0.06456,0.0,0.25771,0.0797,0.0,0.16874,-0.13613,0.0625,-0.33748,-0.00769,-0.34375,0.02228,-0.0023,-0.22372,5.0
0.4953,5,3.9,15.3,19.8,12,0.20557,0.05644,0.40323,-0.18374,1.23194,0.15471,-0.10184,0.07886,0.08439,-0.40277,0.1405,1.14705,-0.12637,0.12116,-0.05272,0.22132,0.25955,-0.06744,1.05118,0.15471,0.01337,0.06084,0.22152,-0.25692,0.08964,1.04646,-0.12637,0.10669,-0.04194,-0.01278,-0.00107,-0.01278,0.02316,0.00561,0.15516,0.00162,-0.24628,2.93923,-0.00092,0.01834,-1.71914,0.3068,1.03789,-0.3125,-0.02618,-0.25614,-5.88867,-0.01745,-0.01324,3.51562,0.01028,0.02248,-1.95756,0.00218,0.49876,-10.63477,-0.33594,0.24424,-0.5,0.158,0.20449,2.3125,-0.26845,-0.04133,-0.4375,-0.42338,0.04349,-0.6375,0.2301,0.14143,0.125,0.50928,0.03883,-0.09375,-5e-05,-0.24462,5.96585,0.01655,0.00625,-3.0586,0.32214,1.03354,-0.125,0.00654,-0.2227,6.41602,-0.00218,0.00286,-5.88867,-0.00171,-0.00603,3.29989,0.00873,0.43486,-3.51562,-0.46173,0.24125,0.1875,-0.10738,-0.1972,-2.9375,0.35435,0.07314,0.0625,0.52155,0.08667,-0.11875,0.22089,-0.1322,0.0,-0.3068,-0.01478,-0.54375,-0.00514,-0.00212,-0.16779,5.0
0.5362,6,4.3,22.4,27.1,11,0.22553,0.05905,0.42975,-0.18753,1.21675,0.16188,-0.10374,0.10128,0.0902,-0.42591,0.13278,1.13065,-0.12446,0.10523,-0.06795,0.21132,0.26955,-0.07744,1.06118,0.16188,0.00337,0.07084,0.21152,-0.26692,0.09964,1.05646,-0.12446,0.10523,-0.05194,-0.00213,-0.0032,-0.01811,0.02322,0.00569,0.15513,0.01024,-0.24625,3.11727,-0.0101,0.01831,-1.719,0.40037,1.04931,-0.5625,-0.00109,-0.2561,-5.71289,-0.00218,-0.01322,3.42773,-0.012,0.02244,-1.95756,0.00982,0.49877,-10.37109,-0.31293,0.23309,-0.375,0.26691,0.21149,2.3125,-0.51542,-0.05516,0.0625,-0.37429,0.02963,-0.48125,0.09511,0.14651,0.25,0.31907,0.04997,0.14375,-0.00593,-0.24463,6.05486,0.00646,0.00625,-3.11048,0.4019,1.0449,-0.3125,-0.00545,-0.22272,6.50391,0.00654,0.00293,-5.97656,-0.00686,-0.00607,3.41175,0.00982,0.43485,-3.51562,-0.40037,0.22941,0.1875,-0.13192,-0.20038,-3.3125,0.33134,0.08641,-0.125,0.31293,0.09736,0.09375,-0.0092,-0.13021,0.0625,-0.3252,-0.02858,-0.275,0.012,-0.00224,-0.22372,5.0
0.5546,7,4.3,7.5,12.2,12,0.24407,0.05833,0.44943,-0.18514,1.21851,0.16001,-0.10596,0.11233,0.09786,-0.45013,0.1255,1.13115,-0.11834,0.09414,-0.07605,0.20132,0.27955,-0.08744,1.07118,0.16001,-0.00663,0.08084,0.20152,-0.27692,0.10964,1.06646,-0.11834,0.09523,-0.06194,-0.00746,0.00213,-0.01491,0.02333,0.00573,0.15538,0.00108,-0.2462,3.11727,-0.00919,0.01839,-1.719,0.44332,1.05806,-0.5,-0.01418,-0.25614,-5.71289,0.00327,-0.01322,3.51562,0.00171,0.02231,-1.90163,-0.00436,0.49876,-10.37109,-0.47553,0.22445,-0.3125,0.25617,0.21935,2.4375,-0.37429,-0.06989,0.1875,-0.46633,0.02379,-0.625,0.24697,0.14901,0.3125,0.36816,0.05712,0.3,0.00377,-0.24463,6.05486,-0.00461,0.00625,-3.11048,0.41264,1.05328,-0.1875,-0.012,-0.22272,6.32812,-0.00982,0.00291,-5.88867,0.00514,-0.00619,3.41175,-0.00327,0.43484,-3.42773,-0.43718,0.21902,0.25,-0.30219,-0.20606,-3.375,0.38656,0.09421,0.0,0.03068,0.10477,0.0,0.13499,-0.12939,0.0,-0.35588,-0.03528,-0.4875,0.01371,-0.00204,-0.22372,5.0
0.6234,8,4.8,42.3,47.6,12,0.25177,0.05352,0.46566,-0.18592,1.21206,0.16368,-0.10929,0.12876,0.10305,-0.46839,0.1216,1.11973,-0.11876,0.08003,-0.08447,0.19132,0.28955,-0.09744,1.08118,0.16368,-0.01663,0.09084,0.19152,-0.28692,0.11964,1.07646,-0.11876,0.08523,-0.07194,-0.00107,-0.01172,-0.01385,0.02345,0.00569,0.15528,0.0027,-0.24612,3.29531,-0.00643,0.0185,-1.71886,0.30066,1.07322,-0.6875,-0.01309,-0.25614,-5.80078,-0.012,-0.01323,3.42773,0.012,0.02238,-1.95756,0.0,0.49876,-10.19531,-0.36969,0.21068,-0.1875,0.2393,0.22674,2.6875,-0.33287,-0.08225,0.25,-0.35588,0.00729,-0.3375,0.13806,0.15383,0.0625,0.15953,0.06956,0.38125,0.0016,-0.24462,6.32238,0.00275,0.00627,-3.16181,0.35282,1.06631,-0.25,-0.02945,-0.22271,6.5918,-0.01854,0.00285,-5.88867,-0.00686,-0.0062,3.41175,0.01091,0.43484,-3.33984,-0.33748,0.20738,0.1875,-0.34361,-0.21661,-3.25,0.34515,0.11096,-0.4375,-0.0675,0.10105,-0.19375,0.05829,-0.12704,0.25,-0.22703,-0.05023,-0.33125,-0.02057,-0.00208,-0.16779,5.0
0.6409,9,4.3,12.3,17.4,11,0.24451,0.05509,0.47671,-0.18449,1.21519,0.16373,-0.10635,0.13175,0.10787,-0.47742,0.1174,1.1257,-0.11616,0.07402,-0.08984,0.18132,0.29955,-0.10744,1.09118,0.16373,-0.02663,0.10084,0.18152,-0.29692,0.1174,1.08646,-0.11616,0.07523,-0.08194,-0.00639,0.00639,-0.01598,0.02344,0.00572,0.15529,0.00108,-0.24613,3.20634,-0.00735,0.01851,-1.7711,-0.01381,1.07519,-0.375,-0.00873,-0.25616,-5.625,-0.01745,-0.01333,3.69141,0.0,0.02243,-1.95756,-0.00982,0.49876,-10.19531,-0.28225,0.20259,0.125,0.12732,0.23414,2.375,-0.01074,-0.08752,0.1875,-0.05522,0.00149,-0.44375,-0.00153,0.15611,0.0625,0.06136,0.07434,0.2625,-0.0054,-0.24462,6.23337,0.00922,0.00629,-3.10994,0.01074,1.06988,-0.0625,0.0,-0.22272,6.50391,-0.012,0.00268,-5.88867,0.00857,-0.00617,3.35582,0.0,0.43482,-3.33984,-0.21016,0.19746,0.6875,-0.37583,-0.23291,-2.25,-0.00307,0.11242,0.0,-0.01841,0.09897,-0.19375,0.02915,-0.12609,0.25,-0.02454,-0.05436,-0.39375,-0.01028,-0.00209,-0.16779,5.0
