# args: {'layout': '14d', 'policy': '/home/waldo/soccerbot/model4/pretrained_model', 'device': None, 'iface': 'enp5s0', 'camera': 'zmq://192.168.123.164:55555', 'fps': 30.0, 'duration': 60.0, 'kp': 60.0, 'kd': 1.5, 'clamp': 0.01, 'log': None, 'rerun': False, 'no_rerun': True, 'record_path': None, 'no_display': False, 'dry_run': False, 'image_no_motors': False, 'leave_arms_engaged': False}
t,step,cam_ms,policy_ms,loop_ms,clamp_hits,max_target_gap,target_kLeftShoulderPitch,target_kLeftShoulderRoll,target_kLeftShoulderYaw,target_kLeftElbow,target_kLeftWristRoll,target_kLeftWristPitch,target_kLeftWristYaw,target_kRightShoulderPitch,target_kRightShoulderRoll,target_kRightShoulderYaw,target_kRightElbow,target_kRightWristRoll,target_kRightWristPitch,target_kRightWristYaw,cmd_kLeftShoulderPitch,cmd_kLeftShoulderRoll,cmd_kLeftShoulderYaw,cmd_kLeftElbow,cmd_kLeftWristRoll,cmd_kLeftWristPitch,cmd_kLeftWristYaw,cmd_kRightShoulderPitch,cmd_kRightShoulderRoll,cmd_kRightShoulderYaw,cmd_kRightElbow,cmd_kRightWristRoll,cmd_kRightWristPitch,cmd_kRightWristYaw,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.pitch,imu.roll,imu.yaw,kLeftAnklePitch.dq,kLeftAnklePitch.q,kLeftAnklePitch.tau,kLeftAnkleRoll.dq,kLeftAnkleRoll.q,kLeftAnkleRoll.tau,kLeftElbow.dq,kLeftElbow.q,kLeftElbow.tau,kLeftHipPitch.dq,kLeftHipPitch.q,kLeftHipPitch.tau,kLeftHipRoll.dq,kLeftHipRoll.q,kLeftHipRoll.tau,kLeftHipYaw.dq,kLeftHipYaw.q,kLeftHipYaw.tau,kLeftKnee.dq,kLeftKnee.q,kLeftKnee.tau,kLeftShoulderPitch.dq,kLeftShoulderPitch.q,kLeftShoulderPitch.tau,kLeftShoulderRoll.dq,kLeftShoulderRoll.q,kLeftShoulderRoll.tau,kLeftShoulderYaw.dq,kLeftShoulderYaw.q,kLeftShoulderYaw.tau,kLeftWristPitch.dq,kLeftWristPitch.q,kLeftWristPitch.tau,kLeftWristRoll.dq,kLeftWristRoll.q,kLeftWristRoll.tau,kLeftWristYaw.dq,kLeftWristYaw.q,kLeftWristYaw.tau,kRightAnklePitch.dq,kRightAnklePitch.q,kRightAnklePitch.tau,kRightAnkleRoll.dq,kRightAnkleRoll.q,kRightAnkleRoll.tau,kRightElbow.dq,kRightElbow.q,kRightElbow.tau,kRightHipPitch.dq,kRightHipPitch.q,kRightHipPitch.tau,kRightHipRoll.dq,kRightHipRoll.q,kRightHipRoll.tau,kRightHipYaw.dq,kRightHipYaw.q,kRightHipYaw.tau,kRightKnee.dq,kRightKnee.q,kRightKnee.tau,kRightShoulderPitch.dq,kRightShoulderPitch.q,kRightShoulderPitch.tau,kRightShoulderRoll.dq,kRightShoulderRoll.q,kRightShoulderRoll.tau,kRightShoulderYaw.dq,kRightShoulderYaw.q,kRightShoulderYaw.tau,kRightWristPitch.dq,kRightWristPitch.q,kRightWristPitch.tau,kRightWristRoll.dq,kRightWristRoll.q,kRightWristRoll.tau,kRightWristYaw.dq,kRightWristYaw.q,kRightWristYaw.tau,kWaistYaw.dq,kWaistYaw.q,kWaistYaw.tau,mode_machine
0.3275,0,6.9,319.2,326.8,13,0.43297,0.112,0.24574,-0.21543,1.42403,0.18768,-0.00158,-0.10687,0.09606,-0.19977,0.18902,1.39906,-0.1832,0.22588,-0.00293,0.27214,0.20835,-0.01786,1.00104,0.14597,0.04212,-0.02732,0.27193,-0.19977,0.03465,0.99692,-0.1594,0.01463,0.024,-0.0032,-0.00426,-0.01385,0.02037,0.0064,0.01376,-0.0075,-0.23149,-0.70911,0.01281,0.00512,-0.72972,0.00767,0.99106,-0.625,0.00654,-0.26966,-6.24023,0.00218,-0.00035,1.66992,0.00686,0.00375,-0.05593,-0.00982,0.49449,-10.45898,-0.02761,0.28204,0.3125,-0.01841,0.19827,1.0625,-0.00153,-0.00783,0.125,0.0,0.05217,-0.09375,-0.01227,0.13601,-0.0625,0.01841,-0.01732,-0.03125,0.00435,-0.23931,3.17874,-0.00737,0.0023,-3.11925,-0.00153,0.98691,-0.3125,-0.00545,-0.2288,4.30664,-0.036,0.00113,-6.32812,0.0,0.00178,3.07617,-0.00218,0.4299,-7.29492,-0.01074,0.28189,0.6875,0.0046,-0.20341,-1.375,0.00767,0.02468,0.0625,-0.00614,0.00461,0.01875,-0.00307,-0.14937,-0.125,0.02454,0.03406,-0.0125,0.02743,-0.00264,-0.16779,5.0
0.3431,1,4.5,10.5,15.5,13,0.42859,0.11259,0.2555,-0.21605,1.41998,0.18915,-0.00319,-0.09962,0.09801,-0.2093,0.19044,1.39704,-0.18311,0.22274,-0.00943,0.26214,0.21835,-0.02786,1.01104,0.15597,0.03212,-0.03732,0.26193,-0.2093,0.04465,1.00692,-0.1694,0.02463,0.014,-0.0,-0.0032,-0.01385,0.0202,0.00643,0.0135,-0.00218,-0.23149,-0.79791,-0.00918,0.00508,-0.78173,0.00614,0.99138,0.0625,0.00218,-0.26969,-6.24023,0.00982,-0.00034,1.66992,0.01543,0.00378,0.0,0.00654,0.49448,-10.63477,-0.00767,0.27903,-0.1875,-0.01381,0.19775,0.6875,-0.00153,-0.00784,-0.25,-0.04295,0.05222,-0.5875,-0.00307,0.13602,0.3125,-0.0675,-0.0175,-0.55,0.00161,-0.23931,3.00135,0.00275,0.00231,-3.11979,0.01687,0.98709,0.375,-0.00545,-0.22883,4.39453,-0.00654,0.00116,-6.24023,0.01543,0.00178,3.02024,0.00327,0.42984,-7.03125,-0.01227,0.28156,0.0,0.01227,-0.19986,-0.5,0.01687,0.02475,0.5,0.04295,0.00471,0.5625,-0.01227,-0.14942,-0.5,-0.04909,0.03421,-0.53125,0.01371,-0.00264,-0.16779,5.0
0.375,2,3.4,9.9,14.0,13,0.41438,0.11344,0.26129,-0.21579,1.42138,0.19068,-0.00423,-0.09569,0.0981,-0.21635,0.18974,1.40173,-0.18162,0.21673,-0.01465,0.25214,0.22835,-0.03786,1.02104,0.16597,0.02212,-0.04732,0.25193,-0.21635,0.05465,1.01692,-0.1794,0.03463,0.004,-0.00533,-0.01385,-0.01385,0.02015,0.00645,0.01346,-0.00699,-0.23148,-0.79791,0.00456,0.00508,-0.78173,0.62433,1.007,-0.75,0.00654,-0.26966,-6.06445,-0.02073,-0.00032,1.66992,0.02057,0.00375,0.11186,0.00654,0.49449,-10.54688,-0.34361,0.27028,-0.125,0.0675,0.19758,1.0,-0.22856,-0.01415,-0.3125,-0.19021,0.0456,-0.5625,0.34515,0.14459,0.0625,-0.29452,-0.02621,-0.26875,0.01026,-0.2393,3.08981,0.00271,0.0023,-3.17167,0.62893,1.00252,-0.4375,0.0,-0.22883,4.39453,-0.00654,0.00122,-6.32812,-0.00171,0.00178,3.02024,0.01854,0.42993,-7.11914,-0.23623,0.27159,-0.0625,0.01687,-0.19796,-0.8125,0.31293,0.03534,0.1875,0.42951,0.01517,-0.0125,-0.45559,-0.1603,-0.0625,-0.42951,0.02296,0.15,-0.00514,-0.00268,-0.22372,5.0
0.4195,3,4.0,19.3,24.8,12,0.39339,0.11289,0.26853,-0.21504,1.41956,0.1897,-0.00315,-0.09107,0.10315,-0.22292,0.18891,1.39653,-0.17943,0.21619,-0.01951,0.24214,0.23835,-0.04786,1.03104,0.17597,0.01212,-0.05732,0.24193,-0.22292,0.06465,1.02692,-0.17943,0.04463,-0.006,-0.01172,-0.00107,-0.00213,0.0199,0.00644,0.01353,-0.01184,-0.23148,-0.97592,0.00179,0.00506,-0.78123,0.52462,1.02617,-1.125,0.00436,-0.26971,-6.24023,-0.00764,-0.00029,1.66992,0.02743,0.00372,-0.05593,-0.00327,0.49448,-10.72266,-0.38503,0.25887,0.0,0.15033,0.2008,1.25,-0.55223,-0.02692,0.1875,-0.26998,0.03809,-0.5875,0.33287,0.15307,0.125,-0.38656,-0.03549,-0.1875,-0.00054,-0.23931,2.82396,-0.00092,0.00231,-3.12033,0.56911,1.02013,-0.8125,-0.00545,-0.22894,4.21875,-0.02836,0.00121,-6.32812,0.0,0.00179,3.02024,-0.01636,0.42997,-7.4707,-0.38196,0.2584,0.1875,0.00153,-0.19652,-1.3125,0.41571,0.04836,0.0,0.3252,0.02996,-0.16875,-0.13192,-0.17153,-0.375,-0.17181,0.01257,-0.2125,-0.00171,-0.00264,-0.22372,5.0
0.4468,4,4.6,13.0,18.7,13,0.38092,0.11424,0.27917,-0.2151,1.41459,0.19067,-0.00585,-0.08233,0.10342,-0.23407,0.18894,1.39113,-0.17927,0.20938,-0.0253,0.23214,0.24835,-0.05786,1.04104,0.18597,0.00212,-0.06732,0.23193,-0.23292,0.07465,1.03692,-0.17927,0.05463,-0.016,-0.00426,0.00533,0.00639,0.0197,0.00648,0.01352,-0.00431,-0.23152,-1.06514,-0.00185,0.00518,-0.72871,0.2485,1.03368,-0.625,0.00436,-0.26981,-6.32812,-0.00982,-0.00036,1.58203,0.00686,0.00376,-0.05593,0.00545,0.4945,-10.89844,-0.474,0.25158,-0.0625,0.0905,0.20264,1.875,-0.18408,-0.03224,-0.5,-0.40497,0.03133,-0.53125,0.44792,0.16113,0.125,-0.20249,-0.04318,-0.6125,0.00919,-0.23931,2.55764,-0.00096,0.00231,-3.17329,0.1626,1.02686,-0.0625,0.00327,-0.22896,4.13086,-0.01745,0.00113,-6.41602,-0.00343,0.00179,3.07617,-0.01527,0.42992,-7.55859,-0.2439,0.25089,0.0,-0.03528,-0.19589,-1.6875,0.632,0.06132,-0.5,0.18408,0.03894,0.06875,-0.05829,-0.17455,-0.375,-0.33134,0.007,-0.2375,-0.00857,-0.00245,-0.22372,5.0
0.4783,5,3.5,12.6,16.8,11,0.37139,0.11723,0.29412,-0.21126,1.41286,0.18781,-0.00841,-0.07536,0.10347,-0.24938,0.18732,1.39519,-0.1768,0.19822,-0.03539,0.22214,0.25835,-0.06786,1.05104,0.18781,-0.00788,-0.07536,0.22193,-0.24292,0.08465,1.04692,-0.1768,0.06463,-0.026,-0.00639,-0.00426,-0.01704,0.01972,0.0064,0.01349,0.00054,-0.23149,-0.88713,0.00092,0.00511,-0.72922,0.37276,1.04147,-0.6875,0.0,-0.26983,-6.24023,0.00545,-0.00035,1.66992,-0.00514,0.00379,0.0,-0.00764,0.49449,-10.89844,-0.24697,0.24382,-0.5,0.21169,0.20815,1.9375,-0.34668,-0.04248,-0.25,-0.36202,0.02309,-0.775,0.38043,0.17143,0.25,-0.39884,-0.05387,-0.24375,0.00163,-0.23932,2.82396,-0.00277,0.00229,-3.12033,0.34668,1.036,-0.3125,0.0,-0.22896,4.30664,-0.01745,0.00113,-6.06445,0.00171,0.00179,3.02024,0.00654,0.42996,-7.29492,-0.34054,0.24115,0.0625,-0.0046,-0.19537,-2.375,0.5553,0.07165,-0.4375,0.29452,0.04766,0.0,-0.05369,-0.17707,-0.1875,-0.42338,-0.00381,-0.075,-0.01543,-0.00232,-0.22372,5.0
0.5277,6,3.8,28.3,32.8,10,0.35489,0.11911,0.2995,-0.21127,1.4086,0.18808,-0.01037,-0.06698,0.10437,-0.25668,0.18614,1.38988,-0.17624,0.19116,-0.04185,0.21214,0.26835,-0.07786,1.06104,0.18808,-0.01037,-0.06698,0.21193,-0.25292,0.09465,1.05692,-0.17624,0.07463,-0.036,-0.00959,-0.00107,-0.00639,0.01974,0.00638,0.01352,-0.0043,-0.23144,-0.79791,0.00365,0.00507,-0.78173,0.4832,1.05371,-0.9375,0.0,-0.26989,-6.06445,-0.01091,-0.00038,1.66992,0.01886,0.00378,0.0,-0.00109,0.49448,-10.81055,-0.33287,0.23514,-0.5,0.32367,0.21798,1.8125,-0.37276,-0.05449,-0.0625,-0.47247,0.01069,-0.425,0.14266,0.17949,0.125,-0.33748,-0.06412,-0.23125,-0.00376,-0.23932,2.91242,-0.00642,0.0023,-3.17221,0.24544,1.04748,-0.25,0.00873,-0.22896,4.39453,-0.012,0.00111,-6.24023,-0.02914,0.00178,3.02024,-0.01091,0.42994,-7.11914,-0.34975,0.22976,0.125,-0.13499,-0.1971,-2.6875,0.42951,0.08262,-0.375,0.3252,0.05713,-0.05,-0.03835,-0.178,-0.0625,-0.2393,-0.01365,-0.34375,-0.00686,-0.00226,-0.16779,5.0
0.5426,7,5.5,8.2,14.3,10,0.34461,0.11945,0.31833,-0.20862,1.40684,0.18734,-0.00993,-0.06044,0.10685,-0.2736,0.1848,1.38929,-0.17424,0.18741,-0.0539,0.20214,0.27835,-0.08786,1.07104,0.18734,-0.00993,-0.06044,0.20193,-0.26292,0.10465,1.06692,-0.17424,0.08463,-0.046,-0.0032,0.01811,0.00107,0.01976,0.00634,0.01367,-0.00485,-0.23146,-0.79791,-0.00277,0.00507,-0.78173,0.13806,1.06222,-0.9375,0.00109,-0.27004,-6.06445,0.00109,-0.0004,1.66992,-0.01028,0.0037,0.0,0.00218,0.49448,-10.72266,-0.17948,0.22726,-0.1875,0.20249,0.22635,1.4375,-0.316,-0.06477,0.375,-0.0859,0.00354,-0.5875,0.08283,0.18287,0.0,-0.09204,-0.07043,-0.1625,-0.00108,-0.23931,3.00135,-0.00183,0.00231,-3.11979,0.06289,1.05357,-0.3125,0.00327,-0.22901,4.39453,0.00436,0.00111,-6.24023,0.01028,0.00179,3.02024,-0.01309,0.42987,-7.03125,-0.21936,0.22056,0.5,-0.12579,-0.19931,-2.5625,0.02148,0.08516,0.0625,0.13499,0.06384,-0.16875,-0.02454,-0.17793,-0.0625,-0.25771,-0.01843,-0.0625,0.00343,-0.00208,-0.22372,5.0
0.5869,8,5.0,18.8,25.1,10,0.33813,0.12026,0.32246,-0.21024,1.40749,0.19042,-0.01123,-0.05261,0.11033,-0.28053,0.1847,1.39174,-0.1738,0.18077,-0.05745,0.19214,0.28835,-0.09786,1.08104,0.19042,-0.01123,-0.05261,0.19193,-0.27292,0.11465,1.07692,-0.1738,0.09463,-0.056,-0.0032,0.00533,-0.02131,0.0201,0.0063,0.01345,-0.00322,-0.23148,-0.61989,0.00366,0.00512,-0.78224,0.41724,1.06936,-0.625,-0.00545,-0.27012,-5.97656,-0.01636,-0.00044,1.66992,0.00343,0.00379,0.0,0.0,0.49449,-10.54688,-0.50775,0.21703,-0.375,0.15493,0.23228,2.375,-0.50008,-0.07612,0.0625,-0.07977,8e-05,-0.45625,0.03682,0.18403,0.0,0.25771,-0.06588,-0.125,6e-05,-0.23929,3.2672,-0.02022,0.00232,-3.17112,0.42645,1.06094,-0.0625,-0.02836,-0.22904,4.48242,-0.00327,0.00106,-6.24023,0.01028,0.00178,3.02024,-0.00436,0.42968,-6.94336,-0.50161,0.21081,0.25,-0.30373,-0.20589,-3.125,0.80381,0.09772,-0.5,0.25771,0.0736,0.29375,-0.03221,-0.17717,0.0625,-0.44179,-0.03191,-0.14375,0.0,-0.0021,-0.11186,5.0
0.612,9,3.8,12.4,16.5,9,0.3289,0.11987,0.33102,-0.21091,1.40783,0.19323,-0.01002,-0.04696,0.11206,-0.28833,0.18417,1.39145,-0.17362,0.17697,-0.06296,0.18214,0.29835,-0.10786,1.09104,0.19323,-0.01002,-0.04696,0.18193,-0.28292,0.12465,1.08692,-0.17362,0.10463,-0.06296,-0.00533,0.01704,-0.01172,0.02045,0.00629,0.0135,0.00647,-0.23142,-0.26386,0.00369,0.00516,-0.78325,0.30833,1.07893,-0.4375,-0.00545,-0.2702,-5.88867,0.00436,-0.00052,1.66992,-0.00514,0.00384,0.0,-0.00982,0.49449,-10.45898,-0.53996,0.20456,-0.125,0.18868,0.2372,2.5625,-0.57678,-0.0865,0.1875,-0.2393,-0.00105,-0.30625,0.10431,0.18489,0.0,0.21476,-0.06058,0.11875,0.00651,-0.23926,3.71092,-0.00738,0.00234,-3.11762,0.37736,1.06966,0.0625,0.00327,-0.22903,4.57031,-0.00109,0.0009,-6.24023,0.02057,0.00181,2.96431,0.01418,0.42969,-6.50391,-0.45099,0.19903,0.3125,-0.31447,-0.21504,-3.125,0.53843,0.11035,-0.25,0.33134,0.08364,0.1875,0.05369,-0.1769,0.0,-0.57064,-0.03981,-0.13125,0.00171,-0.00217,-0.16779,5.0
