# args: {'layout': '14d', 'policy': '/home/waldo/soccerbot/model4/pretrained_model', 'iface': 'enp5s0', 'camera': 'zmq://192.168.123.164:55555', 'clamp': 0.01, 'duration': 30.0, 'fps': 30.0, 'device': None, 'rerun': False, 'no_rerun': True, 'record_path': None, 'no_display': False, 'dry_run': False, 'image_no_motors': False, 'leave_arms_engaged': True, 'log': None, 'kp': 60.0, 'kd': 1.5}
t,step,cam_ms,policy_ms,loop_ms,clamp_hits,max_target_gap,target_kLeftShoulderPitch,target_kLeftShoulderRoll,target_kLeftShoulderYaw,target_kLeftElbow,target_kLeftWristRoll,target_kLeftWristPitch,target_kLeftWristYaw,target_kRightShoulderPitch,target_kRightShoulderRoll,target_kRightShoulderYaw,target_kRightElbow,target_kRightWristRoll,target_kRightWristPitch,target_kRightWristYaw,cmd_kLeftShoulderPitch,cmd_kLeftShoulderRoll,cmd_kLeftShoulderYaw,cmd_kLeftElbow,cmd_kLeftWristRoll,cmd_kLeftWristPitch,cmd_kLeftWristYaw,cmd_kRightShoulderPitch,cmd_kRightShoulderRoll,cmd_kRightShoulderYaw,cmd_kRightElbow,cmd_kRightWristRoll,cmd_kRightWristPitch,cmd_kRightWristYaw,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.pitch,imu.roll,imu.yaw,kLeftAnklePitch.dq,kLeftAnklePitch.q,kLeftAnklePitch.tau,kLeftAnkleRoll.dq,kLeftAnkleRoll.q,kLeftAnkleRoll.tau,kLeftElbow.dq,kLeftElbow.q,kLeftElbow.tau,kLeftHipPitch.dq,kLeftHipPitch.q,kLeftHipPitch.tau,kLeftHipRoll.dq,kLeftHipRoll.q,kLeftHipRoll.tau,kLeftHipYaw.dq,kLeftHipYaw.q,kLeftHipYaw.tau,kLeftKnee.dq,kLeftKnee.q,kLeftKnee.tau,kLeftShoulderPitch.dq,kLeftShoulderPitch.q,kLeftShoulderPitch.tau,kLeftShoulderRoll.dq,kLeftShoulderRoll.q,kLeftShoulderRoll.tau,kLeftShoulderYaw.dq,kLeftShoulderYaw.q,kLeftShoulderYaw.tau,kLeftWristPitch.dq,kLeftWristPitch.q,kLeftWristPitch.tau,kLeftWristRoll.dq,kLeftWristRoll.q,kLeftWristRoll.tau,kLeftWristYaw.dq,kLeftWristYaw.q,kLeftWristYaw.tau,kRightAnklePitch.dq,kRightAnklePitch.q,kRightAnklePitch.tau,kRightAnkleRoll.dq,kRightAnkleRoll.q,kRightAnkleRoll.tau,kRightElbow.dq,kRightElbow.q,kRightElbow.tau,kRightHipPitch.dq,kRightHipPitch.q,kRightHipPitch.tau,kRightHipRoll.dq,kRightHipRoll.q,kRightHipRoll.tau,kRightHipYaw.dq,kRightHipYaw.q,kRightHipYaw.tau,kRightKnee.dq,kRightKnee.q,kRightKnee.tau,kRightShoulderPitch.dq,kRightShoulderPitch.q,kRightShoulderPitch.tau,kRightShoulderRoll.dq,kRightShoulderRoll.q,kRightShoulderRoll.tau,kRightShoulderYaw.dq,kRightShoulderYaw.q,kRightShoulderYaw.tau,kRightWristPitch.dq,kRightWristPitch.q,kRightWristPitch.tau,kRightWristRoll.dq,kRightWristRoll.q,kRightWristRoll.tau,kRightWristYaw.dq,kRightWristYaw.q,kRightWristYaw.tau,kWaistYaw.dq,kWaistYaw.q,kWaistYaw.tau,mode_machine
0.2862,0,5.0,279.9,285.4,13,0.3956,0.10171,0.24559,-0.17957,1.38105,0.16945,-0.07646,-0.09982,0.06464,-0.21253,0.19534,1.34523,-0.19004,0.23754,0.02484,0.27013,0.20406,-0.01769,0.99539,0.13675,0.02384,-0.02663,0.27123,-0.20664,0.03433,0.99376,-0.15948,0.04916,0.02484,-0.00426,0.00639,-0.00746,0.03294,0.00636,0.02468,-0.00225,-0.19649,1.23172,-0.01277,-0.0113,-0.32229,0.00767,0.98545,-0.625,0.00218,-0.27904,-4.21875,0.0,0.02074,-0.70312,-0.00857,-0.0009,1.00675,0.00109,0.46528,-3.07617,-0.04142,0.27998,0.4375,-0.02761,0.19399,0.8125,0.01074,-0.00768,0.0625,0.01841,0.03388,-0.10625,0.0046,0.12675,-0.125,-0.01227,-0.01666,-0.06875,2e-05,-0.24275,7.08324,-0.00735,-0.00851,-2.69016,0.00307,0.98377,-0.25,0.012,-0.20759,4.13086,0.02182,-0.01479,-3.95508,0.00686,0.00447,1.90163,-0.00982,0.4167,0.17578,0.00307,0.28123,0.6875,-0.01074,-0.19664,-1.375,0.01227,0.02434,0.0625,0.0,0.0392,0.0,-0.00307,-0.14953,-0.0625,-0.00614,0.01804,0.01875,-0.01028,-0.00175,-0.16779,5.0
0.3062,1,4.9,14.5,19.9,13,0.3922,0.10339,0.25618,-0.17831,1.37843,0.16913,-0.077,-0.09196,0.06889,-0.22314,0.19428,1.34533,-0.18875,0.23117,0.01863,0.26013,0.21406,-0.02769,1.00539,0.14675,0.01384,-0.03663,0.26123,-0.21664,0.04433,1.00376,-0.16948,0.05916,0.01863,-0.01278,0.01278,-0.01385,0.03285,0.00659,0.02464,0.0038,-0.19649,1.14359,-0.00272,-0.0113,-0.26922,0.00767,0.98623,0.0625,0.00327,-0.27905,-4.21875,-0.00436,0.02073,-0.70312,0.00514,-0.00092,1.00675,0.012,0.46529,-3.25195,-0.03068,0.27879,-0.3125,0.0,0.18862,0.8125,-0.01227,-0.00751,-0.25,-0.05522,0.03401,-0.6,0.0092,0.12665,0.25,-0.07363,-0.01677,-0.575,-0.00429,-0.24276,6.9943,-0.01101,-0.00851,-2.74258,0.01687,0.98639,0.3125,0.00109,-0.20759,4.21875,0.01854,-0.01475,-3.95508,-0.01028,0.00446,1.90163,0.00982,0.41673,0.26367,-0.02301,0.28097,-0.125,0.01074,-0.19651,-0.9375,0.0046,0.02448,0.5625,0.06136,0.03944,0.575,-0.01534,-0.14952,-0.5625,0.01227,0.01823,0.4125,0.00343,-0.00173,-0.16779,5.0
0.3307,2,3.0,7.4,10.8,13,0.37496,0.10671,0.26574,-0.17623,1.3756,0.16777,-0.07924,-0.08569,0.06894,-0.23256,0.19251,1.34461,-0.18663,0.22523,0.01188,0.25013,0.22406,-0.03769,1.01539,0.15675,0.00384,-0.04663,0.25123,-0.22664,0.05433,1.01376,-0.17948,0.06916,0.01188,0.00107,-0.00852,-0.01917,0.03284,0.00657,0.02462,-0.0022,-0.19649,1.23172,-0.00366,-0.0113,-0.32229,0.57678,1.00065,-0.625,-0.00436,-0.27902,-4.21875,0.0,0.02075,-0.70312,0.03771,-0.00092,1.00675,0.00327,0.46529,-3.07617,-0.4832,0.27034,-0.0625,0.05676,0.18845,1.3125,-0.15493,-0.01118,-0.5625,-0.14726,0.0294,-0.73125,0.474,0.13407,0.0,-0.24544,-0.02372,-0.44375,-0.00268,-0.24275,7.26063,-0.00642,-0.00851,-2.68962,0.54456,0.99706,-0.1875,0.03927,-0.20758,4.21875,0.01418,-0.01473,-3.95508,-0.00857,0.00447,1.95756,0.01309,0.41673,0.26367,-0.4065,0.27205,0.0,-0.03375,-0.19634,-1.3125,0.46019,0.03408,0.0625,0.24544,0.04924,0.25625,-0.58291,-0.1585,0.0,-0.06136,0.01982,0.05625,0.0,-0.0019,-0.16779,5.0
0.3766,3,4.0,18.6,23.3,12,0.35781,0.10367,0.2754,-0.17668,1.37682,0.17015,-0.08059,-0.07996,0.074,-0.23979,0.19139,1.33816,-0.18865,0.22459,0.00927,0.24013,0.23406,-0.04769,1.02539,0.16675,-0.00616,-0.05663,0.24123,-0.23664,0.06433,1.02376,-0.18865,0.07916,0.00927,-0.00959,-0.01065,-0.00213,0.03252,0.0066,0.02451,0.00054,-0.19648,1.14359,-0.00091,-0.0113,-0.26922,0.52616,1.01901,-1.0625,0.00873,-0.27901,-4.21875,0.01636,0.02077,-0.79102,0.01371,-0.00095,1.00675,0.00545,0.46537,-3.16406,-0.29299,0.25639,-0.0625,0.21322,0.19402,1.3125,-0.60592,-0.02671,0.3125,-0.26384,0.02271,-0.8125,0.3206,0.14569,0.0625,-0.34361,-0.03572,-0.175,1e-05,-0.24275,6.9943,-0.00368,-0.00849,-2.74258,0.50468,1.01655,-0.6875,0.00545,-0.20761,4.04297,0.00545,-0.01468,-4.13086,0.0,0.00446,2.01349,0.0,0.41663,0.0,-0.38963,0.2574,0.3125,0.01534,-0.1968,-1.875,0.46786,0.04965,-0.25,0.39884,0.06427,-0.2625,-0.19328,-0.17182,-0.375,-0.09204,0.01704,-0.14375,0.00857,-0.00202,-0.22372,5.0
0.4101,4,4.4,17.4,23.3,11,0.34155,0.10522,0.29061,-0.17598,1.37059,0.17059,-0.08188,-0.06942,0.07757,-0.25311,0.18902,1.33215,-0.18783,0.21588,0.0012,0.23013,0.24406,-0.05769,1.03539,0.17059,-0.01616,-0.06663,0.23123,-0.24664,0.07433,1.03376,-0.18783,0.08916,0.0012,-0.00746,0.0032,-0.00746,0.0322,0.00667,0.02481,0.00104,-0.1965,0.79264,-0.00911,-0.01136,-0.37247,0.27765,1.02904,-0.75,0.00545,-0.27905,-4.30664,0.00436,0.02074,-0.79102,0.0,-0.00095,1.00675,-0.01418,0.46541,-3.33984,-0.56144,0.24868,0.0625,0.0675,0.19805,1.9375,-0.44792,-0.03456,-0.0625,-0.52769,0.01498,-0.51875,0.42951,0.15113,0.25,-0.33134,-0.04492,-0.24375,0.0022,-0.24276,6.63952,-0.01104,-0.00851,-2.74366,0.19482,1.02415,-0.125,0.01854,-0.20761,3.95508,-0.012,-0.01481,-3.95508,0.012,0.00446,1.95756,0.00545,0.41651,-0.08789,-0.21476,0.24888,0.0,-0.12118,-0.19709,-2.3125,0.58751,0.06181,-0.5,0.16567,0.07248,0.2,-0.48474,-0.17785,-0.125,-0.12272,0.01554,-0.2125,0.00171,-0.00117,-0.16779,5.0
0.4355,5,4.0,10.6,15.3,11,0.33173,0.11003,0.30949,-0.17558,1.36626,0.17331,-0.08583,-0.05589,0.08166,-0.27012,0.18886,1.32802,-0.18676,0.20409,-0.00805,0.22013,0.25406,-0.06769,1.04539,0.17331,-0.02616,-0.05663,0.22123,-0.25664,0.08433,1.04376,-0.18676,0.09916,-0.00805,-0.01172,-0.00639,-0.01278,0.03211,0.00661,0.02471,-0.00223,-0.1965,0.79264,-0.00913,-0.01137,-0.37247,0.34208,1.03453,-0.5,-0.00109,-0.27906,-4.39453,0.00436,0.0207,-0.79102,0.01028,-0.00087,1.00675,0.00436,0.46549,-3.42773,-0.45559,0.24145,-0.1875,0.18715,0.2032,2.0,-0.38503,-0.04163,-0.25,-0.5461,0.00289,-0.3375,0.2255,0.15926,0.25,-0.3927,-0.05331,-0.25625,0.00058,-0.24277,6.72798,-0.01379,-0.00851,-2.79554,0.32214,1.03121,-0.125,0.00982,-0.20761,4.13086,0.01854,-0.01485,-3.95508,-0.01714,0.00446,1.95756,0.01636,0.41654,0.0,-0.44946,0.23869,0.3125,-0.12885,-0.19785,-2.875,0.59058,0.07014,-0.3125,0.29452,0.08044,0.09375,-0.15186,-0.18419,-0.125,-0.33748,0.01304,-0.18125,-0.04628,-0.00122,-0.11186,5.0
0.4917,6,5.4,31.2,38.1,12,0.31211,0.11427,0.32648,-0.17554,1.35753,0.17641,-0.08954,-0.03936,0.0842,-0.28506,0.18479,1.31635,-0.18751,0.19575,-0.0191,0.21013,0.26406,-0.07769,1.05539,0.17641,-0.03616,-0.04663,0.21123,-0.26664,0.09433,1.05376,-0.18751,0.10916,-0.01805,-0.00746,0.00107,-0.00852,0.032,0.00659,0.02484,0.00266,-0.19649,0.79264,-0.01184,-0.01137,-0.37247,0.31907,1.04542,-0.5625,0.01309,-0.27905,-4.39453,-0.00873,0.02064,-0.79102,-0.00857,-0.00087,1.06268,-0.02618,0.46551,-3.25195,-0.35282,0.23095,-0.3125,0.25771,0.21224,2.0,-0.50008,-0.05627,0.125,-0.27612,-0.01071,-0.51875,0.10431,0.16601,0.125,0.03682,-0.05739,-0.03125,0.00054,-0.24277,6.72798,-0.00092,-0.00851,-2.79554,0.44946,1.04264,-0.4375,0.024,-0.20761,4.04297,0.01745,-0.01496,-3.95508,-0.00686,0.00446,1.95756,0.00218,0.41647,-0.17578,-0.42338,0.22659,0.375,-0.18254,-0.20139,-3.1875,0.39117,0.08345,-0.3125,0.15953,0.09182,0.23125,-0.08744,-0.18752,0.0625,-0.20862,0.00316,-0.275,-0.024,-0.00122,-0.16779,5.0
0.5083,7,6.8,9.1,16.4,12,0.31062,0.11769,0.34854,-0.17468,1.36142,0.17729,-0.08883,-0.02614,0.09433,-0.30618,0.18011,1.31813,-0.18582,0.1875,-0.03038,0.20013,0.27406,-0.08769,1.06539,0.17729,-0.04616,-0.03663,0.20123,-0.27664,0.10433,1.06376,-0.18582,0.11916,-0.02805,-0.01385,0.00533,-0.01491,0.03205,0.00657,0.02495,-0.00717,-0.19651,0.79264,-0.01371,-0.01137,-0.37247,0.21629,1.0508,-0.125,0.00436,-0.27913,-4.30664,0.00436,0.02064,-0.79102,-0.01543,-0.00092,1.06268,0.00654,0.46552,-3.33984,-0.30986,0.22311,-0.5,0.26384,0.2212,2.0625,-0.26231,-0.06885,-0.0625,-0.28839,-0.01612,-0.775,0.07517,0.16724,0.3125,0.36816,-0.05586,0.0125,0.00112,-0.24277,6.63905,-0.01287,-0.00854,-2.84796,0.25311,1.05061,0.0,-0.00982,-0.20762,3.95508,0.00982,-0.01497,-4.04297,0.00514,0.00446,2.01349,-0.00327,0.4164,-0.26367,-0.27305,0.21496,0.3125,-0.27612,-0.20631,-3.375,0.21169,0.08637,0.375,0.42951,0.09876,-0.0125,0.00153,-0.18751,-0.0625,-0.3068,-0.00395,-0.35625,-0.00343,-0.00102,-0.22372,5.0
0.5457,8,4.4,15.4,20.4,12,0.29688,0.12109,0.37306,-0.17789,1.36223,0.1869,-0.09318,-0.00689,0.10063,-0.32862,0.17591,1.31177,-0.18787,0.1735,-0.04257,0.19013,0.28406,-0.09769,1.07539,0.1869,-0.05616,-0.02663,0.19123,-0.28664,0.11433,1.07376,-0.18787,0.12916,-0.03805,0.0032,0.01704,-0.0032,0.03232,0.00656,0.02481,-0.00274,-0.19652,0.88077,-0.00275,-0.01137,-0.42554,0.50008,1.06535,-0.8125,-0.00764,-0.27919,-4.30664,0.00327,0.02062,-0.70312,-0.00343,-0.0009,1.00675,-0.00327,0.4655,-3.33984,-0.51235,0.20962,0.0,0.22089,0.22748,2.3125,-0.42491,-0.08002,0.3125,-0.45406,-0.0305,-0.26875,0.0721,0.16943,0.25,0.31907,-0.04612,0.05,0.00595,-0.24278,6.72798,-0.00278,-0.00851,-2.79554,0.38196,1.05907,-0.0625,-0.00218,-0.20761,4.04297,0.02073,-0.01502,-4.04297,-0.00343,0.00446,2.01349,0.00327,0.41654,0.0,-0.38503,0.20559,0.4375,-0.39884,-0.21626,-3.1875,0.57524,0.10388,-0.625,0.46019,0.11015,-0.0875,-0.01841,-0.18764,0.0,-0.2393,-0.01461,-0.425,-0.048,-0.00119,-0.11186,5.0
0.5961,9,4.1,31.9,37.3,12,0.28745,0.1227,0.38623,-0.1753,1.36057,0.18615,-0.09369,0.00328,0.10329,-0.3416,0.17397,1.31035,-0.18668,0.16516,-0.04977,0.18013,0.29406,-0.10769,1.08539,0.18615,-0.06616,-0.01663,0.18123,-0.29664,0.12433,1.08376,-0.18668,0.13916,-0.04805,-0.00213,0.02557,0.00426,0.03278,0.00647,0.02469,-0.00113,-0.19652,1.14412,-0.0073,-0.01138,-0.3744,0.32827,1.07312,-0.5,0.0,-0.27929,-4.21875,0.0,0.0206,-0.61523,-0.00857,-0.00076,0.95082,-0.00436,0.46549,-3.42773,-0.37429,0.19941,-0.125,0.22089,0.23334,2.625,-0.43565,-0.08963,0.3125,-0.3252,-0.04063,-0.425,0.46173,0.17596,-0.125,0.37429,-0.03759,0.0375,-1e-05,-0.24276,6.9943,0.00368,-0.00852,-2.74258,0.44025,1.06829,-0.0625,0.00545,-0.20761,4.13086,-0.02182,-0.01506,-3.86719,0.00343,0.00446,1.8457,0.00218,0.41663,0.35156,-0.36355,0.19425,0.4375,-0.43258,-0.22764,-3.0625,0.41264,0.11274,-0.375,0.37429,0.11942,0.09375,-0.04909,-0.18779,-0.0625,-0.43565,-0.02429,-0.10625,-0.01028,-0.00143,-0.16779,5.0
