# args: {'layout': '16d', 'policy': None, 'device': None, 'iface': 'enp5s0', 'camera': 'zmq://192.168.123.164:55555', 'fps': 30.0, 'duration': 30.0, 'kp': 60.0, 'kd': 1.5, 'clamp': 0.01, 'log': None, 'dry_run': False}
t,step,cam_ms,policy_ms,loop_ms,clamp_hits,max_target_gap,target_kLeftShoulderPitch,target_kLeftShoulderRoll,target_kLeftShoulderYaw,target_kLeftElbow,target_kLeftWristRoll,target_kLeftWristPitch,target_kLeftWristYaw,target_kRightShoulderPitch,target_kRightShoulderRoll,target_kRightShoulderYaw,target_kRightElbow,target_kRightWristRoll,target_kRightWristPitch,target_kRightWristYaw,cmd_kLeftShoulderPitch,cmd_kLeftShoulderRoll,cmd_kLeftShoulderYaw,cmd_kLeftElbow,cmd_kLeftWristRoll,cmd_kLeftWristPitch,cmd_kLeftWristYaw,cmd_kRightShoulderPitch,cmd_kRightShoulderRoll,cmd_kRightShoulderYaw,cmd_kRightElbow,cmd_kRightWristRoll,cmd_kRightWristPitch,cmd_kRightWristYaw,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.pitch,imu.roll,imu.yaw,kLeftAnklePitch.dq,kLeftAnklePitch.q,kLeftAnklePitch.tau,kLeftAnkleRoll.dq,kLeftAnkleRoll.q,kLeftAnkleRoll.tau,kLeftElbow.dq,kLeftElbow.q,kLeftElbow.tau,kLeftHipPitch.dq,kLeftHipPitch.q,kLeftHipPitch.tau,kLeftHipRoll.dq,kLeftHipRoll.q,kLeftHipRoll.tau,kLeftHipYaw.dq,kLeftHipYaw.q,kLeftHipYaw.tau,kLeftKnee.dq,kLeftKnee.q,kLeftKnee.tau,kLeftShoulderPitch.dq,kLeftShoulderPitch.q,kLeftShoulderPitch.tau,kLeftShoulderRoll.dq,kLeftShoulderRoll.q,kLeftShoulderRoll.tau,kLeftShoulderYaw.dq,kLeftShoulderYaw.q,kLeftShoulderYaw.tau,kLeftWristPitch.dq,kLeftWristPitch.q,kLeftWristPitch.tau,kLeftWristRoll.dq,kLeftWristRoll.q,kLeftWristRoll.tau,kLeftWristYaw.dq,kLeftWristYaw.q,kLeftWristYaw.tau,kRightAnklePitch.dq,kRightAnklePitch.q,kRightAnklePitch.tau,kRightAnkleRoll.dq,kRightAnkleRoll.q,kRightAnkleRoll.tau,kRightElbow.dq,kRightElbow.q,kRightElbow.tau,kRightHipPitch.dq,kRightHipPitch.q,kRightHipPitch.tau,kRightHipRoll.dq,kRightHipRoll.q,kRightHipRoll.tau,kRightHipYaw.dq,kRightHipYaw.q,kRightHipYaw.tau,kRightKnee.dq,kRightKnee.q,kRightKnee.tau,kRightShoulderPitch.dq,kRightShoulderPitch.q,kRightShoulderPitch.tau,kRightShoulderRoll.dq,kRightShoulderRoll.q,kRightShoulderRoll.tau,kRightShoulderYaw.dq,kRightShoulderYaw.q,kRightShoulderYaw.tau,kRightWristPitch.dq,kRightWristPitch.q,kRightWristPitch.tau,kRightWristRoll.dq,kRightWristRoll.q,kRightWristRoll.tau,kRightWristYaw.dq,kRightWristYaw.q,kRightWristYaw.tau,kWaistYaw.dq,kWaistYaw.q,kWaistYaw.tau,mode_machine
0.3007,0,8.9,291.0,300.4,13,0.76833,-0.20546,0.13625,0.12718,0.51192,-0.09029,-0.58052,-0.15082,-0.48555,-0.02171,-0.00203,0.64111,0.0593,-0.34685,0.23987,0.26813,0.17465,0.00654,0.98161,0.08949,0.08061,0.00363,0.27283,-0.1871,-0.00203,0.98107,-0.19855,0.02939,0.02777,-0.00746,0.01385,-0.00639,0.01094,0.01332,0.17443,-0.00544,-0.21157,1.06301,-0.01279,0.00044,-0.1076,0.00153,0.99159,-0.5,-0.012,-0.25903,-4.48242,-0.00764,-0.00561,2.10938,-0.00857,0.00201,0.11186,-0.00436,0.48199,-4.74609,-0.00767,0.27814,0.5,-0.01841,0.18444,1.3125,0.00307,-0.00349,0.125,0.00614,0.09092,-0.2125,-0.01687,0.09945,-0.0625,0.00614,0.01365,0.0125,0.00162,-0.27213,7.14573,-0.00278,0.0029,-2.66327,0.00614,0.99107,-0.125,0.00109,-0.18657,2.90039,0.01527,0.0136,-9.31641,0.00343,0.00364,3.63548,0.0,0.43725,-9.4043,-0.00153,0.28278,0.5,0.01074,-0.19703,-1.1875,-0.00307,0.00461,0.125,-0.01227,0.03945,0.0,-0.01227,-0.20856,-0.0625,0.0,0.0178,0.01875,-0.00686,-0.0013,-0.16779,5.0
0.3325,1,5.1,25.8,31.7,13,0.76681,-0.20552,0.13572,0.12644,0.5131,-0.09043,-0.58072,-0.1514,-0.48422,-0.0217,-0.00203,0.63919,0.05832,-0.34678,0.2396,0.25813,0.16465,0.01654,0.97161,0.07949,0.07061,-0.00637,0.26283,-0.1771,-0.00203,0.97107,-0.18855,0.01939,0.03777,-0.00213,0.00533,-0.01278,0.01068,0.01333,0.1745,-0.00326,-0.21164,0.97429,-0.00549,0.00054,-0.05487,-0.00307,0.99198,-0.625,-0.00218,-0.25912,-4.39453,-0.00436,-0.00561,2.02148,0.01371,0.00202,0.11186,0.012,0.4821,-4.57031,-0.01687,0.27817,-0.3125,-0.04755,0.18304,0.0,0.00614,-0.00349,0.125,-0.05522,0.0916,-0.6375,-0.01841,0.09881,-0.5,-0.04295,0.01424,-0.625,0.00382,-0.27213,7.14573,-0.01387,0.00288,-2.66327,-0.00767,0.99124,-0.3125,-0.00218,-0.18657,2.90039,-0.00109,0.01359,-9.4043,0.00857,0.00364,3.74734,0.0,0.43722,-9.58008,-0.00767,0.28259,-0.125,0.03068,-0.19592,-0.125,0.0046,0.00467,0.125,-0.04295,0.03957,-0.53125,0.01227,-0.20857,0.3125,0.05522,0.01801,0.53125,0.01028,-0.0013,-0.16779,5.0
0.3433,2,3.9,4.7,9.1,13,0.76271,-0.20548,0.1357,0.1263,0.51182,-0.09051,-0.58024,-0.15167,-0.48611,-0.02197,-0.00171,0.64011,0.05845,-0.3473,0.24057,0.24813,0.15465,0.02654,0.96161,0.06949,0.06061,-0.01637,0.25283,-0.1671,-0.00171,0.96107,-0.17855,0.00939,0.04777,-0.00959,0.00107,-0.00426,0.01072,0.01336,0.17452,0.00707,-0.21161,1.23982,0.01371,0.00057,-0.00298,-0.01074,0.9924,-1.1875,-0.01418,-0.25931,-4.48242,-0.00436,-0.00561,2.10938,0.01371,0.00201,0.11186,0.00109,0.48215,-4.57031,-0.10584,0.2733,-0.6875,-0.2301,0.17521,-0.25,0.14419,0.00423,0.4375,-0.07977,0.08963,-1.05625,-0.13499,0.09311,-0.5625,-0.09204,0.00821,-0.74375,0.00113,-0.27213,7.14573,-0.01108,0.0029,-2.66327,0.0046,0.99159,-0.9375,-0.00654,-0.18661,2.90039,0.02073,0.01361,-9.31641,0.03085,0.00366,3.74734,0.00545,0.4372,-9.58008,-0.13192,0.2766,-0.375,0.21169,-0.189,0.125,-0.00767,0.00065,0.0,-0.04909,0.03763,-0.98125,0.02148,-0.20613,0.6875,0.11658,0.02299,0.7625,0.012,-0.0013,-0.22372,5.0
0.3843,3,3.2,12.4,16.7,13,0.75894,-0.20489,0.13592,0.1268,0.51099,-0.09051,-0.58047,-0.15161,-0.48655,-0.0218,-0.0007,0.64068,0.05861,-0.34814,0.24121,0.23813,0.14465,0.03654,0.95161,0.05949,0.05061,-0.02637,0.24283,-0.1571,-0.0007,0.95107,-0.16855,-0.00061,0.05777,-0.01704,-0.00107,0.0032,0.01068,0.01322,0.17461,-0.00053,-0.21162,1.06301,0.00639,0.00056,-0.1076,-0.09971,0.99088,-1.6875,-0.024,-0.25958,-4.39453,0.00764,-0.0056,2.10938,0.0,0.00201,0.11186,0.00982,0.48242,-4.6582,-0.07823,0.26663,-1.125,-0.34515,0.16083,0.0,0.39423,0.02017,0.0,-0.38043,0.07826,-0.50625,-0.44792,0.07889,-0.0625,-0.38656,-0.00452,-0.175,0.00797,-0.27204,7.05651,0.01195,0.003,-2.6118,-0.17487,0.98857,-1.25,0.00873,-0.18664,2.90039,-0.00109,0.01362,-9.4043,0.01886,0.0036,3.69141,0.01854,0.4372,-9.58008,0.0,0.27239,-0.9375,0.28532,-0.17595,0.0,-0.02301,-0.00099,0.0625,-0.42338,0.02729,-0.4375,0.65348,-0.18902,-0.375,0.48474,0.03725,-0.05,-0.00686,-0.00131,-0.16779,5.0
0.4288,4,3.6,23.6,27.8,12,0.75512,-0.20522,0.13603,0.12656,0.51242,-0.09054,-0.58041,-0.15203,-0.48761,-0.02111,-0.00098,0.64278,0.05815,-0.34782,0.24128,0.22813,0.13603,0.04654,0.94161,0.04949,0.04061,-0.03637,0.23283,-0.1471,-0.00098,0.94107,-0.15855,-0.01061,0.06777,-0.00639,-0.02024,-0.00746,0.01059,0.01308,0.17497,-0.00163,-0.21163,0.97429,-0.00274,0.00052,-0.05487,-0.1534,0.98773,-2.0625,-0.00654,-0.25998,-4.30664,-0.00218,-0.0056,2.10938,0.00514,0.00198,0.11186,0.00436,0.48261,-4.83398,-0.21783,0.26184,-1.25,-0.54303,0.15033,0.25,0.474,0.03074,-0.1875,-0.17794,0.0694,-0.88125,-0.40957,0.06773,0.0,-0.42951,-0.0153,-0.05625,0.00162,-0.27187,6.9667,-0.00278,0.00305,-2.66421,-0.02761,0.98501,-1.8125,0.00109,-0.18677,2.90039,0.00109,0.01365,-9.31641,0.00171,0.00335,3.69141,-0.00436,0.4372,-9.58008,-0.23623,0.26751,-0.9375,0.29759,-0.16609,0.0,-0.00153,-0.0008,0.125,-0.29452,0.0176,-0.6375,0.48474,-0.17938,-0.125,0.25157,0.04812,0.25625,0.00857,-0.00131,-0.16779,5.0
0.4432,5,3.7,4.6,8.8,12,0.74352,-0.20539,0.13591,0.12633,0.51214,-0.0907,-0.58028,-0.15228,-0.48563,-0.02204,-0.00162,0.63996,0.05875,-0.34759,0.24111,0.21813,0.13591,0.05654,0.93161,0.03949,0.03061,-0.04637,0.22283,-0.1371,-0.00162,0.93107,-0.14855,-0.02061,0.07777,-0.00746,-0.01704,0.00746,0.01039,0.01304,0.17533,0.00214,-0.21163,0.79718,-0.00912,0.0005,-0.05444,-0.19175,0.98364,-2.375,-0.01309,-0.26043,-4.30664,0.00982,-0.00557,2.10938,0.02571,0.00197,0.0,0.0,0.48282,-5.27344,-0.38656,0.25265,-1.0625,-0.52155,0.13603,0.5,0.41111,0.03644,0.25,-0.16567,0.06534,-1.23125,-0.316,0.06323,-0.5625,-0.3068,-0.02156,-0.45625,0.01067,-0.27152,6.60864,0.00732,0.00288,-2.66609,-0.04909,0.98257,-2.25,0.00327,-0.18696,2.72461,0.02836,0.01376,-9.31641,-0.01543,0.00309,3.74734,0.01963,0.4372,-9.58008,-0.41571,0.25789,-0.75,0.65041,-0.15064,-0.75,0.0,-0.00066,0.0625,-0.1534,0.01228,-1.1,0.49394,-0.17227,0.0625,0.19635,0.05428,0.53125,-0.00857,-0.00135,-0.11186,5.0
0.5012,6,4.1,28.0,33.4,12,0.7356,-0.20483,0.13573,0.12626,0.51273,-0.09063,-0.57985,-0.15223,-0.48575,-0.02152,-0.00104,0.63864,0.05798,-0.34854,0.2411,0.20813,0.13573,0.06654,0.92161,0.02949,0.02061,-0.05637,0.21283,-0.1271,-0.00104,0.92107,-0.13855,-0.03061,0.08777,-0.01598,0.01704,-0.00426,0.01021,0.01286,0.17511,0.00326,-0.21166,0.53166,0.00549,0.00048,-0.10633,-0.57678,0.97179,-1.75,-0.0589,-0.26104,-4.39453,-0.00982,-0.00559,2.19727,0.00343,0.00197,0.0,0.01418,0.48329,-5.625,-0.22703,0.24577,-1.4375,-0.4832,0.12122,1.3125,0.18254,0.04577,0.5,-0.44179,0.04982,-0.51875,-0.29452,0.04751,-0.1875,-0.36816,-0.03715,0.0,0.02351,-0.27114,6.33979,0.01094,0.00309,-2.71944,-0.47093,0.9739,-1.75,-0.02836,-0.18728,2.72461,0.0,0.01366,-9.31641,0.01886,0.00307,3.63548,-0.00109,0.43716,-9.93164,-0.2301,0.24985,-1.125,0.22396,-0.13969,-0.3125,0.01687,-0.00473,0.3125,-0.35588,0.00061,-0.7,0.35895,-0.15905,0.0,0.34975,0.06418,0.35,0.00171,-0.00151,-0.11186,5.0
0.514,7,5.8,5.9,12.6,12,0.72614,-0.20485,0.13622,0.12658,0.51307,-0.09069,-0.5802,-0.15226,-0.48664,-0.0206,-0.00091,0.64109,0.0582,-0.34864,0.24132,0.19813,0.13622,0.07654,0.91161,0.01949,0.01061,-0.06637,0.20283,-0.1171,-0.00091,0.91107,-0.12855,-0.04061,0.09777,-0.00533,-0.01172,-0.01385,0.01027,0.01246,0.17515,-0.00111,-0.21162,0.62037,-0.01095,0.0004,-0.15907,-0.33441,0.95948,-1.9375,-0.02836,-0.26169,-4.39453,-0.00218,-0.00554,2.28516,-0.00857,0.00194,0.11186,0.01091,0.4835,-5.625,-0.474,0.23345,-0.9375,-0.34054,0.10843,1.9375,0.04142,0.0461,1.3125,-0.33134,0.0409,-0.825,-0.07056,0.04562,-1.0,-0.28225,-0.04583,-0.31875,0.01665,-0.27039,6.33979,-0.01025,0.00325,-2.71944,-0.3206,0.96078,-1.8125,-0.00654,-0.18767,2.90039,0.01309,0.01368,-9.05273,-0.01028,0.00307,3.57955,0.01091,0.43698,-9.49219,-0.44946,0.2395,-0.875,0.19942,-0.13287,-0.0625,0.16567,-0.0029,0.0,-0.36202,-0.00725,-0.9125,0.15647,-0.15445,0.5,0.34361,0.0708,0.6375,0.00857,-0.00161,-0.16779,5.0
0.5696,8,3.6,29.8,34.7,12,0.71718,-0.20425,0.13636,0.12676,0.51154,-0.09079,-0.57977,-0.15248,-0.48819,-0.02048,2e-05,0.6421,0.05844,-0.34896,0.24226,0.18813,0.13636,0.08654,0.90161,0.00949,0.00061,-0.07637,0.19283,-0.1071,2e-05,0.90107,-0.11855,-0.05061,0.10777,-0.01065,-0.01172,0.01065,0.00991,0.01224,0.17526,-0.00707,-0.21175,0.35454,-0.01188,0.00022,-0.1059,-0.43412,0.94888,-1.8125,-0.02945,-0.26199,-4.30664,0.00764,-0.00538,2.19727,0.00171,0.00192,0.0,-0.00109,0.48393,-5.80078,-0.48934,0.21913,-0.75,-0.15493,0.10111,2.125,0.04755,0.05298,1.4375,-0.36816,0.02939,-0.6125,-0.60592,0.03019,0.0625,-0.35588,-0.05903,0.0375,0.00378,-0.27024,5.98173,-0.00648,0.00311,-2.72133,-0.44179,0.94892,-1.5,-0.02073,-0.18785,2.54883,0.0,0.01392,-9.31641,-0.04114,0.00287,3.69141,0.01418,0.43696,-10.10742,-0.3252,0.22899,-0.9375,0.34975,-0.12241,-0.3125,0.02608,-0.00163,0.1875,-0.48474,-0.01933,-0.5125,0.3927,-0.14048,0.0625,0.2393,0.0877,0.28125,-0.00171,-0.00163,-0.11186,5.0
0.5828,9,6.1,6.0,13.1,12,0.70204,-0.20451,0.13652,0.12655,0.51187,-0.09081,-0.5798,-0.15256,-0.48802,-0.02038,-0.00114,0.64428,0.05848,-0.34964,0.24151,0.17813,0.13652,0.09654,0.89161,-0.00051,-0.00939,-0.08637,0.18283,-0.0971,-0.00114,0.89107,-0.10855,-0.06061,0.11777,-0.00639,0.01065,-0.01172,0.0101,0.01219,0.17558,0.00758,-0.21169,0.35454,2e-05,0.00016,-0.1059,-0.18101,0.94124,-2.25,-0.03163,-0.26269,-4.39453,0.00982,-0.00524,2.10938,0.00686,0.00197,0.0,0.012,0.48397,-5.625,-0.36816,0.20402,-0.5625,0.00767,0.10043,1.9375,0.18715,0.05393,1.875,-0.31293,0.02101,-0.8125,-0.18254,0.02396,-0.75,-0.34975,-0.06599,-0.2,0.01179,-0.27005,6.24998,-0.00191,0.00287,-2.77186,-0.22243,0.93995,-1.875,0.0,-0.18845,2.72461,0.0,0.01416,-9.31641,-0.00686,0.00242,3.80327,0.00873,0.43694,-9.93164,-0.37429,0.21403,-0.5625,0.39117,-0.11082,-0.375,0.04602,-0.0006,0.0625,-0.34361,-0.02986,-0.7125,0.20095,-0.1353,0.5625,0.48474,0.09403,0.2125,0.0,-0.00167,0.0,5.0
