# args: {'layout': '14d', 'policy': '/home/waldo/soccerbot/model4/pretrained_model', 'device': None, 'iface': 'enp5s0', 'camera': 'zmq://192.168.123.164:55555', 'fps': 30.0, 'duration': 30.0, 'kp': 60.0, 'kd': 1.5, 'clamp': 0.002, 'log': None, 'dry_run': False, 'image_no_motors': False}
t,step,cam_ms,policy_ms,loop_ms,clamp_hits,max_target_gap,target_kLeftShoulderPitch,target_kLeftShoulderRoll,target_kLeftShoulderYaw,target_kLeftElbow,target_kLeftWristRoll,target_kLeftWristPitch,target_kLeftWristYaw,target_kRightShoulderPitch,target_kRightShoulderRoll,target_kRightShoulderYaw,target_kRightElbow,target_kRightWristRoll,target_kRightWristPitch,target_kRightWristYaw,cmd_kLeftShoulderPitch,cmd_kLeftShoulderRoll,cmd_kLeftShoulderYaw,cmd_kLeftElbow,cmd_kLeftWristRoll,cmd_kLeftWristPitch,cmd_kLeftWristYaw,cmd_kRightShoulderPitch,cmd_kRightShoulderRoll,cmd_kRightShoulderYaw,cmd_kRightElbow,cmd_kRightWristRoll,cmd_kRightWristPitch,cmd_kRightWristYaw,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.pitch,imu.roll,imu.yaw,kLeftAnklePitch.dq,kLeftAnklePitch.q,kLeftAnklePitch.tau,kLeftAnkleRoll.dq,kLeftAnkleRoll.q,kLeftAnkleRoll.tau,kLeftElbow.dq,kLeftElbow.q,kLeftElbow.tau,kLeftHipPitch.dq,kLeftHipPitch.q,kLeftHipPitch.tau,kLeftHipRoll.dq,kLeftHipRoll.q,kLeftHipRoll.tau,kLeftHipYaw.dq,kLeftHipYaw.q,kLeftHipYaw.tau,kLeftKnee.dq,kLeftKnee.q,kLeftKnee.tau,kLeftShoulderPitch.dq,kLeftShoulderPitch.q,kLeftShoulderPitch.tau,kLeftShoulderRoll.dq,kLeftShoulderRoll.q,kLeftShoulderRoll.tau,kLeftShoulderYaw.dq,kLeftShoulderYaw.q,kLeftShoulderYaw.tau,kLeftWristPitch.dq,kLeftWristPitch.q,kLeftWristPitch.tau,kLeftWristRoll.dq,kLeftWristRoll.q,kLeftWristRoll.tau,kLeftWristYaw.dq,kLeftWristYaw.q,kLeftWristYaw.tau,kRightAnklePitch.dq,kRightAnklePitch.q,kRightAnklePitch.tau,kRightAnkleRoll.dq,kRightAnkleRoll.q,kRightAnkleRoll.tau,kRightElbow.dq,kRightElbow.q,kRightElbow.tau,kRightHipPitch.dq,kRightHipPitch.q,kRightHipPitch.tau,kRightHipRoll.dq,kRightHipRoll.q,kRightHipRoll.tau,kRightHipYaw.dq,kRightHipYaw.q,kRightHipYaw.tau,kRightKnee.dq,kRightKnee.q,kRightKnee.tau,kRightShoulderPitch.dq,kRightShoulderPitch.q,kRightShoulderPitch.tau,kRightShoulderRoll.dq,kRightShoulderRoll.q,kRightShoulderRoll.tau,kRightShoulderYaw.dq,kRightShoulderYaw.q,kRightShoulderYaw.tau,kRightWristPitch.dq,kRightWristPitch.q,kRightWristPitch.tau,kRightWristRoll.dq,kRightWristRoll.q,kRightWristRoll.tau,kRightWristYaw.dq,kRightWristYaw.q,kRightWristYaw.tau,kWaistYaw.dq,kWaistYaw.q,kWaistYaw.tau,mode_machine
0.2901,0,7.1,282.3,289.8,14,0.36697,0.07983,0.23008,-0.18312,1.35736,0.17972,-0.06031,-0.07657,0.08478,-0.2069,0.13615,1.32078,-0.15112,0.21937,0.01663,0.27279,0.12068,0.00652,0.99235,0.07159,0.03109,0.01864,0.2756,-0.12369,0.00497,0.99236,-0.12139,0.04849,-0.02045,-0.00426,0.01172,-0.00213,0.05158,0.01924,0.06963,-0.00218,-0.3368,2.09841,-0.01491,-0.01024,0.14376,0.01381,0.99039,-0.4375,-0.00327,-0.27907,-3.33984,-0.00327,0.00428,-0.9668,-0.00343,0.00232,-0.11186,0.01309,0.59535,0.79102,-0.0046,0.27475,0.5625,-0.01381,0.11861,0.625,0.0,0.00853,0.125,0.01227,0.03315,-0.06875,-0.03988,0.06942,0.0,0.0,0.02068,0.0,-0.00364,-0.36909,3.9628,-0.00089,-0.00058,-0.24407,0.00153,0.99038,-0.125,0.02618,-0.27077,-4.04297,0.00436,0.0004,-0.35156,-0.01371,-0.00596,1.11861,0.00654,0.59251,2.02148,-0.01534,0.2776,0.6875,0.01074,-0.12166,-0.625,0.00767,0.00297,0.125,0.0,0.04652,-0.05,0.00614,-0.11934,0.1875,-0.01227,-0.02247,0.04375,0.00857,-0.001,0.0,5.0
0.303,1,4.7,7.3,12.9,14,0.36423,0.08056,0.23709,-0.18151,1.35512,0.17735,-0.06108,-0.0714,0.08625,-0.21518,0.13599,1.32067,-0.14891,0.21386,0.01209,0.27079,0.12268,0.00452,0.99435,0.07359,0.02909,0.01664,0.2736,-0.12569,0.00697,0.99436,-0.12339,0.05049,-0.01845,-0.00852,0.00852,-0.01172,0.05247,0.01938,0.06965,0.00841,-0.33681,2.09841,0.00194,-0.01023,0.14376,0.00307,0.99089,-0.125,0.0,-0.27913,-3.33984,-0.00218,0.00428,-0.9668,-0.00514,0.0023,-0.11186,-0.00218,0.59534,0.87891,-0.03221,0.27447,0.0625,-0.02454,0.11815,0.1875,0.0,0.00853,0.0,0.0,0.03324,-0.1375,0.00614,0.0693,0.0,-0.01227,0.02088,-0.1375,0.00105,-0.36908,3.97683,-0.00187,-0.00058,-0.23625,0.0,0.9905,0.125,0.00327,-0.27111,-4.04297,0.0,0.00041,-0.43945,0.00857,-0.00596,1.06268,0.0,0.59249,2.10938,-0.0046,0.277,0.25,-0.00153,-0.1214,-0.375,0.00767,0.00298,0.1875,0.00614,0.04665,0.125,-0.00614,-0.11881,-0.125,0.01227,-0.02253,0.15,0.02228,-0.00102,-0.16779,5.0
0.3766,2,6.1,46.0,52.9,14,0.35685,0.08026,0.2415,-0.18117,1.35407,0.17746,-0.06319,-0.06701,0.08719,-0.22009,0.1355,1.32098,-0.14794,0.20951,0.0085,0.26879,0.12468,0.00252,0.99635,0.07559,0.02709,0.01464,0.2716,-0.12769,0.00897,0.99636,-0.12539,0.05249,-0.01645,-0.00107,-0.00852,-0.00959,0.05243,0.01946,0.0696,0.00212,-0.3368,2.09841,0.00374,-0.01022,0.14376,0.19021,0.99722,-0.5625,-0.00982,-0.27924,-3.33984,-0.00982,0.00426,-0.9668,0.02057,0.00232,-0.16779,-0.01636,0.59533,0.79102,-0.17181,0.26914,0.25,-0.07517,0.11604,0.375,-0.0046,0.00847,-0.0625,0.00614,0.03297,-0.25625,0.0092,0.06968,0.0625,-0.04295,0.01931,-0.15,-0.00049,-0.36908,3.9628,-0.00838,-0.00058,-0.24407,0.25004,0.99809,-0.4375,-0.01527,-0.27118,-4.04297,-0.012,0.0004,-0.35156,-0.00514,-0.00596,1.06268,-0.00436,0.59253,2.10938,-0.14726,0.27205,0.4375,0.02761,-0.12069,-0.5,-0.0046,0.00307,0.375,0.07363,0.04855,0.05625,-0.0721,-0.12193,-0.125,0.01841,-0.02161,0.2,-0.00514,-0.00103,-0.16779,5.0
0.3936,3,7.1,9.2,16.9,14,0.35316,0.082,0.24631,-0.18041,1.35168,0.17769,-0.0631,-0.06182,0.09059,-0.22577,0.13414,1.315,-0.14602,0.20836,0.00511,0.26679,0.12668,0.00052,0.99835,0.07759,0.02509,0.01264,0.2696,-0.12969,0.01097,0.99836,-0.12739,0.05449,-0.01445,0.00426,0.00426,-0.02131,0.05246,0.01945,0.06956,0.00263,-0.3368,2.0066,0.00096,-0.01024,0.19577,0.01074,0.99851,-0.3125,0.00654,-0.27948,-3.33984,-0.00327,0.00428,-0.9668,0.00514,0.00237,-0.16779,0.00218,0.59534,0.79102,-0.15186,0.26325,0.4375,-0.08283,0.1132,0.5625,0.00614,0.00842,-0.25,-0.03068,0.03282,-0.35,0.00767,0.06971,0.1875,-0.03068,0.01832,-0.2125,-0.0005,-0.36908,3.97683,-0.00279,-0.00057,-0.23625,0.03988,1.0023,-0.25,-0.00327,-0.27142,-3.95508,0.00436,0.00037,-0.35156,0.0,-0.00597,1.06268,0.0,0.59253,2.10938,-0.07517,0.26791,0.4375,0.0,-0.11954,-0.625,0.0092,0.00307,0.5,0.03068,0.04947,0.175,-0.01841,-0.12275,-0.3125,0.03682,-0.02174,0.30625,-0.01028,-0.00098,-0.11186,5.0
0.4628,4,7.3,44.7,52.7,14,0.34691,0.08177,0.25569,-0.1784,1.34727,0.17714,-0.06651,-0.05457,0.09311,-0.23531,0.13338,1.30969,-0.14378,0.20216,0.00027,0.26479,0.12868,-0.00148,1.00035,0.07959,0.02309,0.01064,0.2676,-0.13169,0.01297,1.00036,-0.12939,0.05649,-0.01245,-0.01065,-0.00426,-0.01491,0.05247,0.01947,0.06933,0.00417,-0.3368,2.09841,-0.00554,-0.01022,0.14376,0.05369,1.00036,-0.375,0.00654,-0.27946,-3.25195,-0.00109,0.00428,-0.9668,-0.01543,0.0024,-0.16779,0.02945,0.59536,0.70312,-0.11351,0.25964,0.4375,0.03221,0.11278,0.625,-0.03988,0.00718,-0.25,-0.00614,0.03219,-0.425,0.00614,0.0705,0.25,-0.03068,0.01633,-0.1875,0.0,-0.36908,3.88483,0.0,-0.00058,-0.18529,0.11658,1.00499,-0.4375,0.0,-0.27144,-3.95508,-0.00873,0.0004,-0.43945,-0.00171,-0.00596,1.06268,0.00109,0.59254,2.02148,-0.05829,0.26508,0.5,-0.0092,-0.11988,-0.6875,0.06289,0.00441,0.5,0.05522,0.05057,0.2,-0.09971,-0.12515,-0.125,0.04909,-0.02001,0.26875,-0.02914,-0.00106,-0.11186,5.0
0.484,5,4.1,16.5,21.1,14,0.34481,0.08427,0.2676,-0.17367,1.34544,0.17168,-0.06873,-0.04868,0.09777,-0.24859,0.12828,1.31424,-0.14016,0.19343,-0.00754,0.26279,0.13068,-0.00348,1.00235,0.08159,0.02109,0.00864,0.2656,-0.13369,0.01497,1.00236,-0.13139,0.05849,-0.01045,-0.01172,0.00426,-0.01278,0.05257,0.01963,0.06934,0.00261,-0.33679,2.09841,-0.00276,-0.01023,0.14376,-0.00307,1.00063,-0.25,0.00982,-0.27948,-3.25195,-0.00654,0.00427,-0.9668,0.00343,0.00236,-0.16779,0.02182,0.59534,0.79102,-0.01381,0.25667,0.5,0.02454,0.11372,0.5625,0.0046,0.00641,-0.25,0.0,0.03139,-0.3625,0.0092,0.07091,0.25,0.0,0.016,-0.2125,-0.00364,-0.36909,3.9628,0.00097,-0.00058,-0.24407,0.01994,1.00696,-0.4375,-0.00873,-0.27153,-3.95508,0.00327,0.00041,-0.43945,0.01714,-0.00595,1.11861,0.0,0.59253,2.02148,-0.01994,0.26287,0.5625,-0.00307,-0.12036,-0.6875,0.01534,0.00496,0.5,0.01227,0.05081,0.24375,-0.01534,-0.12814,0.0,0.00614,-0.01903,0.29375,0.0,-0.00102,-0.11186,5.0
0.5265,6,4.7,23.5,29.8,13,0.34199,0.08466,0.26936,-0.17196,1.34346,0.17102,-0.07,-0.04738,0.09754,-0.25084,0.12776,1.31227,-0.13951,0.19085,-0.01061,0.26079,0.13268,-0.00548,1.00435,0.08359,0.01909,0.00664,0.2636,-0.13569,0.01697,1.00436,-0.13339,0.06049,-0.01061,-0.00107,0.01172,-0.00852,0.05273,0.01968,0.06941,-0.00261,-0.3368,2.09841,0.00276,-0.01024,0.14376,0.0721,1.00147,-0.1875,-0.00436,-0.27948,-3.33984,-0.00327,0.00428,-0.9668,-0.00686,0.00232,-0.11186,-0.00545,0.59534,0.79102,-0.03221,0.25586,0.25,0.06289,0.1147,0.6875,-0.12885,0.00443,-0.125,-0.02454,0.03007,-0.53125,0.13806,0.07318,0.125,-0.05522,0.01457,-0.31875,0.00308,-0.36908,3.97683,0.00556,-0.00058,-0.23625,0.07056,1.0089,-0.25,0.00873,-0.27156,-3.95508,0.0,0.00046,-0.43945,0.00857,-0.00596,1.11861,-0.00218,0.59255,2.10938,-0.07517,0.2611,0.5,-0.03528,-0.12074,-0.8125,0.04602,0.00602,0.625,0.19635,0.05353,0.05625,-0.05522,-0.12966,-0.1875,0.15953,-0.01638,0.1875,-0.00514,-0.00104,-0.16779,5.0
0.5512,7,7.2,12.4,20.7,14,0.33756,0.08558,0.27974,-0.17118,1.3413,0.17042,-0.06958,-0.03868,0.10181,-0.26132,0.12551,1.30894,-0.13724,0.18752,-0.01803,0.25879,0.13468,-0.00748,1.00635,0.08559,0.01709,0.00464,0.2616,-0.13769,0.01897,1.00636,-0.13539,0.06249,-0.01261,-0.01385,0.00852,-0.00852,0.05296,0.01968,0.06935,0.00047,-0.3368,2.09841,-0.01023,-0.01024,0.14376,0.13346,1.00374,-0.25,0.00545,-0.27951,-3.33984,-0.00327,0.00428,-0.9668,0.03085,0.00234,-0.11186,0.00109,0.59533,0.79102,-0.03835,0.2551,0.25,0.04909,0.1162,0.75,-0.07977,0.00135,-0.125,-0.07977,0.02936,-0.50625,0.17027,0.07641,0.0625,-0.06136,0.01325,-0.35,0.00102,-0.36909,3.9628,0.00558,-0.00058,-0.24407,0.01534,1.01015,-0.25,0.00982,-0.27167,-3.95508,0.0,0.00047,-0.43945,-0.00857,-0.00597,1.11861,0.00764,0.59254,2.10938,-0.04602,0.25896,0.5,-0.05369,-0.12189,-0.875,0.10891,0.0075,0.5,0.0859,0.05905,0.0,-0.04755,-0.13038,-0.25,0.03068,-0.01182,0.06875,0.00343,-0.00104,-0.16779,5.0
0.5912,8,4.8,22.0,27.1,13,0.33249,0.08611,0.28378,-0.16983,1.33956,0.16926,-0.07219,-0.03546,0.10435,-0.26768,0.12376,1.30747,-0.13536,0.18291,-0.02192,0.25679,0.13668,-0.00948,1.00835,0.08759,0.01509,0.00264,0.2596,-0.13969,0.02097,1.00836,-0.13536,0.06449,-0.01461,-0.00852,-0.00107,-0.01065,0.053,0.01963,0.06936,-0.00369,-0.3368,2.09841,-0.00283,-0.01024,0.14376,0.13192,1.00707,-0.375,0.00982,-0.27951,-3.25195,0.00218,0.00428,-0.9668,0.0,0.00232,-0.16779,-0.00873,0.59529,0.87891,-0.05829,0.25379,0.25,0.06903,0.11753,0.75,-0.02915,0.0003,-0.25,-0.0859,0.02766,-0.5625,0.05676,0.07844,0.1875,-0.0859,0.01103,-0.29375,0.00105,-0.36908,3.97683,-0.00187,-0.00058,-0.23625,0.04295,1.01097,-0.1875,0.00545,-0.27169,-3.95508,-0.00109,0.00046,-0.35156,0.01714,-0.00595,1.06268,-0.01854,0.59253,2.02148,-0.06136,0.2574,0.5,-0.09511,-0.12404,-0.8125,0.25617,0.01384,0.0625,0.04909,0.0609,0.05625,-0.09511,-0.1315,-0.1875,0.01227,-0.01206,0.0,0.00686,-0.00103,-0.16779,5.0
0.61,9,3.9,8.3,12.6,13,0.32853,0.08663,0.29089,-0.16904,1.33793,0.17057,-0.07216,-0.03201,0.10405,-0.27396,0.12411,1.30774,-0.13622,0.17943,-0.02402,0.25479,0.13868,-0.01148,1.01035,0.08959,0.01309,0.00064,0.2576,-0.14169,0.02297,1.01036,-0.13622,0.06649,-0.01661,-0.00959,0.01172,0.00213,0.05311,0.01959,0.06957,0.00104,-0.33679,2.09841,-0.00185,-0.01021,0.14376,0.12118,1.0094,-0.3125,-0.00545,-0.27955,-3.33984,-0.00545,0.00428,-0.9668,-0.00343,0.00228,-0.16779,0.02182,0.5953,0.79102,-0.05062,0.25259,0.1875,0.04142,0.11867,0.8125,-0.02608,-0.00037,-0.3125,-0.0675,0.02629,-0.5625,0.05676,0.07934,0.25,-0.11658,0.00869,-0.24375,-0.00209,-0.36909,3.9628,0.00375,-0.00058,-0.24407,0.04449,1.01188,-0.0625,-0.00218,-0.27171,-3.95508,0.0,0.00045,-0.43945,0.01371,-0.00595,1.06268,0.01636,0.59255,2.10938,-0.03682,0.2559,0.4375,-0.04755,-0.12565,-0.875,0.17794,0.0172,0.125,0.04909,0.06198,0.10625,-0.02915,-0.13239,-0.3125,-0.03068,-0.01228,-0.05,-0.012,-0.00104,-0.16779,5.0
