# args: {'layout': '14d', 'policy': '/home/waldo/soccerbot/model4/pretrained_model', 'iface': 'enp5s0', 'camera': 'zmq://192.168.123.164:55555', 'clamp': 0.01, 'duration': 30.0, 'fps': 30.0, 'device': None, 'rerun': True, 'no_rerun': False, 'record_path': None, 'no_display': False, 'dry_run': False, 'image_no_motors': False, 'leave_arms_engaged': True, 'log': None, 'kp': 60.0, 'kd': 1.5}
t,step,cam_ms,policy_ms,loop_ms,clamp_hits,max_target_gap,target_kLeftShoulderPitch,target_kLeftShoulderRoll,target_kLeftShoulderYaw,target_kLeftElbow,target_kLeftWristRoll,target_kLeftWristPitch,target_kLeftWristYaw,target_kRightShoulderPitch,target_kRightShoulderRoll,target_kRightShoulderYaw,target_kRightElbow,target_kRightWristRoll,target_kRightWristPitch,target_kRightWristYaw,cmd_kLeftShoulderPitch,cmd_kLeftShoulderRoll,cmd_kLeftShoulderYaw,cmd_kLeftElbow,cmd_kLeftWristRoll,cmd_kLeftWristPitch,cmd_kLeftWristYaw,cmd_kRightShoulderPitch,cmd_kRightShoulderRoll,cmd_kRightShoulderYaw,cmd_kRightElbow,cmd_kRightWristRoll,cmd_kRightWristPitch,cmd_kRightWristYaw,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.pitch,imu.roll,imu.yaw,kLeftAnklePitch.dq,kLeftAnklePitch.q,kLeftAnklePitch.tau,kLeftAnkleRoll.dq,kLeftAnkleRoll.q,kLeftAnkleRoll.tau,kLeftElbow.dq,kLeftElbow.q,kLeftElbow.tau,kLeftHipPitch.dq,kLeftHipPitch.q,kLeftHipPitch.tau,kLeftHipRoll.dq,kLeftHipRoll.q,kLeftHipRoll.tau,kLeftHipYaw.dq,kLeftHipYaw.q,kLeftHipYaw.tau,kLeftKnee.dq,kLeftKnee.q,kLeftKnee.tau,kLeftShoulderPitch.dq,kLeftShoulderPitch.q,kLeftShoulderPitch.tau,kLeftShoulderRoll.dq,kLeftShoulderRoll.q,kLeftShoulderRoll.tau,kLeftShoulderYaw.dq,kLeftShoulderYaw.q,kLeftShoulderYaw.tau,kLeftWristPitch.dq,kLeftWristPitch.q,kLeftWristPitch.tau,kLeftWristRoll.dq,kLeftWristRoll.q,kLeftWristRoll.tau,kLeftWristYaw.dq,kLeftWristYaw.q,kLeftWristYaw.tau,kRightAnklePitch.dq,kRightAnklePitch.q,kRightAnklePitch.tau,kRightAnkleRoll.dq,kRightAnkleRoll.q,kRightAnkleRoll.tau,kRightElbow.dq,kRightElbow.q,kRightElbow.tau,kRightHipPitch.dq,kRightHipPitch.q,kRightHipPitch.tau,kRightHipRoll.dq,kRightHipRoll.q,kRightHipRoll.tau,kRightHipYaw.dq,kRightHipYaw.q,kRightHipYaw.tau,kRightKnee.dq,kRightKnee.q,kRightKnee.tau,kRightShoulderPitch.dq,kRightShoulderPitch.q,kRightShoulderPitch.tau,kRightShoulderRoll.dq,kRightShoulderRoll.q,kRightShoulderRoll.tau,kRightShoulderYaw.dq,kRightShoulderYaw.q,kRightShoulderYaw.tau,kRightWristPitch.dq,kRightWristPitch.q,kRightWristPitch.tau,kRightWristRoll.dq,kRightWristRoll.q,kRightWristRoll.tau,kRightWristYaw.dq,kRightWristYaw.q,kRightWristYaw.tau,kWaistYaw.dq,kWaistYaw.q,kWaistYaw.tau,mode_machine
0.3291,0,7.5,319.2,327.3,14,0.30299,0.06278,0.27382,-0.20001,1.29403,0.1902,0.01846,-0.02773,0.13968,-0.25175,0.19656,1.21544,-0.23121,0.31368,-0.02714,0.26589,0.19135,-0.01555,1.00102,0.10977,0.10211,0.00403,0.26666,-0.20484,0.01382,0.99731,-0.15904,0.08884,-0.02494,-0.0032,0.0032,-0.01278,0.02254,0.00941,0.14205,-0.00162,-0.23578,7.55433,-0.00276,0.00536,-0.27548,0.0,0.99104,-0.5,-0.00218,-0.2241,-5.71289,0.012,-0.00518,2.10938,0.00514,0.00316,0.16779,0.01745,0.48052,-2.63672,-0.00767,0.2759,0.625,-0.01381,0.18135,1.4375,0.00307,-0.00552,0.1875,0.00614,0.11214,-0.2,-0.01687,0.09973,-0.0625,0.0,0.01402,0.025,-0.00102,-0.24832,11.53266,-0.0092,0.01119,-1.91067,-0.0046,0.98731,-0.25,0.00218,-0.18551,6.94336,0.00109,0.01191,-7.82227,0.02914,-0.00246,3.35582,0.0,0.41464,0.52734,-0.01534,0.27666,0.75,-0.00153,-0.19479,-1.3125,0.00307,0.00381,0.0625,0.01227,0.07884,-0.0625,-0.00307,-0.14906,-0.125,-0.01227,-0.01498,-0.38125,-0.00686,0.00359,-0.22372,5.0
0.3508,1,4.9,16.1,21.6,13,0.29862,0.06298,0.2823,-0.19841,1.28968,0.1908,0.01663,-0.02021,0.14422,-0.26281,0.19498,1.21492,-0.22955,0.30645,-0.03416,0.25589,0.20135,-0.02555,1.01102,0.11977,0.09211,-0.00597,0.25666,-0.21484,0.02382,1.00731,-0.16904,0.09884,-0.03416,-0.01385,-0.0032,-0.00959,0.02251,0.00958,0.14184,-0.00162,-0.23578,7.82106,0.00091,0.00536,-0.32821,-0.00307,0.99106,-0.5,-0.00109,-0.22409,-5.53711,-0.00654,-0.00518,2.10938,0.0,0.00312,0.22372,0.00654,0.48052,-2.28516,-0.0046,0.27588,0.625,-0.00767,0.18136,1.4375,0.00767,-0.00552,0.1875,0.0,0.11215,-0.2,0.00614,0.09967,-0.125,0.01227,0.01408,0.025,0.00654,-0.24832,11.88862,-0.01109,0.0112,-1.80439,0.0,0.98731,-0.25,0.0,-0.18547,7.11914,0.00327,0.01191,-7.82227,0.01371,-0.00248,3.41175,0.00545,0.41466,0.61523,0.01534,0.27667,0.75,-0.0046,-0.19453,-1.375,0.01227,0.00382,0.125,-0.00614,0.07883,-0.0625,-0.00614,-0.14906,-0.0625,0.0,-0.01533,-0.35625,-0.00514,0.00359,-0.22372,5.0
0.4001,2,3.8,32.7,37.5,13,0.28514,0.06584,0.29019,-0.19406,1.28813,0.18879,0.01567,-0.00778,0.14924,-0.27651,0.19135,1.21924,-0.22365,0.29572,-0.04685,0.24589,0.21135,-0.03555,1.02102,0.12977,0.08211,-0.00778,0.24666,-0.22484,0.03382,1.01731,-0.17904,0.10884,-0.04416,-0.01385,-0.00426,0.00426,0.02244,0.00953,0.14189,-0.00163,-0.23578,7.82106,-0.00643,0.00537,-0.32821,0.48934,1.00298,-0.3125,-0.01527,-0.22409,-5.625,0.00218,-0.00518,2.02148,-0.00857,0.00316,0.22372,0.00109,0.4805,-2.37305,-0.54456,0.26745,-0.125,-0.00307,0.1801,1.125,-0.32981,-0.01027,-0.3125,-0.20862,0.10908,-0.74375,0.41724,0.10685,0.0625,-0.51542,0.00733,-0.04375,0.00267,-0.24832,11.79946,0.00458,0.01121,-1.857,0.53536,0.99963,-0.0625,-0.00327,-0.18549,7.03125,0.00764,0.01191,-7.91016,0.01543,-0.00248,3.41175,0.00764,0.41469,0.61523,-0.45559,0.26831,0.0,0.0092,-0.19337,-1.4375,0.30373,0.0072,0.75,0.59518,0.08654,-0.13125,-0.3927,-0.15457,-0.5,-0.42951,-0.02314,0.0,0.00857,0.00363,-0.22372,5.0
0.437,3,4.7,31.3,36.8,12,0.26715,0.064,0.29955,-0.1929,1.28503,0.18561,0.01318,-0.00626,0.15247,-0.28327,0.19053,1.20703,-0.22279,0.29922,-0.04701,0.23589,0.22135,-0.04555,1.03102,0.13977,0.07211,-0.00626,0.23666,-0.23484,0.04382,1.02731,-0.18904,0.11884,-0.04701,-0.00533,-0.01278,0.00959,0.02199,0.00947,0.14183,-0.00378,-0.23578,7.64333,-0.0046,0.00535,-0.32787,0.35588,1.01788,-1.0,0.00327,-0.22409,-5.71289,0.00327,-0.00518,2.10938,-0.00171,0.00313,0.22372,-0.00109,0.4805,-2.63672,-0.22396,0.25838,0.0,-0.01994,0.18049,1.0625,-0.23777,-0.01852,0.0625,-0.05522,0.1042,-0.65625,0.10891,0.11218,0.125,-0.14726,-0.00098,-0.10625,-0.00212,-0.24832,11.71099,-0.00735,0.0112,-1.80545,0.29146,1.01445,-0.625,0.00327,-0.1855,6.94336,-0.00436,0.01192,-7.91016,0.0,-0.00248,3.46768,0.0,0.41469,0.43945,-0.27612,0.25711,0.5,0.0046,-0.19337,-1.375,0.33748,0.02121,-0.0625,0.22703,0.09783,-0.2625,-0.35128,-0.1661,0.125,-0.0859,-0.0291,-0.14375,0.02057,0.00388,-0.27965,5.0
0.5018,4,8.9,55.4,64.7,14,0.24882,0.06381,0.31342,-0.19248,1.27769,0.18755,0.01269,0.00974,0.1559,-0.29908,0.18701,1.20125,-0.21902,0.2872,-0.05767,0.22589,0.23135,-0.05555,1.04102,0.14977,0.06211,0.00374,0.22666,-0.24484,0.05382,1.03731,-0.19904,0.12884,-0.05701,-0.00426,-0.01385,-0.01385,0.02158,0.00934,0.14222,0.00377,-0.23578,7.28786,-0.00091,0.00536,-0.32719,0.2347,1.02887,-0.9375,-0.00327,-0.2242,-5.80078,-0.00764,-0.00518,2.02148,-0.00686,0.00316,0.22372,0.0,0.48049,-2.72461,-0.25617,0.24974,0.0,0.0767,0.1823,1.4375,-0.2347,-0.02918,0.0625,-0.20249,0.09613,-0.55,0.24544,0.12051,0.0625,-0.07363,-0.00319,-0.175,-0.00543,-0.24831,11.35503,0.00556,0.0112,-1.91173,0.17487,1.02163,-0.375,0.01527,-0.18551,6.85547,0.01854,0.01194,-7.91016,-0.00686,-0.00264,3.46768,-0.00873,0.41468,0.26367,-0.27305,0.25007,0.3125,0.0,-0.19382,-2.0,0.30066,0.03398,-0.25,0.24544,0.10522,-0.0875,-0.12732,-0.17257,-0.3125,-0.04295,-0.03465,-0.475,0.04457,0.00449,-0.27965,5.0
0.5265,5,4.3,19.2,24.5,13,0.23642,0.06279,0.3212,-0.1861,1.27471,0.18223,0.01074,0.01961,0.16026,-0.31107,0.18212,1.1994,-0.21165,0.27761,-0.06621,0.21589,0.24135,-0.06555,1.05102,0.15977,0.05211,0.01374,0.21666,-0.25484,0.06382,1.04731,-0.20904,0.13884,-0.06621,-0.00213,0.01172,0.00959,0.02148,0.00926,0.14258,-0.00378,-0.2358,7.02138,-0.00093,0.00535,-0.3789,-0.02148,1.03829,-0.5625,-0.00327,-0.22437,-5.71289,-0.012,-0.00522,2.10938,0.00343,0.00313,0.22372,-0.00764,0.48039,-2.90039,-0.10431,0.23851,-0.1875,0.09204,0.18916,1.625,-0.00767,-0.03902,-0.25,-0.13499,0.08074,-0.3625,0.04755,0.13573,0.0625,0.0,-0.00475,-0.10625,0.00322,-0.2483,11.1767,0.00366,0.01119,-2.01695,-0.03068,1.03351,-0.1875,-0.024,-0.18552,6.76758,-0.01091,0.01186,-7.82227,0.01714,-0.00275,3.41175,0.00764,0.41468,0.17578,-0.05829,0.23387,0.4375,-0.0813,-0.195,-2.4375,0.01074,0.04325,0.125,-0.00614,0.11697,0.1625,-0.17948,-0.18719,0.0,-0.0859,-0.04413,-0.025,0.05657,0.00509,-0.33558,5.0
0.5628,6,4.1,22.6,27.4,13,0.22178,0.06387,0.33447,-0.18527,1.26763,0.18231,0.00798,0.03332,0.16396,-0.32652,0.17809,1.19213,-0.2088,0.26649,-0.0788,0.20589,0.25135,-0.07555,1.06102,0.16977,0.04211,0.02374,0.20666,-0.26484,0.07382,1.05731,-0.2088,0.14884,-0.07621,-0.00746,0.00107,-0.02237,0.02172,0.00917,0.14253,-0.00218,-0.23579,7.46559,-0.00919,0.00535,-0.32753,0.36049,1.04585,-0.3125,0.00545,-0.22433,-5.71289,-0.00218,-0.00525,2.02148,0.00514,0.00323,0.22372,-0.01091,0.48038,-2.63672,-0.60132,0.22784,0.0,0.19482,0.19465,2.375,-0.42031,-0.05037,-0.1875,-0.45406,0.06987,-0.45625,0.52309,0.14477,0.0625,0.36816,0.00389,0.0375,-0.00268,-0.2483,11.53266,-0.00274,0.01121,-1.91067,0.44485,1.04193,-0.125,-0.00436,-0.18552,6.94336,-0.00109,0.01176,-7.82227,0.00857,-0.00276,3.41175,-0.00545,0.41469,0.61523,-0.32981,0.22571,0.0,-0.22703,-0.20012,-3.0625,0.59212,0.05406,-0.0625,0.34975,0.12619,0.26875,-0.38503,-0.19398,-0.5,-0.28839,-0.05244,-0.35625,-0.00686,0.00516,-0.11186,5.0
0.5942,7,5.6,19.2,25.4,13,0.21376,0.06482,0.3557,-0.18418,1.27372,0.18285,0.0089,0.04018,0.17017,-0.34563,0.17418,1.19595,-0.20853,0.26259,-0.08795,0.19589,0.26135,-0.08555,1.07102,0.17977,0.03211,0.03374,0.19666,-0.27484,0.08382,1.06731,-0.20853,0.15884,-0.08621,-0.00852,0.00213,0.00426,0.02197,0.00914,0.14254,-0.00754,-0.23578,7.73232,0.00365,0.00536,-0.38025,0.68109,1.05996,-0.9375,-0.03054,-0.22435,-5.625,-0.01527,-0.00527,2.10938,0.00514,0.00315,0.16779,-0.01963,0.4804,-2.37305,-0.52769,0.21628,-0.0625,0.27305,0.20227,2.4375,-0.65808,-0.06503,0.375,-0.632,0.06155,-0.30625,0.37583,0.15172,0.4375,0.41111,0.01135,0.0625,-0.00268,-0.24829,11.79876,-0.00274,0.0112,-1.96117,0.3835,1.05393,-0.25,-0.01091,-0.18552,6.94336,0.0,0.01172,-7.91016,-0.00686,-0.00279,3.41175,-0.00764,0.41469,0.70312,-0.35282,0.21339,0.1875,-0.25157,-0.20724,-3.25,0.632,0.07001,-0.4375,0.28839,0.13773,0.2125,-0.19328,-0.20416,-0.1875,-0.49087,-0.05978,-0.275,-0.00171,0.00496,-0.22372,5.0
0.6518,8,5.8,43.5,49.6,12,0.19463,0.06275,0.37254,-0.18359,1.26519,0.18486,0.00717,0.05494,0.17449,-0.36298,0.17022,1.18598,-0.20322,0.25146,-0.09757,0.18589,0.27135,-0.09555,1.08102,0.18486,0.02211,0.04374,0.18666,-0.28484,0.09382,1.07731,-0.20322,0.16884,-0.09621,-0.00426,-0.0,-0.00426,0.02203,0.00912,0.14274,0.00268,-0.23578,7.82106,-0.00642,0.00535,-0.32821,0.30373,1.07056,-0.5,0.00654,-0.22438,-5.625,-0.00654,-0.00529,2.10938,0.02228,0.00313,0.16779,-0.00436,0.48041,-2.54883,-0.52769,0.20686,-0.0625,0.2485,0.209,2.625,-0.44485,-0.07548,0.125,-0.50928,0.04892,-0.28125,0.59825,0.16472,0.0,0.41111,0.02193,0.0375,-0.00592,-0.2483,11.79876,-0.00272,0.01119,-1.96117,0.37583,1.06378,-0.125,-0.012,-0.18553,6.85547,0.00327,0.01171,-7.91016,0.0,-0.00279,3.46768,0.00764,0.41469,0.52734,-0.30066,0.20323,0.1875,-0.35282,-0.21576,-3.25,0.5599,0.08172,-0.5,0.37429,0.14858,0.09375,-0.06443,-0.20789,-0.0625,-0.35588,-0.07187,-0.3,-0.03943,0.00526,-0.11186,5.0
0.6971,9,4.3,40.1,45.2,11,0.19124,0.06273,0.38912,-0.18074,1.26627,0.18495,0.00662,0.06409,0.18017,-0.37872,0.16612,1.18804,-0.20081,0.24079,-0.10631,0.17589,0.28135,-0.10555,1.09102,0.18495,0.01211,0.05374,0.18017,-0.29484,0.10382,1.08731,-0.20081,0.17884,-0.10621,-0.00533,0.00107,-0.0032,0.02211,0.00918,0.14268,-0.00647,-0.23578,7.82106,-2e-05,0.00535,-0.32821,-0.01687,1.07503,-0.375,-0.03163,-0.22444,-5.53711,-0.00982,-0.00528,2.19727,0.01371,0.00317,0.22372,0.0,0.48041,-2.28516,-0.25004,0.19576,0.1875,0.22396,0.21956,2.0,-0.12732,-0.08577,0.375,-0.11045,0.03898,-0.26875,0.19942,0.17454,-0.0625,0.0,0.02646,0.39375,-0.00486,-0.24828,11.79946,0.00095,0.01119,-1.857,0.04602,1.07036,-0.0625,-0.00654,-0.18556,7.03125,0.01309,0.01173,-7.82227,0.01886,-0.00279,3.35582,-0.00109,0.41469,0.87891,-0.09204,0.19271,0.5,-0.33134,-0.22965,-2.375,0.0,0.08379,0.125,-0.03068,0.15762,0.125,-0.0046,-0.20849,-0.125,-0.09204,-0.07886,-0.25,0.0,0.00514,-0.11186,5.0
